origin,band,family,config,status,converged,n_train,measure,feature,source_group,value
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,fx3,imported_cost,-0.001472384014842623
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_11,domestic,-0.019979694275422948
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_12,domestic,0.015417832417906807
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_13,other_hard_a6,-0.004019091573606683
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_17,domestic,-0.0
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_23,imported_cost,0.0024348737708284342
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_24,other_hard_a6,-0.01621029962009702
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_25,other_hard_a6,0.008333539394179277
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_26,imported_cost,0.010138435922332508
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_43,other_hard_a6,-0.0
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_44,other_hard_a6,-0.0023290572090889894
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_45,imported_cost,-0.0
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_46,other_hard_a6,-0.0
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_47,imported_cost,-0.0
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_48,other_hard_a6,-0.0
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_49,other_hard_a6,-0.0022267615939466374
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_50,other_hard_a6,0.011457260565197561
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_51,other_hard_a6,-0.00401250252929752
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_52,other_hard_a6,-0.0
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_53,other_hard_a6,-0.0018736711744114529
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_54,other_hard_a6,0.0
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_55,other_hard_a6,0.004893473900571898
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_56,imported_cost,0.0
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_57,other_hard_a6,0.0
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_58,other_hard_a6,0.00956986645769211
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_59,other_hard_a6,0.008931394699070653
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_60,other_hard_a6,0.0
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_61,other_hard_a6,0.011840006213013756
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_62,imported_cost,0.005810885828855923
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_63,other_hard_a6,0.0
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_64,other_hard_a6,-0.0004009091958559031
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_65,imported_cost,-0.0
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,a6_66,imported_cost,0.0180809568238304
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,destination_season,own_core_state,-0.018798712010038094
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,penalized_constant,constant,0.024709946013959025
2019-03,0,forest,leaf15,estimated,True,107,feature_importances,core1,own_core_state,0.04856968831175996
2019-03,0,forest,leaf15,estimated,True,107,feature_importances,core3,own_core_state,0.009709274596307618
2019-03,0,forest,leaf15,estimated,True,107,feature_importances,core12,own_core_state,0.027047506387460663
2019-03,0,forest,leaf15,estimated,True,107,feature_importances,core_acceleration,own_core_state,0.02717786445593396
2019-03,0,forest,leaf15,estimated,True,107,feature_importances,midtrend,own_core_state,0.027524353988433573
2019-03,0,forest,leaf15,estimated,True,107,feature_importances,midcycle,own_core_state,0.09909650944988593
2019-03,0,forest,leaf15,estimated,True,107,feature_importances,services_yoy,domestic,0.02941810144319909
2019-03,0,forest,leaf15,estimated,True,107,feature_importances,services_change3,domestic,0.02651159971239648
2019-03,0,forest,leaf15,estimated,True,107,feature_importances,unemployment,domestic,0.014297990969929142
2019-03,0,forest,leaf15,estimated,True,107,feature_importances,unemployment_change3,domestic,0.0026176826215386696
2019-03,0,forest,leaf15,estimated,True,107,feature_importances,ip_growth3,domestic,0.036188356065135305
