scope,sample,model,band,n,actual_material_n,sign_match_rate_on_material_actual,material_direction_hit_rate,material_calls_n,wrong_way_n
all_models_common,origins_2024plus,TRANSMISSION_BOTH_R16,3,22,17,0.5882352941176471,0.058823529411764705,4,2
all_models_common,origins_2024plus,TRANSMISSION_GOODS_R16,3,22,17,0.6470588235294118,0.0,0,0
all_models_common,origins_2024plus,TRANSMISSION_OWN_R16,3,22,17,0.6470588235294118,0.0,0,0
all_models_common,origins_2024plus,TRANSMISSION_SERVICES_R16,3,22,17,0.5882352941176471,0.058823529411764705,4,2
all_models_common,origins_2024plus,BLEND_DAMPED_TRANSMISSION_R16,4,19,14,0.5,0.21428571428571427,6,3
all_models_common,origins_2024plus,DAMPED_ADAPT_R16,4,19,14,0.42857142857142855,0.0,0,0
all_models_common,origins_2024plus,DAMPED_P80_Q001_R16,4,19,14,0.5714285714285714,0.0,0,0
all_models_common,origins_2024plus,DAMPED_P80_Q010_R16,4,19,14,0.21428571428571427,0.0,0,0
all_models_common,origins_2024plus,DAMPED_P95_Q001_R16,4,19,14,0.35714285714285715,0.0,0,0
all_models_common,origins_2024plus,DAMPED_P95_Q010_R16,4,19,14,0.6428571428571429,0.0,2,1
all_models_common,origins_2024plus,INDEPENDENT_BRIDGE,4,19,14,0.2857142857142857,0.14285714285714285,6,2
all_models_common,origins_2024plus,RF_RESIDUAL_R15,4,19,14,0.42857142857142855,0.35714285714285715,12,5
all_models_common,origins_2024plus,STABLE_LOCAL_CORE_R14B,4,19,14,0.5,0.0,0,0
all_models_common,origins_2024plus,STABLE_PIPELINE_R14B,4,19,14,0.2857142857142857,0.14285714285714285,6,2
all_models_common,origins_2024plus,STATE_FAST_R15,4,19,14,0.35714285714285715,0.0,0,0
all_models_common,origins_2024plus,TRANSMISSION_BOTH_R16,4,19,14,0.5,0.2857142857142857,14,7
all_models_common,origins_2024plus,TRANSMISSION_GOODS_R16,4,19,14,0.2857142857142857,0.14285714285714285,10,5
all_models_common,origins_2024plus,TRANSMISSION_OWN_R16,4,19,14,0.42857142857142855,0.07142857142857142,2,0
all_models_common,origins_2024plus,TRANSMISSION_SERVICES_R16,4,19,14,0.6428571428571429,0.5,15,3
all_models_common,recent_targets,BLEND_DAMPED_TRANSMISSION_R16,2,31,22,0.5909090909090909,0.0,0,0
all_models_common,recent_targets,DAMPED_ADAPT_R16,2,31,22,0.5,0.0,0,0
all_models_common,recent_targets,DAMPED_P80_Q001_R16,2,31,22,0.5454545454545454,0.0,0,0
all_models_common,recent_targets,DAMPED_P80_Q010_R16,2,31,22,0.5,0.0,0,0
all_models_common,recent_targets,DAMPED_P95_Q001_R16,2,31,22,0.4090909090909091,0.0,0,0
all_models_common,recent_targets,DAMPED_P95_Q010_R16,2,31,22,0.5,0.045454545454545456,9,3
all_models_common,recent_targets,INDEPENDENT_BRIDGE,2,31,22,0.36363636363636365,0.22727272727272727,17,7
all_models_common,recent_targets,RF_RESIDUAL_R15,2,31,22,0.5909090909090909,0.5,22,4
all_models_common,recent_targets,STABLE_LOCAL_CORE_R14B,2,31,22,0.2727272727272727,0.0,0,0
all_models_common,recent_targets,STABLE_PIPELINE_R14B,2,31,22,0.36363636363636365,0.22727272727272727,17,7
all_models_common,recent_targets,STATE_FAST_R15,2,31,22,0.45454545454545453,0.0,0,0
all_models_common,recent_targets,TRANSMISSION_BOTH_R16,2,31,22,0.5454545454545454,0.0,0,0
all_models_common,recent_targets,TRANSMISSION_GOODS_R16,2,31,22,0.5,0.0,0,0
all_models_common,recent_targets,TRANSMISSION_OWN_R16,2,31,22,0.45454545454545453,0.0,0,0
all_models_common,recent_targets,TRANSMISSION_SERVICES_R16,2,31,22,0.5,0.0,0,0
all_models_common,recent_targets,BLEND_DAMPED_TRANSMISSION_R16,3,31,22,0.6818181818181818,0.09090909090909091,5,1
all_models_common,recent_targets,DAMPED_ADAPT_R16,3,31,22,0.5909090909090909,0.0,0,0
all_models_common,recent_targets,DAMPED_P80_Q001_R16,3,31,22,0.6363636363636364,0.0,0,0
all_models_common,recent_targets,DAMPED_P80_Q010_R16,3,31,22,0.6363636363636364,0.0,0,0
all_models_common,recent_targets,DAMPED_P95_Q001_R16,3,31,22,0.4090909090909091,0.0,0,0
all_models_common,recent_targets,DAMPED_P95_Q010_R16,3,31,22,0.4090909090909091,0.13636363636363635,11,4
all_models_common,recent_targets,INDEPENDENT_BRIDGE,3,31,22,0.6363636363636364,0.2727272727272727,17,6
all_models_common,recent_targets,RF_RESIDUAL_R15,3,31,22,0.5,0.45454545454545453,22,6
all_models_common,recent_targets,STABLE_LOCAL_CORE_R14B,3,31,22,0.2727272727272727,0.0,0,0
all_models_common,recent_targets,STABLE_PIPELINE_R14B,3,31,22,0.6363636363636364,0.2727272727272727,17,6
all_models_common,recent_targets,STATE_FAST_R15,3,31,22,0.7272727272727273,0.0,0,0
