origin,h,model,core_log,core_mm,fast_core_log,correction_log,band
2021-05,7,TRANSMISSION_SERVICES_R16,0.2949104750953998,0.29534576383585376,0.11701399437818412,0.1778964807172157,3
2021-05,8,TRANSMISSION_SERVICES_R16,0.5692882177014863,0.5709117424584775,0.3913917369842707,0.1778964807172156,3
2021-05,9,TRANSMISSION_SERVICES_R16,0.4971186161477972,0.4983563008107833,0.3192221354305815,0.1778964807172157,3
2021-06,7,TRANSMISSION_SERVICES_R16,0.572606356597879,0.5742488803645901,0.48729789987843963,0.08530845671943932,3
2021-06,8,TRANSMISSION_SERVICES_R16,0.4993287710551547,0.500577494710202,0.41402031433571534,0.08530845671943937,3
2021-06,9,TRANSMISSION_SERVICES_R16,0.08032107346573442,0.08035333947817211,-0.004987383253704848,0.08530845671943926,3
2021-07,7,TRANSMISSION_SERVICES_R16,0.5122996709732552,0.513614169502896,0.6055100260493067,-0.09321035507605147,3
2021-07,8,TRANSMISSION_SERVICES_R16,0.09107152594163073,0.0911130086478395,0.18428188101768225,-0.09321035507605152,3
2021-07,9,TRANSMISSION_SERVICES_R16,0.5377864542137089,0.5392351213129594,0.6309968092897603,-0.09321035507605147,3
2021-08,7,TRANSMISSION_SERVICES_R16,0.027895590355476618,0.027899481537097308,0.3661727952977567,-0.3382772049422801,3
2021-08,8,TRANSMISSION_SERVICES_R16,0.4724875302806914,0.47360551269437146,0.8107647352229715,-0.33827720494228014,3
2021-08,9,TRANSMISSION_SERVICES_R16,0.26520804227480227,0.26556002990095384,0.6034852472170824,-0.33827720494228014,3
2021-09,7,TRANSMISSION_SERVICES_R16,0.3996091027438865,0.40040860452476196,0.9233737491097025,-0.523764646365816,3
2021-09,8,TRANSMISSION_SERVICES_R16,0.19101359422285957,0.1911961414002205,0.7147782405886758,-0.5237646463658162,3
2021-09,9,TRANSMISSION_SERVICES_R16,0.2896020323149622,0.2900217841059975,0.8133666786807783,-0.5237646463658161,3
2021-10,7,TRANSMISSION_SERVICES_R16,0.21092776960670756,0.2111503787139572,0.7308033589771179,-0.5198755893704103,3
2021-10,8,TRANSMISSION_SERVICES_R16,0.3093243732829586,0.30980327478153646,0.829199962653369,-0.5198755893704105,3
