report_date,cutoff_date,origin,origin_clock,model,quarter,quarters_ahead,forecast,realised,error
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,STABLE_LONG_CORE_R14B,2023Q1,2,15.393,16.393468660721577,-1.0004686607215767
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,STABLE_LONG_CORE_R14B,2023Q2,3,12.983,11.15840613352934,1.8245938664706607
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,STABLE_LONG_CORE_R14B,2023Q3,4,12.575,8.048806481176504,4.526193518823495
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,STABLE_LONG_GAP_R14B,2022Q4,1,18.864,15.69904392215021,3.1649560778497907
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,STABLE_LONG_GAP_R14B,2023Q1,2,15.828,16.393468660721577,-0.565468660721578
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,STABLE_LONG_GAP_R14B,2023Q2,3,13.778,11.15840613352934,2.6195938664706606
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,STABLE_LONG_GAP_R14B,2023Q3,4,13.744,8.048806481176504,5.695193518823496
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,F1b,2023Q1,2,15.159,16.393468660721577,-1.2344686607215767
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,F1b,2023Q2,3,13.241,11.15840613352934,2.08259386647066
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,F1b,2023Q3,4,11.915,8.048806481176504,3.8661935188234953
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,F2,2023Q1,2,14.384,16.393468660721577,-2.009468660721577
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,F2,2023Q2,3,10.576,11.15840613352934,-0.5824061335293393
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,F2,2023Q3,4,8.449,8.048806481176504,0.40019351882349596
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,TVWQRF_TVW3_FULLM,2022Q4,1,19.705,15.69904392215021,4.005956077849788
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,TVWQRF_TVW3_FULLM,2023Q1,2,17.377,16.393468660721577,0.9835313392784215
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,TVWQRF_TVW3_FULLM,2023Q2,3,15.226,11.15840613352934,4.067593866470661
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,TVWQRF_TVW3_FULLM,2023Q3,4,14.123,8.048806481176504,6.0741935188234955
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,TVWQRF_QRF_MEAN_FULLM,2022Q4,1,19.37,15.69904392215021,3.670956077849791
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,TVWQRF_QRF_MEAN_FULLM,2023Q1,2,16.434,16.393468660721577,0.04053133927842367
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,TVWQRF_QRF_MEAN_FULLM,2023Q2,3,13.781,11.15840613352934,2.6225938664706607
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,TVWQRF_QRF_MEAN_FULLM,2023Q3,4,12.082,8.048806481176504,4.033193518823497
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,cnb,2023Q1,1,16.308,16.393468660721577,-0.08546866072157755
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,cnb,2023Q2,2,11.308,11.15840613352934,0.14959386647065998
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,cnb,2023Q3,3,7.776,8.048806481176504,-0.2728064811765041
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,cnb,2023Q4,4,7.623,7.563594181986673,0.05940581801332723
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,INDEPENDENT_BRIDGE,2023Q1,1,11.356,16.393468660721577,-5.0374686607215775
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,INDEPENDENT_BRIDGE,2023Q2,2,8.172,11.15840613352934,-2.9864061335293393
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,INDEPENDENT_BRIDGE,2023Q3,3,5.665,8.048806481176504,-2.383806481176504
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,INDEPENDENT_BRIDGE,2023Q4,4,6.829,7.563594181986673,-0.7345941819866733
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,STABLE_LOCAL_CORE_R14B,2023Q1,1,11.78,16.393468660721577,-4.613468660721578
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,STABLE_LOCAL_CORE_R14B,2023Q2,2,8.773,11.15840613352934,-2.38540613352934
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,STABLE_LOCAL_CORE_R14B,2023Q3,3,7.204,8.048806481176504,-0.8448064811765041
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,STABLE_LOCAL_CORE_R14B,2023Q4,4,9.033,7.563594181986673,1.4694058180133265
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,STABLE_PIPELINE_R14B,2023Q1,1,11.293,16.393468660721577,-5.100468660721578
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,STABLE_PIPELINE_R14B,2023Q2,2,7.934,11.15840613352934,-3.2244061335293397
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,STABLE_PIPELINE_R14B,2023Q3,3,5.41,8.048806481176504,-2.6388064811765037
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,STABLE_PIPELINE_R14B,2023Q4,4,6.545,7.563594181986673,-1.018594181986673
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,STABLE_LONG_CORE_R14B,2023Q1,1,11.552,16.393468660721577,-4.841468660721578
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,STABLE_LONG_CORE_R14B,2023Q2,2,8.375,11.15840613352934,-2.78340613352934
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,STABLE_LONG_CORE_R14B,2023Q3,3,7.128,8.048806481176504,-0.9208064811765038
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,STABLE_LONG_CORE_R14B,2023Q4,4,9.781,7.563594181986673,2.2174058180133276
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,STABLE_LONG_GAP_R14B,2023Q1,1,11.755,16.393468660721577,-4.638468660721577
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,STABLE_LONG_GAP_R14B,2023Q2,2,8.894,11.15840613352934,-2.2644061335293397
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,STABLE_LONG_GAP_R14B,2023Q3,3,7.999,8.048806481176504,-0.049806481176504214
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,STABLE_LONG_GAP_R14B,2023Q4,4,11.047,7.563594181986673,3.4834058180133276
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,F1b,2023Q1,1,10.913,16.393468660721577,-5.480468660721577
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,F1b,2023Q2,2,6.873,11.15840613352934,-4.28540613352934
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,F1b,2023Q3,3,3.703,8.048806481176504,-4.3458064811765045
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,F1b,2023Q4,4,3.363,7.563594181986673,-4.2005941819866734
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,F2,2023Q1,1,11.793,16.393468660721577,-4.600468660721578
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,F2,2023Q2,2,8.229,11.15840613352934,-2.9294061335293407
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,F2,2023Q3,3,6.295,8.048806481176504,-1.753806481176504
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,F2,2023Q4,4,7.517,7.563594181986673,-0.046594181986672645
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,TVWQRF_TVW3_FULLM,2023Q1,1,11.145,16.393468660721577,-5.248468660721578
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,TVWQRF_TVW3_FULLM,2023Q2,2,8.325,11.15840613352934,-2.8334061335293406
2023-02-09,2023-01-20,2022-12,2023-01-10 23:59,TVWQRF_TVW3_FULLM,2023Q3,3,7.044,8.048806481176504,-1.0048064811765043
