origin,historical_clock,import_mm_l3_source,import_mm_l3_fixture_row,import_mm_l3_available_from,eurczk_mm_l1_source,eurczk_mm_l1_fixture_row,eurczk_mm_l1_available_from,unemployment_reference,unemployment_adjustment,unemployment_available_from,unemployment_source,unemployment_sha256
2017-01,2017-02-09 23:59:00,2016-10,2016-12,2016-12-15T23:00:00+00:00,2016-12,2016-12,2016-12-31T23:00:00+00:00,2016-10,,,,
2017-02,2017-03-08 23:59:00,2016-11,2017-01,2017-01-15T23:00:00+00:00,2017-01,2017-01,2017-01-31T23:00:00+00:00,2016-11,,,,
2017-03,2017-04-09 23:59:00,2016-12,2017-02,2017-02-15T23:00:00+00:00,2017-02,2017-02,2017-02-28T23:00:00+00:00,2016-12,,,,
2017-04,2017-05-09 23:59:00,2017-01,2017-03,2017-03-15T23:00:00+00:00,2017-03,2017-03,2017-03-31T22:00:00+00:00,2017-01,,,,
2017-05,2017-06-08 23:59:00,2017-02,2017-04,2017-04-15T22:00:00+00:00,2017-04,2017-04,2017-04-30T22:00:00+00:00,2017-02,,,,
2017-06,2017-07-11 23:59:00,2017-03,2017-05,2017-05-15T22:00:00+00:00,2017-05,2017-05,2017-05-31T22:00:00+00:00,2017-03,,,,
2017-07,2017-08-08 23:59:00,2017-04,2017-06,2017-06-15T22:00:00+00:00,2017-06,2017-06,2017-06-30T22:00:00+00:00,2017-04,,,,
2017-08,2017-09-10 23:59:00,2017-05,2017-07,2017-07-15T22:00:00+00:00,2017-07,2017-07,2017-07-31T22:00:00+00:00,2017-05,,,,
2017-09,2017-10-08 23:59:00,2017-06,2017-08,2017-08-15T22:00:00+00:00,2017-08,2017-08,2017-08-31T22:00:00+00:00,2017-06,,,,
2017-10,2017-11-08 23:59:00,2017-07,2017-09,2017-09-15T22:00:00+00:00,2017-09,2017-09,2017-09-30T22:00:00+00:00,2017-07,,,,
2017-11,2017-12-10 23:59:00,2017-08,2017-10,2017-10-15T22:00:00+00:00,2017-10,2017-10,2017-10-31T23:00:00+00:00,2017-08,,,,
2017-12,2018-01-09 23:59:00,2017-09,2017-11,2017-11-15T23:00:00+00:00,2017-11,2017-11,2017-11-30T23:00:00+00:00,2017-09,,,,
2018-01,2018-02-13 23:59:00,2017-10,2017-12,2017-12-15T23:00:00+00:00,2017-12,2017-12,2017-12-31T23:00:00+00:00,2017-10,,,,
2018-02,2018-03-08 23:59:00,2017-11,2018-01,2018-01-15T23:00:00+00:00,2018-01,2018-01,2018-01-31T23:00:00+00:00,2017-11,sa,2018-03-01T23:00:00+00:00,https://csu.gov.cz/docs/107532/264c7d4d-0adc-7914-ea07-317c9cc26062/nez030118_1.xlsx?version=1.0,e01b285842fc93fc26a92ef87354da51e82b44d14d0588461f756b06c50fb109
2018-03,2018-04-09 23:59:00,2017-12,2018-02,2018-02-15T23:00:00+00:00,2018-02,2018-02,2018-02-28T23:00:00+00:00,2017-12,sa,2018-04-04T22:00:00+00:00,https://csu.gov.cz/docs/107532/73fd1cec-b19a-4fb3-32a2-55835ab3d734/nez040418_1.xlsx?version=1.0,36d39c52cc425881a1fd524f203f8f520ce4f57d3947fe5d984239b708bb9ad4
2018-04,2018-05-09 23:59:00,2018-01,2018-03,2018-03-15T23:00:00+00:00,2018-03,2018-03,2018-03-31T22:00:00+00:00,2018-01,sa,2018-05-02T22:00:00+00:00,https://csu.gov.cz/docs/107532/7931548b-ede8-38ea-aed7-c2c1dbd8cf16/nez050218_1.xlsx?version=1.0,83db1a749fcafc6d898939280adbc315b64d6c6fddd371656cdc7d22ae091ba9
2018-05,2018-06-10 23:59:00,2018-02,2018-04,2018-04-15T22:00:00+00:00,2018-04,2018-04,2018-04-30T22:00:00+00:00,2018-02,sa,2018-05-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/6fa0b5d0-52b7-f8e5-af71-112528c67f25/nez053118_1.xlsx?version=1.0,55396a3ce4c47b1d79d1500b1df0a06eab66a62807e00450f03556a3e35298ee
2018-06,2018-07-10 23:59:00,2018-03,2018-05,2018-05-15T22:00:00+00:00,2018-05,2018-05,2018-05-31T22:00:00+00:00,2018-03,sa,2018-07-02T22:00:00+00:00,https://csu.gov.cz/docs/107532/4165ddb2-2b39-22f5-36cb-cefa647c98a6/nez070218_1.xlsx?version=1.0,2a976d8ee911f14dff1a6557b2a7c048ac286645e1b6ba28b0d80e85d4cda396
