origin,target,model,h,mm_forecast,mm_actual,cumulative_arithmetic_forecast,cumulative_compounded_forecast,arithmetic_minus_compounded_forecast,cumulative_arithmetic_actual,cumulative_compounded_actual,arithmetic_minus_compounded_actual
2022-03,2022-05,INDEPENDENT_BRIDGE,2,0.40649854354045367,1.4,0.8648719375275454,0.8667352186980799,-0.0018632811705344698,2.9,2.9209999999999994,-0.020999999999999464
2022-03,2022-06,INDEPENDENT_BRIDGE,3,1.070287196521637,1.5,1.9351591340491825,1.9462989712931862,-0.011139837244003692,4.4,4.464815,-0.0648149999999994
2022-03,2022-07,INDEPENDENT_BRIDGE,4,1.19464672205259,1.6,3.1298058561017728,3.164197090207673,-0.03439123410590028,6.0,6.13625204,-0.13625203999999957
2022-03,2022-08,INDEPENDENT_BRIDGE,5,0.6496788425544955,0.9,3.779484698656268,3.834433051793973,-0.05494835313770485,6.9,7.091478308359999,-0.1914783083599989
2022-03,2022-09,INDEPENDENT_BRIDGE,6,-0.6514770724405246,0.3,3.1280076262157435,3.157975527162929,-0.029967900947185377,7.2,7.41275274328508,-0.21275274328507976
2022-03,2022-10,INDEPENDENT_BRIDGE,7,0.5845873498204788,1.2,3.7125949760362222,3.7610240024256294,-0.04842902638940716,8.4,8.7017057762045,-0.3017057762044999
2022-03,2022-11,INDEPENDENT_BRIDGE,8,0.5599145524408892,0.4,4.272509528477111,4.341997075576895,-0.06948754709978378,8.8,9.136512599309318,-0.33651259930931765
2022-03,2022-12,INDEPENDENT_BRIDGE,9,0.6470830842876616,0.4,4.919592612764773,5.01717648846088,-0.09758387569610694,9.200000000000001,9.573058649706557,-0.37305864970655556
2022-03,2023-01,INDEPENDENT_BRIDGE,10,1.1313560764106982,0.8,6.050948689175471,6.205294695938028,-0.15434600676255705,10.000000000000002,10.44964311890421,-0.4496431189042074
2022-03,2023-02,INDEPENDENT_BRIDGE,11,1.043937545178372,0.7,7.094886234353844,7.3140116422362595,-0.21912540788241586,10.700000000000001,11.222790620736538,-0.5227906207365365
2022-03,2023-03,INDEPENDENT_BRIDGE,12,0.2878477828246657,0.2,7.382734017178509,7.62291264540864,-0.24017862823013036,10.9,11.44523620197801,-0.5452362019780104
2022-04,2022-05,INDEPENDENT_BRIDGE,1,0.8225105276185529,1.4,0.8225105276185529,0.8225105276185529,0.0,1.4,1.4000000000000001,-2.220446049250313e-16
2022-04,2022-06,INDEPENDENT_BRIDGE,2,0.947002427449241,1.5,1.769512955067794,1.777302149730367,-0.007789194662572996,2.9,2.9209999999999994,-0.020999999999999464
2022-04,2022-07,INDEPENDENT_BRIDGE,3,1.265632266972332,1.6,3.035145222040126,3.0654285261912797,-0.030283304151153878,4.5,4.567735999999999,-0.06773599999999913
2022-04,2022-08,INDEPENDENT_BRIDGE,4,1.0660456596286711,0.9,4.101190881668797,4.1641530535724325,-0.06296217190363507,5.4,5.508845623999999,-0.10884562399999886
2022-04,2022-09,INDEPENDENT_BRIDGE,5,0.0014175295370621732,0.3,4.10260841120586,4.165629611208998,-0.06302120000313849,5.7,5.825372160871999,-0.12537216087199887
2022-04,2022-10,INDEPENDENT_BRIDGE,6,0.7615742124773254,1.2,4.864182623683185,4.95892818459261,-0.09474556090942521,6.9,7.095276626802463,-0.19527662680246305
2022-04,2022-11,INDEPENDENT_BRIDGE,7,0.2920207554739804,0.4,5.156203379157165,5.2654300396146505,-0.10922666045748564,7.300000000000001,7.523657733309674,-0.22365773330967365
2022-04,2022-12,INDEPENDENT_BRIDGE,8,0.7385171625762504,0.4,5.894720541733416,6.0428333067169,-0.1481127649834839,7.7,7.953752364242912,-0.2537523642429118
2022-04,2023-01,INDEPENDENT_BRIDGE,9,0.7934499600248839,0.8,6.6881705017583,6.8842301251982985,-0.19605962343999828,8.5,8.817382383156856,-0.31738238315685585
2022-04,2023-02,INDEPENDENT_BRIDGE,10,0.3525039908436719,0.7,7.040674492601972,7.261001301972157,-0.22032680937018512,9.2,9.579104059838956,-0.3791040598389568
2022-04,2023-03,INDEPENDENT_BRIDGE,11,0.4082906374575421,0.2,7.448965130059514,7.698937927931322,-0.24997279787180826,9.399999999999999,9.798262267958632,-0.39826226795863384
2022-04,2023-04,INDEPENDENT_BRIDGE,12,0.507975139208432,0.2,7.956940269267946,8.246021757796735,-0.28908148852878846,9.599999999999998,10.01785879249455,-0.4178587924945525
2022-05,2022-06,INDEPENDENT_BRIDGE,1,2.0263609214657596,1.5,2.0263609214657596,2.0263609214657596,0.0,1.5,1.4999999999999998,2.220446049250313e-16
2022-05,2022-07,INDEPENDENT_BRIDGE,2,2.259856860179629,1.6,4.286217781645389,4.332010637941132,-0.045792856295743256,3.1,3.124,-0.02400000000000002
2022-05,2022-08,INDEPENDENT_BRIDGE,3,1.5778365380344557,0.9,5.864054319679845,5.978199222652562,-0.11414490297271751,4.0,4.052115999999999,-0.05211599999999894
2022-05,2022-09,INDEPENDENT_BRIDGE,4,2.103209170001243,0.3,7.967263489681088,8.207142426905577,-0.23987893722448916,4.3,4.364272348,-0.06427234800000026
2022-05,2022-10,INDEPENDENT_BRIDGE,5,2.0146659126747575,1.2,9.981929402355846,10.38715484045987,-0.4052254381040239,5.5,5.616643616176001,-0.11664361617600072
2022-05,2022-11,INDEPENDENT_BRIDGE,6,2.4811373010652065,0.4,12.463066703421052,13.126011714791128,-0.6629450113700752,5.9,6.039110190640704,-0.13911019064070373
2022-05,2022-12,INDEPENDENT_BRIDGE,7,3.226199076425777,0.4,15.68926577984683,16.775682059931032,-1.0864162800842028,6.300000000000001,6.4632666314032665,-0.1632666314032658
