sample,h,model,control,n,mse_difference,ci_low,ci_high,block_length,replicates,seed
full,9,CORE_AGG_CUMULATIVE_LABOUR_R13,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,36,1.1343784637521015,0.7984714614005852,1.4426002671242988,12,2000,1309
full,10,CORE_AGG_MONTHLY_R13,INDEPENDENT_BRIDGE,58,3.9139901714057985,-1.7184708481340825,12.220277630170422,12,2000,1309
full,10,CORE_AGG_CUMULATIVE_R13,INDEPENDENT_BRIDGE,58,5.988985375078292,-1.1461784899436578,16.51480265398076,12,2000,1309
full,10,CORE_SPLIT_MONTHLY_R13,INDEPENDENT_BRIDGE,58,3.5390275221207994,-1.9639746312645645,11.511482591639066,12,2000,1309
full,10,CORE_SPLIT_CUMULATIVE_R13,INDEPENDENT_BRIDGE,58,6.091703965098551,-1.0443915876742462,16.80230308682739,12,2000,1309
full,10,CORE_AGG_CUMULATIVE_LABOUR_R13,INDEPENDENT_BRIDGE,34,3.0687798849676935,1.8934794801506165,3.9876037602856265,12,2000,1309
full,10,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,INDEPENDENT_BRIDGE,34,1.5716344993773164,0.8389178921906851,2.340931691104471,12,2000,1309
full,10,CORE_AGG_CUMULATIVE_R13,CORE_AGG_MONTHLY_R13,58,2.0749952036724952,0.02416458847275875,5.42123754333683,12,2000,1309
full,10,CORE_SPLIT_CUMULATIVE_R13,CORE_SPLIT_MONTHLY_R13,58,2.5526764429777518,0.05087716294670877,6.359327814485935,12,2000,1309
full,10,CORE_SPLIT_MONTHLY_R13,CORE_AGG_MONTHLY_R13,58,-0.3749626492849991,-0.91005272043986,0.008796566383001194,12,2000,1309
full,10,CORE_SPLIT_CUMULATIVE_R13,CORE_AGG_CUMULATIVE_R13,58,0.10271859002025706,-0.2497012699607329,0.44674231294241656,12,2000,1309
full,10,CORE_AGG_CUMULATIVE_LABOUR_R13,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,34,1.4971453855903774,1.0186920641060604,1.94944641555084,12,2000,1309
full,11,CORE_AGG_MONTHLY_R13,INDEPENDENT_BRIDGE,56,3.7085784915652686,-3.6341590817690226,14.045115079863068,12,2000,1309
full,11,CORE_AGG_CUMULATIVE_R13,INDEPENDENT_BRIDGE,56,6.100917865851541,-2.292421062729016,18.267007904565343,12,2000,1309
full,11,CORE_SPLIT_MONTHLY_R13,INDEPENDENT_BRIDGE,56,3.762259054331865,-3.841828204841519,13.462637231401782,12,2000,1309
full,11,CORE_SPLIT_CUMULATIVE_R13,INDEPENDENT_BRIDGE,56,6.701444367908946,-2.257811332382006,19.412433160043705,12,2000,1309
full,11,CORE_AGG_CUMULATIVE_LABOUR_R13,INDEPENDENT_BRIDGE,32,3.772121490704712,2.1664554868712194,5.006809595094854,12,2000,1309
full,11,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,INDEPENDENT_BRIDGE,32,1.8718493830825091,0.9781866520887128,2.6903174994897623,12,2000,1309
full,11,CORE_AGG_CUMULATIVE_R13,CORE_AGG_MONTHLY_R13,56,2.3923393742862724,0.05097205829311684,5.919916149878241,12,2000,1309
full,11,CORE_SPLIT_CUMULATIVE_R13,CORE_SPLIT_MONTHLY_R13,56,2.939185313577081,0.08449117958275852,7.188537968379674,12,2000,1309
full,11,CORE_SPLIT_MONTHLY_R13,CORE_AGG_MONTHLY_R13,56,0.05368056276659648,-0.17239632072393496,0.2644873640646626,12,2000,1309
full,11,CORE_SPLIT_CUMULATIVE_R13,CORE_AGG_CUMULATIVE_R13,56,0.600526502057405,-0.10588866900334044,1.4274781797548204,12,2000,1309
full,11,CORE_AGG_CUMULATIVE_LABOUR_R13,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,32,1.9002721076222024,1.1322995996688143,2.5921493382737713,12,2000,1309
full,12,CORE_AGG_MONTHLY_R13,INDEPENDENT_BRIDGE,54,4.09355823312302,-4.708816899438281,14.59017068934182,12,2000,1309
full,12,CORE_AGG_CUMULATIVE_R13,INDEPENDENT_BRIDGE,54,8.429744598689277,-1.9885263392533323,23.463508003877305,12,2000,1309
full,12,CORE_SPLIT_MONTHLY_R13,INDEPENDENT_BRIDGE,54,4.045245795523167,-4.489105022226623,15.245541505236378,12,2000,1309
full,12,CORE_SPLIT_CUMULATIVE_R13,INDEPENDENT_BRIDGE,54,8.948259288608286,-2.085279421029862,24.668995792924505,12,2000,1309
full,12,CORE_AGG_CUMULATIVE_LABOUR_R13,INDEPENDENT_BRIDGE,30,5.9391556690258,4.16085181807475,7.4638647727602345,12,2000,1309
full,12,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,INDEPENDENT_BRIDGE,30,3.239942829757461,2.3511809779403277,4.061114520108232,12,2000,1309
full,12,CORE_AGG_CUMULATIVE_R13,CORE_AGG_MONTHLY_R13,54,4.336186365566258,0.34046449690841657,10.242421824133217,12,2000,1309
full,12,CORE_SPLIT_CUMULATIVE_R13,CORE_SPLIT_MONTHLY_R13,54,4.90301349308512,0.3219794790106575,12.211715227302442,12,2000,1309
full,12,CORE_SPLIT_MONTHLY_R13,CORE_AGG_MONTHLY_R13,54,-0.04831243759985281,-0.33037955453025997,0.2084413298002465,12,2000,1309
full,12,CORE_SPLIT_CUMULATIVE_R13,CORE_AGG_CUMULATIVE_R13,54,0.5185146899190087,-0.20625178947107015,1.2694151789074548,12,2000,1309
full,12,CORE_AGG_CUMULATIVE_LABOUR_R13,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,30,2.6992128392683394,1.671044557125451,3.6961004663180046,12,2000,1309
recent_targets,1,CORE_AGG_MONTHLY_R13,INDEPENDENT_BRIDGE,31,-0.00533160181356194,-0.020883373858153028,0.010109077432028669,12,2000,1309
recent_targets,1,CORE_AGG_CUMULATIVE_R13,INDEPENDENT_BRIDGE,31,-0.00533160181356194,-0.020698092771451407,0.010349445221088506,12,2000,1309
recent_targets,1,CORE_SPLIT_MONTHLY_R13,INDEPENDENT_BRIDGE,31,-0.007420653906902937,-0.025166967713593207,0.009379571070554357,12,2000,1309
recent_targets,1,CORE_SPLIT_CUMULATIVE_R13,INDEPENDENT_BRIDGE,31,-0.007420653906902937,-0.025377032589549143,0.009810223605630641,12,2000,1309
recent_targets,1,CORE_AGG_CUMULATIVE_LABOUR_R13,INDEPENDENT_BRIDGE,31,0.001385121411596891,-0.01662587414914017,0.01654630235172017,12,2000,1309
recent_targets,1,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,INDEPENDENT_BRIDGE,31,-0.0003625444851827178,-0.016570854666643018,0.01373722711758135,12,2000,1309
recent_targets,1,CORE_AGG_CUMULATIVE_R13,CORE_AGG_MONTHLY_R13,31,0.0,0.0,0.0,12,2000,1309
recent_targets,1,CORE_SPLIT_CUMULATIVE_R13,CORE_SPLIT_MONTHLY_R13,31,0.0,0.0,0.0,12,2000,1309
recent_targets,1,CORE_SPLIT_MONTHLY_R13,CORE_AGG_MONTHLY_R13,31,-0.0020890520933409956,-0.006466777018451504,0.002493857135036497,12,2000,1309
recent_targets,1,CORE_SPLIT_CUMULATIVE_R13,CORE_AGG_CUMULATIVE_R13,31,-0.0020890520933409956,-0.006240937487700617,0.0024001159226393564,12,2000,1309
recent_targets,1,CORE_AGG_CUMULATIVE_LABOUR_R13,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,31,0.0017476658967796061,-0.0004431312145609942,0.003746632144271536,12,2000,1309
recent_targets,2,CORE_AGG_MONTHLY_R13,INDEPENDENT_BRIDGE,31,-0.022400252445271263,-0.08814875368667481,0.042554221108103085,12,2000,1309
recent_targets,2,CORE_AGG_CUMULATIVE_R13,INDEPENDENT_BRIDGE,31,-0.02302981187369973,-0.08877662710691617,0.04202925361768874,12,2000,1309
recent_targets,2,CORE_SPLIT_MONTHLY_R13,INDEPENDENT_BRIDGE,31,-0.03729990448855707,-0.10267913472996107,0.02603734257682257,12,2000,1309
recent_targets,2,CORE_SPLIT_CUMULATIVE_R13,INDEPENDENT_BRIDGE,31,-0.03654961219408602,-0.1084997056931842,0.030939766142370997,12,2000,1309
recent_targets,2,CORE_AGG_CUMULATIVE_LABOUR_R13,INDEPENDENT_BRIDGE,31,0.013753477053978766,-0.049135801167349315,0.07383827560603891,12,2000,1309
recent_targets,2,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,INDEPENDENT_BRIDGE,31,-0.00010933912692237803,-0.0604219870717231,0.06093293420394445,12,2000,1309
recent_targets,2,CORE_AGG_CUMULATIVE_R13,CORE_AGG_MONTHLY_R13,31,-0.0006295594284284695,-0.002789195403141115,0.001700872193114676,12,2000,1309
recent_targets,2,CORE_SPLIT_CUMULATIVE_R13,CORE_SPLIT_MONTHLY_R13,31,0.0007502922944710473,-0.004208003227624922,0.006709851372454464,12,2000,1309
recent_targets,2,CORE_SPLIT_MONTHLY_R13,CORE_AGG_MONTHLY_R13,31,-0.014899652043285805,-0.022465064710139454,-0.005408695536300567,12,2000,1309
recent_targets,2,CORE_SPLIT_CUMULATIVE_R13,CORE_AGG_CUMULATIVE_R13,31,-0.013519800320386287,-0.023179268046496195,-0.0012007231043064655,12,2000,1309
recent_targets,2,CORE_AGG_CUMULATIVE_LABOUR_R13,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,31,0.013862816180901143,0.006823888972887864,0.020549565232340295,12,2000,1309
recent_targets,3,CORE_AGG_MONTHLY_R13,INDEPENDENT_BRIDGE,31,-0.019254553630195247,-0.12243753045234507,0.09005543707257403,12,2000,1309
recent_targets,3,CORE_AGG_CUMULATIVE_R13,INDEPENDENT_BRIDGE,31,-0.02295944171080979,-0.12342382048220918,0.08652962841587339,12,2000,1309
recent_targets,3,CORE_SPLIT_MONTHLY_R13,INDEPENDENT_BRIDGE,31,-0.04795899883697711,-0.14927476754318986,0.05336583526460919,12,2000,1309
recent_targets,3,CORE_SPLIT_CUMULATIVE_R13,INDEPENDENT_BRIDGE,31,-0.046156785685143836,-0.160992985919781,0.05983781473144971,12,2000,1309
recent_targets,3,CORE_AGG_CUMULATIVE_LABOUR_R13,INDEPENDENT_BRIDGE,31,0.05781370239498296,-0.0557655540129063,0.17345844965278986,12,2000,1309
recent_targets,3,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,INDEPENDENT_BRIDGE,31,0.021415014926383917,-0.07962251195308707,0.1335361521481632,12,2000,1309
recent_targets,3,CORE_AGG_CUMULATIVE_R13,CORE_AGG_MONTHLY_R13,31,-0.0037048880806145423,-0.008629146511296842,0.0022096975914975563,12,2000,1309
recent_targets,3,CORE_SPLIT_CUMULATIVE_R13,CORE_SPLIT_MONTHLY_R13,31,0.001802213151833275,-0.0034987844594162897,0.008939795948879021,12,2000,1309
recent_targets,3,CORE_SPLIT_MONTHLY_R13,CORE_AGG_MONTHLY_R13,31,-0.02870444520678186,-0.04331001533219028,-0.010845677777296068,12,2000,1309
