origin,as_of,feature,reference,last_publication,units,value,status
2011-07,2011-08-08 23:59:00,import_mom,2011-05,2011-07-15T00:00:00,"six-month import-price change less six-month core change, log points",4.339418138447368,available
2011-07,2011-08-08 23:59:00,ppi_mom,2011-06,2011-07-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",4.3239075165977505,available
2011-08,2011-09-08 23:59:00,tightening,2011-07,2011-09-01T00:00:00,"negative unemployment change12, pp",0.7000000000000002,available
2011-08,2011-09-08 23:59:00,import_gap,2011-06,2011-08-14T00:00:00,"relative price gap, log points",3.9876322774855093,available
2011-08,2011-09-08 23:59:00,ppi_gap,2011-07,2011-08-26T00:00:00,"relative price gap, log points",6.704750372711771,available
2011-08,2011-09-08 23:59:00,fx_news,2011-08,2011-09-01T00:00:00,FX log change since import reference,-0.049425430389592295,available
2011-08,2011-09-08 23:59:00,ulc_sameq,2011Q1,2011-06-14T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",0.7723336976841892,available
2011-08,2011-09-08 23:59:00,import_mom,2011-06,2011-08-14T00:00:00,"six-month import-price change less six-month core change, log points",0.6466528000929129,available
2011-08,2011-09-08 23:59:00,ppi_mom,2011-07,2011-08-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",3.355937144656779,available
2011-09,2011-10-09 23:59:00,tightening,2011-08,2011-10-02T00:00:00,"negative unemployment change12, pp",0.6999999999999993,available
2011-09,2011-10-09 23:59:00,import_gap,2011-07,2011-09-14T00:00:00,"relative price gap, log points",4.514445311655059,available
2011-09,2011-10-09 23:59:00,ppi_gap,2011-08,2011-09-26T00:00:00,"relative price gap, log points",6.809293868037173,available
2011-09,2011-10-09 23:59:00,fx_news,2011-09,2011-10-01T00:00:00,FX log change since import reference,0.8834774631131815,available
2011-09,2011-10-09 23:59:00,ulc_sameq,2011Q2,2011-09-13T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",1.8376418132200456,available
2011-09,2011-10-09 23:59:00,import_mom,2011-07,2011-09-14T00:00:00,"six-month import-price change less six-month core change, log points",1.4889613771756172,available
2011-09,2011-10-09 23:59:00,ppi_mom,2011-08,2011-09-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",2.6620564104956665,available
2011-10,2011-11-08 23:59:00,tightening,2011-09,2011-11-01T00:00:00,"negative unemployment change12, pp",0.3000000000000007,available
2011-10,2011-11-08 23:59:00,import_gap,2011-08,2011-10-15T00:00:00,"relative price gap, log points",3.809078084246506,available
2011-10,2011-11-08 23:59:00,ppi_gap,2011-09,2011-10-26T00:00:00,"relative price gap, log points",6.858278147428052,available
2011-10,2011-11-08 23:59:00,fx_news,2011-10,2011-11-01T00:00:00,FX log change since import reference,2.3412644912518985,available
2011-10,2011-11-08 23:59:00,ulc_sameq,2011Q2,2011-09-13T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",1.8376418132200456,available
2011-10,2011-11-08 23:59:00,import_mom,2011-08,2011-10-15T00:00:00,"six-month import-price change less six-month core change, log points",0.7263666159191282,available
2011-10,2011-11-08 23:59:00,ppi_mom,2011-09,2011-10-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",1.3899944168452891,available
2011-11,2011-12-08 23:59:00,tightening,2011-10,2011-12-02T00:00:00,"negative unemployment change12, pp",0.5999999999999996,available
2011-11,2011-12-08 23:59:00,import_gap,2011-09,2011-11-14T00:00:00,"relative price gap, log points",5.193484109922508,available
2011-11,2011-12-08 23:59:00,ppi_gap,2011-10,2011-11-26T00:00:00,"relative price gap, log points",6.710851557817193,available
2011-11,2011-12-08 23:59:00,fx_news,2011-11,2011-12-01T00:00:00,FX log change since import reference,3.583666826106869,available
2011-11,2011-12-08 23:59:00,ulc_sameq,2011Q2,2011-09-13T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",1.8376418132201024,available
2011-11,2011-12-08 23:59:00,import_mom,2011-09,2011-11-14T00:00:00,"six-month import-price change less six-month core change, log points",1.2277147166742906,available
2011-11,2011-12-08 23:59:00,ppi_mom,2011-10,2011-11-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",0.38583402697227615,available
2011-12,2012-01-08 23:59:00,tightening,2011-11,2012-01-01T00:00:00,"negative unemployment change12, pp",0.40000000000000036,available
2011-12,2012-01-08 23:59:00,import_gap,2011-10,2011-12-15T00:00:00,"relative price gap, log points",5.84060616280976,available
2011-12,2012-01-08 23:59:00,ppi_gap,2011-11,2011-12-26T00:00:00,"relative price gap, log points",7.208049338222224,available
2011-12,2012-01-08 23:59:00,fx_news,2011-12,2012-01-01T00:00:00,FX log change since import reference,2.648924810960362,available
2011-12,2012-01-08 23:59:00,ulc_sameq,2011Q3,2011-12-14T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",4.957645104765788,available
2011-12,2012-01-08 23:59:00,import_mom,2011-10,2011-12-15T00:00:00,"six-month import-price change less six-month core change, log points",1.8205549364533595,available
2011-12,2012-01-08 23:59:00,ppi_mom,2011-11,2011-12-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",0.4448577256637976,available
2012-01,2012-02-15 23:59:00,tightening,2011-12,2012-02-01T00:00:00,"negative unemployment change12, pp",0.2999999999999998,available
2012-01,2012-02-15 23:59:00,import_gap,2011-12,2012-02-14T00:00:00,"relative price gap, log points",8.445513824908591,available
2012-01,2012-02-15 23:59:00,ppi_gap,2011-12,2012-01-26T00:00:00,"relative price gap, log points",7.377897670006121,available
2012-01,2012-02-15 23:59:00,fx_news,2012-01,2012-02-14T00:00:00,FX log change since import reference,0.06660528778760402,available
2012-01,2012-02-15 23:59:00,ulc_sameq,2011Q3,2011-12-14T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",4.957645104765845,available
