,szif_mm_A,szif_mm_B,weeks_used_A,weeks_used_B,weeks_month
2025-11,-4.274180544760233,-4.625037168954285,3,4,4
2025-12,-3.3009147406065544,-2.597690145827407,3,4,4
2026-01,-5.967054669499414,-6.166054072918167,4,5,5
2026-02,-1.8056619761313069,-1.8056619761313069,3,3,4
2026-03,1.5630490712348906,1.7998457788244888,3,4,4
2026-04,1.5683386939198602,1.5683386939198602,4,4,5
2026-05,-2.472611058148723,-2.770173177892493,3,4,4
2026-06,-3.166186804847935,-3.388340101524941,3,4,4
2026-07,-1.505556930821107,-1.505556930821107,4,4,5
2026-08,-0.34875663747239444,-0.05018464454718371,3,4,4
2026-09,,,0,0,0
