origin,band,family,feature,log_core_pp,absolute_contribution
2026-07,1,wide,a6_55,-0.015381990234154807,0.015381990234154807
2026-07,1,wide,services_yoy,0.014384735790554812,0.014384735790554812
2026-07,1,wide,fx3,0.013984514667002367,0.013984514667002367
2026-07,1,wide,a6_45,-0.009190349262396655,0.009190349262396655
2026-07,1,wide,a6_26,0.008539242793088894,0.008539242793088894
2026-07,1,wide,a6_13,-0.005446114638720499,0.005446114638720499
2026-07,1,wide,a6_25,-0.00403587577046312,0.00403587577046312
2026-07,1,wide,a6_51,0.0038504187845723997,0.0038504187845723997
2026-07,1,wide,a6_64,-0.003838140401934824,0.003838140401934824
2026-07,1,wide,services_change3,-0.0032325935655765155,0.0032325935655765155
2026-07,1,wide,a6_12,0.003080036304187465,0.003080036304187465
2026-07,1,wide,a6_65,-0.0011606780677456258,0.0011606780677456258
2026-07,1,wide,intercept,0.0,0.0
2026-07,1,wide,core1,-0.0,0.0
2026-07,1,wide,core3,0.0,0.0
2026-07,1,wide,core12,0.0,0.0
2026-07,1,wide,core_acceleration,-0.0,0.0
2026-07,1,wide,midtrend,0.0,0.0
2026-07,1,wide,midcycle,-0.0,0.0
2026-07,1,wide,goods_yoy,0.0,0.0
2026-07,1,wide,goods_change3,-0.0,0.0
2026-07,1,wide,fx1,0.0,0.0
2026-07,1,wide,a6_11,-0.0,0.0
2026-07,1,wide,a6_17,0.0,0.0
2026-07,1,wide,a6_23,-0.0,0.0
2026-07,1,wide,a6_24,0.0,0.0
2026-07,1,wide,a6_43,0.0,0.0
2026-07,1,wide,a6_44,0.0,0.0
2026-07,1,wide,a6_46,-0.0,0.0
2026-07,1,wide,a6_48,0.0,0.0
2026-07,1,wide,a6_49,-0.0,0.0
2026-07,1,wide,a6_50,0.0,0.0
2026-07,1,wide,a6_52,-0.0,0.0
2026-07,1,wide,a6_53,-0.0,0.0
2026-07,1,wide,a6_54,-0.0,0.0
2026-07,1,wide,a6_56,-0.0,0.0
2026-07,1,wide,a6_57,-0.0,0.0
2026-07,1,wide,a6_58,-0.0,0.0
2026-07,1,wide,a6_60,0.0,0.0
2026-07,1,wide,a6_61,-0.0,0.0
2026-07,1,wide,a6_62,-0.0,0.0
2026-07,1,wide,a6_66,0.0,0.0
2026-07,1,wide,destination_season,-0.0,0.0
2026-07,2,wide,intercept,0.0,0.0
2026-07,2,wide,core1,-0.0,0.0
2026-07,2,wide,core3,-0.0,0.0
2026-07,2,wide,core12,-0.0,0.0
2026-07,2,wide,core_acceleration,-0.0,0.0
2026-07,2,wide,midtrend,-0.0,0.0
2026-07,2,wide,midcycle,-0.0,0.0
2026-07,2,wide,services_yoy,-0.0,0.0
2026-07,2,wide,services_change3,-0.0,0.0
2026-07,2,wide,goods_yoy,-0.0,0.0
2026-07,2,wide,goods_change3,-0.0,0.0
2026-07,2,wide,fx1,-0.0,0.0
2026-07,2,wide,fx3,-0.0,0.0
2026-07,2,wide,a6_11,0.0,0.0
2026-07,2,wide,a6_12,0.0,0.0
2026-07,2,wide,a6_13,-0.0,0.0
2026-07,2,wide,a6_17,0.0,0.0
2026-07,2,wide,a6_23,-0.0,0.0
2026-07,2,wide,a6_24,0.0,0.0
2026-07,2,wide,a6_25,0.0,0.0
2026-07,2,wide,a6_26,0.0,0.0
2026-07,2,wide,a6_43,-0.0,0.0
2026-07,2,wide,a6_44,-0.0,0.0
2026-07,2,wide,a6_45,-0.0,0.0
2026-07,2,wide,a6_46,-0.0,0.0
2026-07,2,wide,a6_47,-0.0,0.0
2026-07,2,wide,a6_48,0.0,0.0
2026-07,2,wide,a6_49,-0.0,0.0
2026-07,2,wide,a6_50,-0.0,0.0
2026-07,2,wide,a6_51,0.0,0.0
2026-07,2,wide,a6_52,-0.0,0.0
2026-07,2,wide,a6_53,0.0,0.0
2026-07,2,wide,a6_54,0.0,0.0
2026-07,2,wide,a6_55,0.0,0.0
2026-07,2,wide,a6_56,-0.0,0.0
2026-07,2,wide,a6_57,-0.0,0.0
2026-07,2,wide,a6_58,0.0,0.0
2026-07,2,wide,a6_59,0.0,0.0
2026-07,2,wide,a6_60,0.0,0.0
2026-07,2,wide,a6_61,0.0,0.0
2026-07,2,wide,a6_62,-0.0,0.0
2026-07,2,wide,a6_63,0.0,0.0
2026-07,2,wide,a6_64,-0.0,0.0
2026-07,2,wide,a6_65,0.0,0.0
2026-07,2,wide,a6_66,0.0,0.0
2026-07,2,wide,destination_season,-0.0,0.0
2026-07,3,wide,intercept,0.0,0.0
2026-07,3,wide,core1,-0.0,0.0
2026-07,3,wide,core3,-0.0,0.0
2026-07,3,wide,core12,-0.0,0.0
2026-07,3,wide,core_acceleration,-0.0,0.0
2026-07,3,wide,midtrend,-0.0,0.0
2026-07,3,wide,midcycle,-0.0,0.0
2026-07,3,wide,services_yoy,-0.0,0.0
2026-07,3,wide,services_change3,-0.0,0.0
2026-07,3,wide,goods_yoy,-0.0,0.0
2026-07,3,wide,goods_change3,-0.0,0.0
2026-07,3,wide,fx1,-0.0,0.0
2026-07,3,wide,fx3,-0.0,0.0
2026-07,3,wide,a6_11,0.0,0.0
2026-07,3,wide,a6_12,0.0,0.0
2026-07,3,wide,a6_13,-0.0,0.0
2026-07,3,wide,a6_17,0.0,0.0
2026-07,3,wide,a6_23,-0.0,0.0
2026-07,3,wide,a6_24,0.0,0.0
2026-07,3,wide,a6_25,0.0,0.0
2026-07,3,wide,a6_26,0.0,0.0
2026-07,3,wide,a6_43,-0.0,0.0
2026-07,3,wide,a6_44,-0.0,0.0
2026-07,3,wide,a6_45,-0.0,0.0
2026-07,3,wide,a6_46,-0.0,0.0
2026-07,3,wide,a6_47,-0.0,0.0
2026-07,3,wide,a6_48,0.0,0.0
2026-07,3,wide,a6_49,-0.0,0.0
2026-07,3,wide,a6_50,-0.0,0.0
2026-07,3,wide,a6_51,0.0,0.0
2026-07,3,wide,a6_52,-0.0,0.0
2026-07,3,wide,a6_53,0.0,0.0
2026-07,3,wide,a6_54,0.0,0.0
2026-07,3,wide,a6_55,0.0,0.0
2026-07,3,wide,a6_56,-0.0,0.0
2026-07,3,wide,a6_57,-0.0,0.0
2026-07,3,wide,a6_58,0.0,0.0
2026-07,3,wide,a6_59,0.0,0.0
2026-07,3,wide,a6_60,0.0,0.0
2026-07,3,wide,a6_61,0.0,0.0
2026-07,3,wide,a6_62,-0.0,0.0
2026-07,3,wide,a6_63,0.0,0.0
2026-07,3,wide,a6_64,-0.0,0.0
2026-07,3,wide,a6_65,0.0,0.0
2026-07,3,wide,a6_66,0.0,0.0
2026-07,3,wide,destination_season,0.0,0.0
