origin,config,prediction,status,n_train,stage,family,band
2015-01,l10,0.009460597101699502,estimated,105,signal,services,0
2015-02,l0.1,-0.24678947641380092,estimated,106,signal,services,0
2015-02,l1,-0.018176517140463117,estimated,106,signal,services,0
2015-02,l10,0.011021653561183635,estimated,106,signal,services,0
2015-03,l0.1,0.04501594331149165,estimated,107,signal,services,0
2015-03,l1,0.036077653085189,estimated,107,signal,services,0
2015-03,l10,0.008722329176752752,estimated,107,signal,services,0
2015-04,l0.1,-0.04292978762132191,estimated,108,signal,services,0
2015-04,l1,0.00869563666899643,estimated,108,signal,services,0
2015-04,l10,0.004081330206848372,estimated,108,signal,services,0
2015-05,l0.1,0.10481039707420534,estimated,109,signal,services,0
2015-05,l1,0.038203628232343155,estimated,109,signal,services,0
2015-05,l10,0.006695372519263218,estimated,109,signal,services,0
2015-06,l0.1,0.2719625944630938,estimated,110,signal,services,0
2015-06,l1,0.2226407471301892,estimated,110,signal,services,0
2015-06,l10,0.06359514303587456,estimated,110,signal,services,0
2015-07,l0.1,0.1812399843391426,estimated,111,signal,services,0
2015-07,l1,0.13945488083123966,estimated,111,signal,services,0
2015-07,l10,0.04114912770707716,estimated,111,signal,services,0
2015-08,l0.1,-0.0004138366845272194,estimated,112,signal,services,0
2015-08,l1,0.0469730763566383,estimated,112,signal,services,0
2015-08,l10,0.02008675044755709,estimated,112,signal,services,0
2015-09,l0.1,-0.008386653476956666,estimated,113,signal,services,0
2015-09,l1,0.06424666474807644,estimated,113,signal,services,0
2015-09,l10,0.025202693461646136,estimated,113,signal,services,0
2015-10,l0.1,-0.041800547382271916,estimated,114,signal,services,0
2015-10,l1,0.027877705063536946,estimated,114,signal,services,0
2015-10,l10,0.015264026972914048,estimated,114,signal,services,0
2015-11,l0.1,0.04990731250256293,estimated,115,signal,services,0
2015-11,l1,0.05499675164830534,estimated,115,signal,services,0
2015-11,l10,0.019613643340962234,estimated,115,signal,services,0
2015-12,l0.1,-0.027258627973106242,estimated,116,signal,services,0
2015-12,l1,-0.0395960014722969,estimated,116,signal,services,0
2015-12,l10,-0.007274444394508265,estimated,116,signal,services,0
2016-01,l0.1,0.0016887773081537124,estimated,117,signal,services,0
2016-01,l1,0.0002740902509697966,estimated,117,signal,services,0
2016-01,l10,0.0038782946290057017,estimated,117,signal,services,0
2016-02,l0.1,0.036667263945128516,estimated,118,signal,services,0
2016-02,l1,0.03358648784929045,estimated,118,signal,services,0
2016-02,l10,0.012806028276719813,estimated,118,signal,services,0
2016-03,l0.1,0.062411955410381685,estimated,119,signal,services,0
2016-03,l1,0.11382544086738801,estimated,119,signal,services,0
2016-03,l10,0.03728355291492288,estimated,119,signal,services,0
2016-04,l0.1,0.10717046595211177,estimated,120,signal,services,0
2016-04,l1,0.13378902275826207,estimated,120,signal,services,0
2016-04,l10,0.04156684173854284,estimated,120,signal,services,0
2016-05,l0.1,0.04626287326886631,estimated,120,signal,services,0
2016-05,l1,0.08942837703226018,estimated,120,signal,services,0
2016-05,l10,0.030385290003994647,estimated,120,signal,services,0
2016-06,l0.1,0.09426778628777063,estimated,120,signal,services,0
2016-06,l1,-0.040196444407876265,estimated,120,signal,services,0
2016-06,l10,-0.019076250017827083,estimated,120,signal,services,0
2016-07,l0.1,-0.06540366104603251,estimated,120,signal,services,0
2016-07,l1,-0.11615528759787855,estimated,120,signal,services,0
2016-07,l10,-0.03581625487041473,estimated,120,signal,services,0
2016-08,l0.1,-0.05052108071135202,estimated,120,signal,services,0
2016-08,l1,-0.03653909462079689,estimated,120,signal,services,0
2016-08,l10,-0.011302569010006855,estimated,120,signal,services,0
2016-09,l0.1,0.07273847574929218,estimated,120,signal,services,0
2016-09,l1,0.0457808113659679,estimated,120,signal,services,0
2016-09,l10,0.010464700936085373,estimated,120,signal,services,0
2016-10,l0.1,0.1434660609824684,estimated,120,signal,services,0
2016-10,l1,0.10148333403823291,estimated,120,signal,services,0
2016-10,l10,0.024550884114441594,estimated,120,signal,services,0
2016-11,l0.1,0.14875168732307656,estimated,120,signal,services,0
2016-11,l1,0.03436100162841401,estimated,120,signal,services,0
2016-11,l10,0.0028350416540188017,estimated,120,signal,services,0
2016-12,l0.1,0.21976038000140882,estimated,120,signal,services,0
2016-12,l1,0.06978364665078336,estimated,120,signal,services,0
2016-12,l10,0.005749549320936467,estimated,120,signal,services,0
2017-01,l0.1,0.3083555038949314,estimated,120,signal,services,0
2017-01,l1,0.0838371032721228,estimated,120,signal,services,0
2017-01,l10,0.005949547414853661,estimated,120,signal,services,0
2017-02,l0.1,0.32116355409932956,estimated,120,signal,services,0
2017-02,l1,0.09753906252693972,estimated,120,signal,services,0
2017-02,l10,0.00958261445602138,estimated,120,signal,services,0
2017-03,l0.1,0.29136242308239074,estimated,120,signal,services,0
2017-03,l1,0.0998542831972053,estimated,120,signal,services,0
2017-03,l10,0.011951797847916779,estimated,120,signal,services,0
2017-04,l0.1,0.2659560144393828,estimated,120,signal,services,0
2017-04,l1,0.11463330357032585,estimated,120,signal,services,0
2017-04,l10,0.01761530811095102,estimated,120,signal,services,0
2017-05,l0.1,0.06525951363168715,estimated,120,signal,services,0
2017-05,l1,0.03552358519697992,estimated,120,signal,services,0
2017-05,l10,0.0027929363377677476,estimated,120,signal,services,0
2017-06,l0.1,-0.02728333171609258,estimated,120,signal,services,0
2017-06,l1,0.05715399953019763,estimated,120,signal,services,0
2017-06,l10,0.017277966406013482,estimated,120,signal,services,0
2017-07,l0.1,0.03942909850866482,estimated,120,signal,services,0
2017-07,l1,0.08254653427853838,estimated,120,signal,services,0
2017-07,l10,0.022091590859811633,estimated,120,signal,services,0
2017-08,l0.1,0.026158417780452473,estimated,120,signal,services,0
2017-08,l1,0.021256705358790616,estimated,120,signal,services,0
2017-08,l10,0.003367535753231333,estimated,120,signal,services,0
2017-09,l0.1,-0.0017670559311593653,estimated,120,signal,services,0
2017-09,l1,-0.08311982755665735,estimated,120,signal,services,0
2017-09,l10,-0.03044060856325788,estimated,120,signal,services,0
2017-10,l0.1,-0.12520643314777524,estimated,120,signal,services,0
2017-10,l1,-0.10323728312792257,estimated,120,signal,services,0
2017-10,l10,-0.030728576878279703,estimated,120,signal,services,0
2017-11,l0.1,-0.02177666079460032,estimated,120,signal,services,0
2017-11,l1,0.02015971990074987,estimated,120,signal,services,0
2017-11,l10,0.002319783718164437,estimated,120,signal,services,0
2017-12,l0.1,-0.040641941407138005,estimated,120,signal,services,0
2017-12,l1,0.0008818938480242566,estimated,120,signal,services,0
2017-12,l10,-0.00020477067930357957,estimated,120,signal,services,0
2018-01,l0.1,0.0054224205294902735,estimated,120,signal,services,0
2018-01,l1,0.039245361279994985,estimated,120,signal,services,0
2018-01,l10,0.00876433169029552,estimated,120,signal,services,0
