origin,core_acceleration,family,band,services_projection,goods_projection
2016-01,0.07974529527116854,own,3,,
2016-02,0.01574972324425017,own,3,,
2016-03,0.011991006330225457,own,3,,
2016-04,-0.09832047755438518,own,3,,
2016-05,-0.08300559532843116,own,3,,
2016-06,-0.056693517194811735,own,3,,
2016-07,-0.056117058324926555,own,3,,
2016-08,-0.008739156602148676,own,3,,
2016-09,-0.053922898242421885,own,3,,
2016-10,0.006413677280076108,own,3,,
2016-11,0.07163127661108917,own,3,,
2016-12,0.12471562147419313,own,3,,
2017-01,0.22082542281941253,own,3,,
2017-02,0.18107419042803866,own,3,,
2017-03,0.19448712674888124,own,3,,
2017-04,0.0669700421156455,own,3,,
2017-05,-0.008301876717519141,own,3,,
2017-06,-0.04448174871700705,own,3,,
2017-07,-0.06655408220333425,own,3,,
2017-08,-0.05440627694638764,own,3,,
2017-09,-0.10301664785661367,own,3,,
2017-10,-0.05680158220451456,own,3,,
2017-11,-0.03669643939371342,own,3,,
2017-12,-0.005094038409726387,own,3,,
2018-01,-0.04630716929202662,own,3,,
2018-02,-0.08333162874754471,own,3,,
2018-03,-0.020676189494091113,own,3,,
2018-04,0.04266984645269917,own,3,,
2018-05,0.08689340043827737,own,3,,
2018-06,0.06732067846110559,own,3,,
2018-07,0.044434735022261806,own,3,,
2018-08,0.15435957094868877,own,3,,
2018-09,0.12893485718821007,own,3,,
2018-10,0.05556400160076075,own,3,,
2018-11,-0.07691313266632088,own,3,,
2018-12,-0.07572858009490893,own,3,,
2019-01,-0.0027999372663727873,own,3,,
2019-02,0.02466317424122494,own,3,,
2019-03,0.004837194979398607,own,3,,
2011-01,0.07704977168218995,services,3,0.06142335355528833,
2011-02,0.0013353437926719725,services,3,0.08462459330106575,
2011-03,-0.06503456362478144,services,3,0.09195714706290432,
2011-04,-0.06985535060429211,services,3,0.10300841714985516,
2011-05,-0.03553843925773509,services,3,0.08784528909952799,
2011-06,0.012222757992244898,services,3,0.10429265253224006,
2011-07,0.028835592174351415,services,3,0.08483953492301487,
2011-08,0.0028661642277841848,services,3,0.09034696230278262,
2011-09,0.008741928001254583,services,3,0.0602726984868835,
2011-10,0.036737482538566596,services,3,0.048023650691473886,
2011-11,0.10280464262656956,services,3,0.04187971122690681,
2011-12,0.13804085221051313,services,3,0.02924516663852071,
2012-01,0.09652343076300218,services,3,0.0446010149218156,
2012-02,0.015676784330355225,services,3,-0.01810603603874136,
2012-03,-0.021374775183405026,services,3,-0.058793895912701254,
2012-04,-0.04527306307374675,services,3,-0.05454140753332071,
2012-05,-0.01853807647728798,services,3,-0.0416734649818021,
2012-06,-0.02101778378390163,services,3,-0.014257762491128883,
2012-07,0.0184349774467528,services,3,-0.02001104933233443,
2012-08,-0.06408391603182348,services,3,-0.019180415860506707,
2012-09,-0.10849077902783472,services,3,-0.022997702729522534,
2012-10,-0.0824689768007342,services,3,-0.04467676658640016,
2012-11,0.020831791837620496,services,3,-0.04248047745974965,
2012-12,0.04052587732714671,services,3,-0.04742191945215871,
2013-01,-0.01537435582276215,services,3,-0.0024986005294419153,
2013-02,-0.026097122564099344,services,3,0.026519553486076028,
2013-03,0.03308812897863598,services,3,0.008635775166668523,
2013-04,0.035767962153772814,services,3,-0.010326422101598119,
2013-05,0.016608937516510585,services,3,0.007767580227092214,
2013-06,-0.06962670282389297,services,3,0.06580304871491098,
2013-07,-0.05865231418517712,services,3,0.1009359101467362,
2013-08,-0.09280586041242743,services,3,0.08484357849148737,
2013-09,-0.05214854688237168,services,3,0.06649520639818875,
2013-10,-0.02305554929584741,services,3,0.04603520206257485,
2013-11,0.07039133601197023,services,3,0.0503624938061795,
2013-12,0.09513164748015118,services,3,0.03390987181333159,
2014-01,0.11390564534823866,services,3,0.03744808477181747,
2014-02,0.05851531662645733,services,3,0.08604569802363282,
2014-03,0.08843069369475806,services,3,0.09788421642731182,
2014-04,0.07723644793753562,services,3,0.07171251486192352,
