period,a6_11,a6_12,a6_13,a6_14,a6_18,a6_20,a6_22,a6_23,a6_25,a6_26,a6_29,a6_32,a6_36,a6_38,a6_43,a6_44,a6_45,a6_46,a6_47,a6_48,a6_49,a6_53,a6_54,a6_55,a6_56,a6_57,a6_58,a6_59,a6_60,a6_61,a6_64,a6_65,a6_66,a6_69,a6_70,a6_72
2015-06,5.404848214281947,89.65433726,88.02798310454065,1.426056254975424,107.0,3.4,,-0.0009945301665084116,14352.17972,-0.2999999999999971,1.0999999999999996,31.2,0.7000000000000028,-17.8,-12.099999999999994,-2.0999999999999943,-0.001976285228211694,0.0039840690148746916,0.0,0.0,0.0,1.0104550394370335,0.31,0.05,0.007015400690144169,0.010411513024954466,0.00632512423713294,0.022286483810709967,63.75272727272727,-0.007193072519138255,,21.395545454545456,68.18636363636364,1.959375,1.55625,18.7
2015-07,5.197210997473214,92.20328558,,1.2521950921690823,107.0,6.3,,0.003972199860433179,4361.549121,-0.7999999999999972,0.10000000000000053,30.0,-1.2000000000000028,-17.8,-9.0,-3.0,-0.003964326301908905,-0.0009945301665084116,0.0010015023370897325,0.0,0.0,0.9670291458823458,0.31,0.05,0.003181937506342436,0.002780405505814265,0.01049675451565335,0.00668405916367476,56.76434782608696,-0.01547078127712087,,21.067086956521734,61.14391304347827,1.9778602800486385,1.5799405383732696,23.3
2015-08,5.043719745626214,90.79294207,98.3855254001392,1.0905139876469596,107.1,4.7,,-0.000991571722295248,-1725.935702,-1.0,-2.8000000000000003,31.0,-1.6999999999999993,-19.4,,-3.088391906283283,-0.007976114070008755,-0.0009955202415010689,0.001000500333583787,0.0,0.0,0.7384261956496467,0.31,0.05,0.009587018864645636,0.011264613868104512,0.02357575855252847,0.004509505754626275,48.205714285714286,-0.061489045867512804,,19.810714285714287,53.87666666666666,1.9504027592010496,1.6451697315819829,23.8
2015-09,4.925514414283548,89.81753282,102.42299794661191,0.883896230348814,107.5,5.5,,-0.0029806281381379307,15975.776051,-0.7000000000000028,-0.10000000000000009,30.3,0.6999999999999993,-15.7,-7.0,-3.700000000000003,-0.007031671363680658,-0.006996530289836933,0.00399202126953746,0.0,0.0,0.6772015298171272,0.29,0.05,-0.0035589035479066666,0.003398567103893413,0.00640166739325565,0.005557616477045002,48.53954545454546,-0.027829128987361784,,19.267,53.59727272727272,1.95272586422892,1.5729872165406025,13.6
2015-10,4.824051847873015,91.51764488,103.80938993533876,0.6485565782246575,106.1,4.2,,0.0,15176.068855,-0.2999999999999971,-1.9,31.7,0.7000000000000028,-16.5,-3.200000000000003,-4.200000000000003,-0.0020181641562375674,0.005002511682971722,0.004967720101934248,0.0,0.0,0.5603262600562686,0.29,0.05,-0.0025498509404142666,-0.0038379344220338396,0.0031180066004239393,0.005513828108991703,49.29272727272726,-0.04826891868757199,,18.35909090909091,53.5390909090909,1.9773408043201373,1.6858906477977826,16.2
2015-11,4.752832255099422,89.27397883,105.7212416311625,0.6270840564889711,106.9,5.4,,-0.010000083334583465,9644.440591,0.0,-0.39999999999999997,32.8,0.09999999999999787,-19.3,3.200000000000003,-3.9000000000000057,-0.003034903695153801,0.001994018606865211,0.0009905894816961691,0.0,0.0,0.4864018505859375,0.29,0.05,-0.006968669316093745,-0.008163310639160315,-0.0015544106951033143,0.0048041940330669775,45.93238095238095,-0.04782603389559714,,17.501714285714286,53.21142857142858,1.9933333333333336,1.7,13.2
2015-12,4.714810182658797,89.48465613,107.60607105898583,0.7745248086621686,106.4,6.9,,0.0010045204260054064,-1156.07264,-1.2000000000000028,0.9000000000000001,34.0,-1.0999999999999979,-20.2,1.0999999999999943,-3.700000000000003,-0.00507873107901613,0.0019900504080094805,-0.007952328190495628,0.0,0.0,0.4921933484497071,0.29,0.05,0.00941665095473354,0.005963573720469739,-0.026117105610815372,0.007571969579295512,38.90409090909091,-0.08910974985148323,,16.009608695652176,49.22434782608695,1.973361624794458,1.7033616247944576,15.5
2016-01,4.672218396361666,91.00311884,101.04364326375712,0.7500915772701795,105.8,3.8,,-0.011105616412509178,20890.038221,-1.5,2.6,35.8,0.09999999999999787,-18.3,1.0999999999999943,-2.9000000000000057,-0.01642747414194723,0.0,-0.005002511682971722,0.004987541511038529,0.004987541511038529,0.615827989303589,0.29,0.05,0.0022387309645379716,0.013452382009282005,0.014290524584847475,-0.0019098017649845644,31.9255,-0.09794448508700038,,14.515899999999997,41.58857142857143,1.9733333333333336,1.832,8.7
2016-02,4.581384769610614,92.75116049,101.84560780834072,0.6516696006629534,105.2,3.8,,0.004052690450623508,19896.246516,-1.0999999999999943,-1.4000000000000004,32.8,0.5,-20.7,-1.2000000000000028,-3.4000000000000057,-0.006230549750636527,0.003968259175620936,-0.002008032803245463,0.0,0.0,0.4608183537365141,0.28,0.05,-0.0014240669683616147,0.0026038855983987474,0.00033222437877000743,0.005133540782157553,33.527142857142856,-0.043252990598386276,-0.1561866272208976,13.901428571428571,41.73904761904763,2.010805744927941,1.8194910221101357,9.1
2016-03,4.445801696379205,91.78229702,102.29497672925692,0.4197152266540552,105.4,2.7,,0.00905894468875168,20926.759289,0.2000000000000028,-0.5999999999999999,32.8,-1.8000000000000007,-22.5,-2.9000000000000057,-4.0,0.0,-0.0029747171167429087,0.0030105391528714165,0.0,0.0,0.354480847836449,0.29,0.05,-0.009203459993523566,-0.0069588189917713095,0.026222349681301438,0.002987045279191136,39.790000000000006,-0.01851331035043957,-0.051660011576578624,13.646434782608695,45.38869565217392,2.0142857142857147,1.8142857142857145,11.5
