origin,as_of,model,status,n_train
2022-08,2022-09-11T21:59:00+00:00,JOINT_HALF_R22,estimated,82
2022-09,2022-10-10T21:59:00+00:00,JOINT_OWN_R22,estimated,84
2022-09,2022-10-10T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,84
2022-09,2022-10-10T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,84
2022-09,2022-10-10T21:59:00+00:00,JOINT_LINEAR_R22,estimated,84
2022-09,2022-10-10T21:59:00+00:00,JOINT_ENET_R22,estimated,84
2022-09,2022-10-10T21:59:00+00:00,JOINT_RF_R22,estimated,84
2022-09,2022-10-10T21:59:00+00:00,JOINT_HALF_R22,estimated,84
2022-10,2022-11-09T22:59:00+00:00,JOINT_OWN_R22,estimated,85
2022-10,2022-11-09T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,85
2022-10,2022-11-09T22:59:00+00:00,JOINT_IMPORTED_R22,estimated,85
2022-10,2022-11-09T22:59:00+00:00,JOINT_LINEAR_R22,estimated,85
2022-10,2022-11-09T22:59:00+00:00,JOINT_ENET_R22,estimated,85
2022-10,2022-11-09T22:59:00+00:00,JOINT_RF_R22,estimated,85
2022-10,2022-11-09T22:59:00+00:00,JOINT_HALF_R22,estimated,85
2022-11,2022-12-11T22:59:00+00:00,JOINT_OWN_R22,estimated,85
2022-11,2022-12-11T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,85
2022-11,2022-12-11T22:59:00+00:00,JOINT_IMPORTED_R22,estimated,85
2022-11,2022-12-11T22:59:00+00:00,JOINT_LINEAR_R22,estimated,85
2022-11,2022-12-11T22:59:00+00:00,JOINT_ENET_R22,estimated,85
2022-11,2022-12-11T22:59:00+00:00,JOINT_RF_R22,estimated,85
2022-11,2022-12-11T22:59:00+00:00,JOINT_HALF_R22,estimated,85
2022-12,2023-01-10T22:59:00+00:00,JOINT_OWN_R22,estimated,87
2022-12,2023-01-10T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,87
2022-12,2023-01-10T22:59:00+00:00,JOINT_IMPORTED_R22,estimated,87
2022-12,2023-01-10T22:59:00+00:00,JOINT_LINEAR_R22,estimated,87
2022-12,2023-01-10T22:59:00+00:00,JOINT_ENET_R22,estimated,87
2022-12,2023-01-10T22:59:00+00:00,JOINT_RF_R22,estimated,87
2022-12,2023-01-10T22:59:00+00:00,JOINT_HALF_R22,estimated,87
2023-01,2023-02-09T22:59:00+00:00,JOINT_OWN_R22,estimated,88
2023-01,2023-02-09T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,88
2023-01,2023-02-09T22:59:00+00:00,JOINT_IMPORTED_R22,estimated,88
2023-01,2023-02-09T22:59:00+00:00,JOINT_LINEAR_R22,estimated,88
2023-01,2023-02-09T22:59:00+00:00,JOINT_ENET_R22,estimated,88
2023-01,2023-02-09T22:59:00+00:00,JOINT_RF_R22,estimated,88
2023-01,2023-02-09T22:59:00+00:00,JOINT_HALF_R22,estimated,88
2023-02,2023-03-09T22:59:00+00:00,JOINT_OWN_R22,estimated,88
2023-02,2023-03-09T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,88
