"Ukazatel","IndicatorType","Týdny","CasT2","Území","Uz0","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Průměrná cena bez daní (Kč/tis. l)","7401"," 02. týden 2020","2020-W02","Česko","CZ","14259.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 03. týden 2020","2020-W03","Česko","CZ","13837.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 04. týden 2020","2020-W04","Česko","CZ","13432.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 05. týden 2020","2020-W05","Česko","CZ","13175.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 06. týden 2020","2020-W06","Česko","CZ","12714.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 07. týden 2020","2020-W07","Česko","CZ","11986.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 08. týden 2020","2020-W08","Česko","CZ","12163.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 09. týden 2020","2020-W09","Česko","CZ","12288.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 10. týden 2020","2020-W10","Česko","CZ","11869.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 11. týden 2020","2020-W11","Česko","CZ","11136.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 12. týden 2020","2020-W12","Česko","CZ","10129.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 13. týden 2020","2020-W13","Česko","CZ","9505.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 14. týden 2020","2020-W14","Česko","CZ","9256.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 15. týden 2020","2020-W15","Česko","CZ","8802.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 17. týden 2020","2020-W17","Česko","CZ","8503.0","Kč/tis. l",""
