commodity,reference_month,segment,fix_months,lower_ex_vat,upper_ex_vat,lower_inc_vat,upper_inc_vat,unit,available_from,availability_kind,historical_first_release_verified,national_weight,source_sha256
electricity,2026-01,D45d,12,2562.527421431668,2730.2424214316675,3100.658179932318,3303.5933299323174,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2026-01,D45d,24,2468.821905349912,2607.596905349912,2987.274505473393,3155.1922554733933,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2026-01,D45d,36,2510.716594917255,2632.7124615839216,3037.9670798498782,3185.582078516545,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2026-01,D56d,12,2620.4790880983346,2770.145754765001,3170.7796965989846,3351.8763632656514,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2026-01,D56d,24,2491.6802386832455,2687.4302386832455,3014.933088806727,3251.790588806727,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2026-01,D56d,36,2522.0332615839216,2712.0332615839216,3051.660246516545,3281.560246516545,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2026-01,D57d,12,2620.4790880983346,2770.145754765001,3170.7796965989846,3351.8763632656514,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2026-01,D57d,24,2491.6802386832455,2687.4302386832455,3014.933088806727,3251.790588806727,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2026-01,D57d,36,2522.0332615839216,2712.0332615839216,3051.660246516545,3281.560246516545,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2026-01,D61d,12,2614.2728619223526,2737.3328619223525,3163.2701629260464,3312.1727629260463,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2026-01,D61d,24,2487.4760134829257,2676.7260134829257,3009.84597631434,3238.83847631434,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2026-01,D61d,36,2521.129753307907,2671.459753307907,3050.567001502567,3232.466301502567,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2026-02,D01d,12,2649.4999668651867,2783.2499668651867,3205.894959906876,3367.7324599068756,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2026-02,D01d,24,2496.0806736150007,2664.9556736150007,3020.2576150741506,3224.596365074151,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2026-02,D01d,36,2535.763213022811,2650.385713022811,3068.2734877576013,3206.9667127576013,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2026-02,D02d,12,2649.4999668651867,2783.2499668651867,3205.894959906876,3367.7324599068756,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
