origin,model,band,target,predicted_turn,actual_turn,eligible,exact_hit,missed_turn,false_turn
2019-11,STABLE_LOCAL_CORE_R14B,2,2020-05,none,trough,True,False,True,False
2019-11,STABLE_LOCAL_CORE_R14B,3,2020-08,none,peak,True,False,True,False
2019-11,STATE_FAST_R15,2,2020-05,none,trough,True,False,True,False
2019-11,STATE_FAST_R15,3,2020-08,none,peak,True,False,True,False
2019-12,ANCHOR_HL12_R21,2,2020-06,none,none,True,False,False,False
2019-12,ANCHOR_HL12_R21,3,2020-09,none,none,True,False,False,False
2019-12,ANCHOR_HL24_R21,2,2020-06,none,none,True,False,False,False
2019-12,ANCHOR_HL24_R21,3,2020-09,none,none,True,False,False,False
2019-12,CORE_FEEDBACK_R21,2,2020-06,none,none,True,False,False,False
2019-12,CORE_FEEDBACK_R21,3,2020-09,none,none,True,False,False,False
2019-12,DAMPED_P95_Q001_R16,2,2020-06,none,none,True,False,False,False
2019-12,DAMPED_P95_Q001_R16,3,2020-09,none,none,True,False,False,False
2019-12,DUAL_FEEDBACK_R21,2,2020-06,none,none,True,False,False,False
2019-12,DUAL_FEEDBACK_R21,3,2020-09,none,none,True,False,False,False
2019-12,FOOD_FEEDBACK_R21,2,2020-06,none,none,True,False,False,False
2019-12,FOOD_FEEDBACK_R21,3,2020-09,none,none,True,False,False,False
2019-12,POOL_COMPLETE_R21,2,2020-06,none,none,True,False,False,False
2019-12,POOL_COMPLETE_R21,3,2020-09,none,none,True,False,False,False
2019-12,POOL_PARTIAL_R21,2,2020-06,none,none,True,False,False,False
2019-12,POOL_PARTIAL_R21,3,2020-09,none,none,True,False,False,False
2019-12,POOL_PRIOR_R21,2,2020-06,none,none,True,False,False,False
2019-12,POOL_PRIOR_R21,3,2020-09,none,none,True,False,False,False
2019-12,STABLE_LOCAL_CORE_R14B,2,2020-06,none,none,True,False,False,False
2019-12,STABLE_LOCAL_CORE_R14B,3,2020-09,none,none,True,False,False,False
2019-12,STATE_FAST_R15,2,2020-06,none,none,True,False,False,False
2019-12,STATE_FAST_R15,3,2020-09,none,none,True,False,False,False
2020-01,ANCHOR_HL12_R21,2,2020-07,none,peak,True,False,True,False
2020-01,ANCHOR_HL12_R21,3,2020-10,none,trough,True,False,True,False
2020-01,ANCHOR_HL24_R21,2,2020-07,none,peak,True,False,True,False
2020-01,ANCHOR_HL24_R21,3,2020-10,none,trough,True,False,True,False
2020-01,CORE_FEEDBACK_R21,2,2020-07,none,peak,True,False,True,False
2020-01,CORE_FEEDBACK_R21,3,2020-10,none,trough,True,False,True,False
2020-01,DAMPED_P95_Q001_R16,2,2020-07,none,peak,True,False,True,False
2020-01,DAMPED_P95_Q001_R16,3,2020-10,none,trough,True,False,True,False
2020-01,DUAL_FEEDBACK_R21,2,2020-07,none,peak,True,False,True,False
2020-01,DUAL_FEEDBACK_R21,3,2020-10,none,trough,True,False,True,False
2020-01,FOOD_FEEDBACK_R21,2,2020-07,none,peak,True,False,True,False
2020-01,FOOD_FEEDBACK_R21,3,2020-10,none,trough,True,False,True,False
2020-01,POOL_COMPLETE_R21,2,2020-07,none,peak,True,False,True,False
2020-01,POOL_COMPLETE_R21,3,2020-10,none,trough,True,False,True,False
2020-01,POOL_PARTIAL_R21,2,2020-07,none,peak,True,False,True,False
2020-01,POOL_PARTIAL_R21,3,2020-10,none,trough,True,False,True,False
2020-01,POOL_PRIOR_R21,2,2020-07,none,peak,True,False,True,False
2020-01,POOL_PRIOR_R21,3,2020-10,none,trough,True,False,True,False
2020-01,STABLE_LOCAL_CORE_R14B,2,2020-07,none,peak,True,False,True,False
2020-01,STABLE_LOCAL_CORE_R14B,3,2020-10,none,trough,True,False,True,False
2020-01,STATE_FAST_R15,2,2020-07,none,peak,True,False,True,False
2020-01,STATE_FAST_R15,3,2020-10,none,trough,True,False,True,False
2020-02,ANCHOR_HL12_R21,2,2020-08,none,peak,True,False,True,False
2020-02,ANCHOR_HL12_R21,3,2020-11,none,trough,True,False,True,False
2020-02,ANCHOR_HL24_R21,2,2020-08,none,peak,True,False,True,False
2020-02,ANCHOR_HL24_R21,3,2020-11,none,trough,True,False,True,False
2020-02,CORE_FEEDBACK_R21,2,2020-08,none,peak,True,False,True,False
2020-02,CORE_FEEDBACK_R21,3,2020-11,none,trough,True,False,True,False
2020-02,DAMPED_P95_Q001_R16,2,2020-08,none,peak,True,False,True,False
2020-02,DAMPED_P95_Q001_R16,3,2020-11,none,trough,True,False,True,False
2020-02,DUAL_FEEDBACK_R21,2,2020-08,none,peak,True,False,True,False
2020-02,DUAL_FEEDBACK_R21,3,2020-11,none,trough,True,False,True,False
2020-02,FOOD_FEEDBACK_R21,2,2020-08,none,peak,True,False,True,False
2020-02,FOOD_FEEDBACK_R21,3,2020-11,none,trough,True,False,True,False
2020-02,POOL_COMPLETE_R21,2,2020-08,none,peak,True,False,True,False
2020-02,POOL_COMPLETE_R21,3,2020-11,none,trough,True,False,True,False
2020-02,POOL_PARTIAL_R21,2,2020-08,none,peak,True,False,True,False
2020-02,POOL_PARTIAL_R21,3,2020-11,none,trough,True,False,True,False
2020-02,POOL_PRIOR_R21,2,2020-08,none,peak,True,False,True,False
2020-02,POOL_PRIOR_R21,3,2020-11,none,trough,True,False,True,False
2020-02,STABLE_LOCAL_CORE_R14B,2,2020-08,none,peak,True,False,True,False
2020-02,STABLE_LOCAL_CORE_R14B,3,2020-11,none,trough,True,False,True,False
2020-02,STATE_FAST_R15,2,2020-08,none,peak,True,False,True,False
2020-02,STATE_FAST_R15,3,2020-11,none,trough,True,False,True,False
2020-03,ANCHOR_HL12_R21,2,2020-09,none,none,True,False,False,False
2020-03,ANCHOR_HL12_R21,3,2020-12,none,none,True,False,False,False
2020-03,ANCHOR_HL24_R21,2,2020-09,none,none,True,False,False,False
2020-03,ANCHOR_HL24_R21,3,2020-12,none,none,True,False,False,False
2020-03,CORE_FEEDBACK_R21,2,2020-09,none,none,True,False,False,False
2020-03,CORE_FEEDBACK_R21,3,2020-12,none,none,True,False,False,False
2020-03,DAMPED_P95_Q001_R16,2,2020-09,none,none,True,False,False,False
2020-03,DAMPED_P95_Q001_R16,3,2020-12,none,none,True,False,False,False
2020-03,DUAL_FEEDBACK_R21,2,2020-09,none,none,True,False,False,False
2020-03,DUAL_FEEDBACK_R21,3,2020-12,none,none,True,False,False,False
2020-03,FOOD_FEEDBACK_R21,2,2020-09,none,none,True,False,False,False
2020-03,FOOD_FEEDBACK_R21,3,2020-12,none,none,True,False,False,False
2020-03,POOL_COMPLETE_R21,2,2020-09,none,none,True,False,False,False
2020-03,POOL_COMPLETE_R21,3,2020-12,none,none,True,False,False,False
2020-03,POOL_PARTIAL_R21,2,2020-09,none,none,True,False,False,False
2020-03,POOL_PARTIAL_R21,3,2020-12,none,none,True,False,False,False
2020-03,POOL_PRIOR_R21,2,2020-09,none,none,True,False,False,False
2020-03,POOL_PRIOR_R21,3,2020-12,none,none,True,False,False,False
2020-03,STABLE_LOCAL_CORE_R14B,2,2020-09,none,none,True,False,False,False
2020-03,STABLE_LOCAL_CORE_R14B,3,2020-12,none,none,True,False,False,False
2020-03,STATE_FAST_R15,2,2020-09,none,none,True,False,False,False
2020-03,STATE_FAST_R15,3,2020-12,none,none,True,False,False,False
2020-04,ANCHOR_HL12_R21,2,2020-10,none,trough,True,False,True,False
2020-04,ANCHOR_HL12_R21,3,2021-01,none,peak,True,False,True,False
2020-04,ANCHOR_HL24_R21,2,2020-10,none,trough,True,False,True,False
2020-04,ANCHOR_HL24_R21,3,2021-01,none,peak,True,False,True,False
2020-04,CORE_FEEDBACK_R21,2,2020-10,none,trough,True,False,True,False
2020-04,CORE_FEEDBACK_R21,3,2021-01,none,peak,True,False,True,False
2020-04,DAMPED_P95_Q001_R16,2,2020-10,none,trough,True,False,True,False
2020-04,DAMPED_P95_Q001_R16,3,2021-01,none,peak,True,False,True,False
2020-04,DUAL_FEEDBACK_R21,2,2020-10,none,trough,True,False,True,False
2020-04,DUAL_FEEDBACK_R21,3,2021-01,none,peak,True,False,True,False
2020-04,FOOD_FEEDBACK_R21,2,2020-10,none,trough,True,False,True,False
2020-04,FOOD_FEEDBACK_R21,3,2021-01,none,peak,True,False,True,False
2020-04,POOL_COMPLETE_R21,2,2020-10,none,trough,True,False,True,False
2020-04,POOL_COMPLETE_R21,3,2021-01,none,peak,True,False,True,False
2020-04,POOL_PARTIAL_R21,2,2020-10,none,trough,True,False,True,False
2020-04,POOL_PARTIAL_R21,3,2021-01,none,peak,True,False,True,False
2020-04,POOL_PRIOR_R21,2,2020-10,none,trough,True,False,True,False
2020-04,POOL_PRIOR_R21,3,2021-01,none,peak,True,False,True,False
2020-04,STABLE_LOCAL_CORE_R14B,2,2020-10,none,trough,True,False,True,False
2020-04,STABLE_LOCAL_CORE_R14B,3,2021-01,none,peak,True,False,True,False
2020-04,STATE_FAST_R15,2,2020-10,none,trough,True,False,True,False
2020-04,STATE_FAST_R15,3,2021-01,none,peak,True,False,True,False
2020-05,ANCHOR_HL12_R21,2,2020-11,none,trough,True,False,True,False
2020-05,ANCHOR_HL12_R21,3,2021-02,none,none,True,False,False,False
2020-05,ANCHOR_HL24_R21,2,2020-11,none,trough,True,False,True,False
2020-05,ANCHOR_HL24_R21,3,2021-02,none,none,True,False,False,False
2020-05,CORE_FEEDBACK_R21,2,2020-11,none,trough,True,False,True,False
2020-05,CORE_FEEDBACK_R21,3,2021-02,none,none,True,False,False,False
2020-05,DAMPED_P95_Q001_R16,2,2020-11,none,trough,True,False,True,False
2020-05,DAMPED_P95_Q001_R16,3,2021-02,none,none,True,False,False,False
2020-05,DUAL_FEEDBACK_R21,2,2020-11,none,trough,True,False,True,False
2020-05,DUAL_FEEDBACK_R21,3,2021-02,none,none,True,False,False,False
2020-05,FOOD_FEEDBACK_R21,2,2020-11,none,trough,True,False,True,False
2020-05,FOOD_FEEDBACK_R21,3,2021-02,none,none,True,False,False,False
2020-05,POOL_COMPLETE_R21,2,2020-11,none,trough,True,False,True,False
2020-05,POOL_COMPLETE_R21,3,2021-02,none,none,True,False,False,False
2020-05,POOL_PARTIAL_R21,2,2020-11,none,trough,True,False,True,False
