source_month,import_mm,available_from,availability_policy
2025-06,-0.4000000000000057,2025-09-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2025-07,-0.7000000000000028,2025-10-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2025-08,-0.5999999999999943,2025-11-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2025-09,-0.5,2025-12-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2025-10,-0.4000000000000057,2026-01-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2025-11,-0.09999999999999432,2026-02-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2025-12,-0.20000000000000284,2026-03-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2026-01,0.4000000000000057,2026-04-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2026-02,-0.09999999999999432,2026-05-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2026-03,2.5,2026-06-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2026-04,2.700000000000003,2026-07-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2026-05,0.7000000000000028,2026-08-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2026-06,-0.29999999999999716,2026-09-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
