origin,clock,latest_food_month_published,own_mu_window,own_mu_robust,own_mu_long,audit_mu_window,audit_mu_robust,audit_mu_long,own_n_train,audit_n_train,own_train_start,own_train_end,audit_train_start,audit_train_end,n_windows_robust,n_windows_long,plain_window_mean,diff_mu_window,diff_mu_robust,diff_mu_long
2022-01,2022-02-13 22:59:00+00:00,2021-12,0.19748680305887775,0.21264301265898966,0.21590154048886726,0.1974868030588777,0.2126430126589896,0.2159015404888672,77,77,2015-08,2021-12,2015-08,2021-12,66,301,0.19009774374605293,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17
2022-02,2022-03-09 22:59:00+00:00,2022-01,0.2296858906164899,0.22202391594998439,0.21677711666573884,0.2296858906164899,0.2220239159499843,0.2167771166657388,78,78,2015-08,2022-01,2015-08,2022-01,67,302,0.24315047215918995,0.0,8.326672684688674e-17,5.551115123125783e-17
2022-03,2022-04-10 21:59:00+00:00,2022-02,0.24309046603624504,0.2229532281349972,0.21765269284261043,0.243090466036245,0.2229532281349972,0.2176526928426104,79,79,2015-08,2022-02,2015-08,2022-02,68,303,0.25782052724823595,2.7755575615628914e-17,0.0,2.7755575615628914e-17
2022-04,2022-05-09 21:59:00+00:00,2022-03,0.2515996402235064,0.22388254032001006,0.21855779782881748,0.2515996402235064,0.22388254032001,0.2185577978288174,80,80,2015-08,2022-03,2015-08,2022-03,69,304,0.2637777384773311,0.0,5.551115123125783e-17,8.326672684688674e-17
2022-05,2022-06-09 21:59:00+00:00,2022-04,0.29346125581091126,0.22822788731449117,0.21946290281502456,0.2934612558109112,0.2282278873144911,0.2194629028150245,81,81,2015-08,2022-04,2015-08,2022-04,70,305,0.3039130599351981,5.551115123125783e-17,8.326672684688674e-17,5.551115123125783e-17
2022-06,2022-07-12 21:59:00+00:00,2022-05,0.3274779606839308,0.23257323430897228,0.2199211250098377,0.3274779606839308,0.2325732343089722,0.2199211250098377,82,82,2015-08,2022-05,2015-08,2022-05,71,306,0.34068834653497904,0.0,8.326672684688674e-17,0.0
2022-07,2022-08-09 21:59:00+00:00,2022-06,0.3541209449432337,0.23279001297799992,0.22037934720465083,0.3541209449432337,0.2327900129779999,0.2203793472046508,83,83,2015-08,2022-06,2015-08,2022-06,72,307,0.36282560556635524,0.0,2.7755575615628914e-17,2.7755575615628914e-17
2022-08,2022-09-11 21:59:00+00:00,2022-07,0.3760652173168298,0.23300679164702753,0.22042538000578085,0.3760652173168298,0.2330067916470275,0.2204253800057808,84,84,2015-08,2022-07,2015-08,2022-07,73,308,0.3760652173168298,0.0,2.7755575615628914e-17,5.551115123125783e-17
2022-09,2022-10-10 21:59:00+00:00,2022-08,0.3855896958515255,0.2484305930008277,0.22047141280691088,0.3855896958515255,0.2484305930008277,0.2204714128069108,85,85,2015-08,2022-08,2015-08,2022-08,74,309,0.37765429198043865,0.0,0.0,8.326672684688674e-17
2022-10,2022-11-09 22:59:00+00:00,2022-09,0.3895051320438241,0.2638543943546279,0.22091065043136382,0.3895051320438241,0.2638543943546279,0.2209106504313638,86,86,2015-08,2022-09,2015-08,2022-09,75,310,0.3758008847775473,0.0,0.0,2.7755575615628914e-17
2022-11,2022-12-11 22:59:00+00:00,2022-10,0.4162317856233404,0.2663474564199034,0.22134988805581676,0.4162317856233404,0.2663474564199034,0.2213498880558167,87,87,2015-08,2022-10,2015-08,2022-10,76,311,0.4052298644897495,0.0,0.0,5.551115123125783e-17
2022-12,2023-01-10 22:59:00+00:00,2022-11,0.4314258773347223,0.2688405184851789,0.22168690200290056,0.4314258773347223,0.2688405184851789,0.2216869020029005,88,88,2015-08,2022-11,2015-08,2022-11,77,312,0.4212867058969008,0.0,0.0,5.551115123125783e-17
2023-01,2023-02-09 22:59:00+00:00,2022-12,0.43171201108628793,0.2749043329222632,0.22202391594998439,0.4317120110862879,0.2749043329222632,0.2220239159499843,89,89,2015-08,2022-12,2015-08,2022-12,78,313,0.41966344836728714,5.551115123125783e-17,0.0,8.326672684688674e-17
2023-02,2023-03-09 22:59:00+00:00,2023-01,0.45032857417302136,0.2809681473593475,0.22227095217080942,0.4503285741730213,0.2809681473593475,0.2222709521708094,90,90,2015-08,2023-01,2015-08,2023-01,79,314,0.45719014685375137,5.551115123125783e-17,0.0,2.7755575615628914e-17
2023-03,2023-04-12 21:59:00+00:00,2023-02,0.452684584689341,0.2853902152494279,0.22251798839163447,0.452684584689341,0.2853902152494279,0.2225179883916344,91,91,2015-08,2023-02,2015-08,2023-02,80,315,0.4594532485755578,0.0,0.0,8.326672684688674e-17
2023-04,2023-05-10 21:59:00+00:00,2023-03,0.4555391888210978,0.2898122831395084,0.22320026435582227,0.4555391888210978,0.2898122831395084,0.2232002643558222,92,92,2015-08,2023-03,2015-08,2023-03,81,316,0.45876113588171147,0.0,0.0,8.326672684688674e-17
2023-05,2023-06-11 21:59:00+00:00,2023-04,0.433036937315135,0.292996753479618,0.22388254032001006,0.433036937315135,0.292996753479618,0.22388254032001,93,93,2015-08,2023-04,2015-08,2023-04,82,317,0.4359839872130799,0.0,0.0,5.551115123125783e-17
2023-06,2023-07-12 21:59:00+00:00,2023-05,0.433687296453198,0.2961812238197276,0.22822788731449117,0.433687296453198,0.2961812238197276,0.2282278873144911,94,94,2015-08,2023-05,2015-08,2023-05,83,318,0.4412683946630885,0.0,0.0,8.326672684688674e-17
2023-07,2023-08-09 21:59:00+00:00,2023-06,0.4309811925003919,0.30859268495976416,0.23257323430897228,0.4309811925003919,0.3085926849597642,0.2325732343089722,95,95,2015-08,2023-06,2015-08,2023-06,84,319,0.43662346419295067,0.0,-5.551115123125783e-17,8.326672684688674e-17
2023-08,2023-09-10 21:59:00+00:00,2023-07,0.4237530218227336,0.32100414609980077,0.23279001297799992,0.4237530218227336,0.3210041460998007,0.2327900129779999,96,96,2015-08,2023-07,2015-08,2023-07,85,320,0.4237530218227335,0.0,5.551115123125783e-17,2.7755575615628914e-17
2023-09,2023-10-09 21:59:00+00:00,2023-08,0.42235948761267106,0.3317554413485813,0.23300679164702753,0.422359487612671,0.3317554413485813,0.2330067916470275,96,96,2015-09,2023-08,2015-09,2023-08,85,321,0.422359487612671,5.551115123125783e-17,0.0,2.7755575615628914e-17
2023-10,2023-11-09 22:59:00+00:00,2023-09,0.3979980993854279,0.33603552514147256,0.2341834471293273,0.3979980993854279,0.3360355251414725,0.2341834471293273,96,96,2015-10,2023-09,2015-10,2023-09,85,322,0.3979980993854278,0.0,5.551115123125783e-17,0.0
2023-11,2023-12-10 22:59:00+00:00,2023-10,0.40968184634157206,0.33603552514147256,0.23536010261162707,0.409681846341572,0.3360355251414725,0.235360102611627,96,96,2015-11,2023-10,2015-11,2023-10,85,323,0.40968184634157195,5.551115123125783e-17,5.551115123125783e-17,8.326672684688674e-17
2023-12,2024-01-10 22:59:00+00:00,2023-11,0.4127979722387167,0.33603552514147256,0.2341834471293273,0.4127979722387167,0.3360355251414725,0.2341834471293273,96,96,2015-12,2023-11,2015-12,2023-11,85,324,0.41279797223871667,0.0,5.551115123125783e-17,0.0
2024-01,2024-02-14 22:59:00+00:00,2023-12,0.40730934620914433,0.33603552514147256,0.23300679164702753,0.4073093462091443,0.3360355251414725,0.2330067916470275,96,96,2016-01,2023-12,2016-01,2023-12,85,325,0.40730934620914433,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17
2024-02,2024-03-10 22:59:00+00:00,2024-01,0.39424790398964515,0.33603552514147256,0.23279001297799992,0.3942479039896451,0.3360355251414725,0.2327900129779999,96,96,2016-02,2024-01,2016-02,2024-01,85,326,0.3942479039896451,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17
2024-03,2024-04-09 21:59:00+00:00,2024-02,0.3882034221720556,0.33603552514147256,0.23257323430897228,0.3882034221720556,0.3360355251414725,0.2325732343089722,96,96,2016-03,2024-02,2016-03,2024-02,85,327,0.38820342217205556,0.0,5.551115123125783e-17,8.326672684688674e-17
2024-04,2024-05-12 21:59:00+00:00,2024-03,0.38021569858853593,0.3317554413485813,0.22822788731449117,0.3802156985885359,0.3317554413485813,0.2282278873144911,96,96,2016-04,2024-03,2016-04,2024-03,85,328,0.38021569858853593,5.551115123125783e-17,0.0,8.326672684688674e-17
2024-05,2024-06-10 21:59:00+00:00,2024-04,0.3944197150121773,0.32100414609980077,0.22388254032001006,0.3944197150121773,0.3210041460998007,0.22388254032001,96,96,2016-05,2024-04,2016-05,2024-04,85,329,0.39441971501217726,0.0,5.551115123125783e-17,5.551115123125783e-17
2024-06,2024-07-09 21:59:00+00:00,2024-05,0.39895026276677675,0.32100414609980077,0.22320026435582227,0.3989502627667767,0.3210041460998008,0.2232002643558222,96,96,2016-06,2024-05,2016-06,2024-05,85,330,0.39895026276677675,5.551115123125783e-17,-5.551115123125783e-17,8.326672684688674e-17
2024-07,2024-08-11 21:59:00+00:00,2024-06,0.39952752333387304,0.3060036673508459,0.22251798839163447,0.399527523333873,0.3060036673508459,0.2225179883916344,96,96,2016-07,2024-06,2016-07,2024-06,85,331,0.3995275233338729,5.551115123125783e-17,0.0,8.326672684688674e-17
2024-08,2024-09-09 21:59:00+00:00,2024-07,0.3978485528103855,0.2809681473593475,0.22227095217080942,0.3978485528103855,0.2809681473593475,0.2222709521708094,96,96,2016-08,2024-07,2016-08,2024-07,85,332,0.3978485528103855,0.0,0.0,2.7755575615628914e-17
2024-09,2024-10-09 21:59:00+00:00,2024-08,0.40920740480152573,0.2638543943546279,0.22202391594998439,0.4092074048015257,0.2638543943546279,0.2220239159499843,96,96,2016-09,2024-08,2016-09,2024-08,85,333,0.4092074048015257,5.551115123125783e-17,0.0,8.326672684688674e-17
2024-10,2024-11-10 22:59:00+00:00,2024-09,0.4170475604123074,0.23300679164702753,0.22168690200290056,0.4170475604123074,0.2330067916470275,0.2216869020029005,96,96,2016-10,2024-09,2016-10,2024-09,85,334,0.4170475604123074,0.0,2.7755575615628914e-17,5.551115123125783e-17
2024-11,2024-12-09 22:59:00+00:00,2024-10,0.42306786347585396,0.23257323430897228,0.22134988805581676,0.4230678634758539,0.2325732343089722,0.2213498880558167,96,96,2016-11,2024-10,2016-11,2024-10,85,335,0.42306786347585396,5.551115123125783e-17,8.326672684688674e-17,5.551115123125783e-17
2024-12,2025-01-12 22:59:00+00:00,2024-11,0.40522239918349895,0.22388254032001006,0.22091065043136382,0.4052223991834989,0.22388254032001,0.2209106504313638,96,96,2016-12,2024-11,2016-12,2024-11,85,336,0.40522239918349906,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17
2025-01,2025-02-05 22:59:00+00:00,2024-12,0.3908868015746536,0.22202391594998439,0.22047141280691088,0.3908868015746536,0.2220239159499843,0.2204714128069108,96,96,2017-01,2024-12,2017-01,2024-12,85,337,0.39088680157465366,0.0,8.326672684688674e-17,8.326672684688674e-17
2025-02,2025-03-04 22:59:00+00:00,2025-01,0.40664365436344,0.22202391594998439,0.22091065043136382,0.40664365436344,0.2220239159499843,0.2209106504313638,96,96,2017-02,2025-01,2017-02,2025-01,85,338,0.40664365436344,0.0,8.326672684688674e-17,2.7755575615628914e-17
2025-03,2025-04-03 21:59:00+00:00,2025-02,0.38628379248328204,0.22202391594998439,0.22134988805581676,0.386283792483282,0.2220239159499843,0.2213498880558167,96,96,2017-03,2025-02,2017-03,2025-02,85,339,0.38628379248328204,5.551115123125783e-17,8.326672684688674e-17,5.551115123125783e-17
2025-04,2025-05-05 21:59:00+00:00,2025-03,0.39657098269050844,0.22388254032001006,0.22168690200290056,0.3965709826905084,0.22388254032001,0.2216869020029005,96,96,2017-04,2025-03,2017-04,2025-03,85,340,0.39657098269050844,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17
2025-05,2025-06-03 21:59:00+00:00,2025-04,0.39885840908595616,0.23257323430897228,0.22202391594998439,0.3988584090859561,0.2325732343089722,0.2220239159499843,96,96,2017-05,2025-04,2017-05,2025-04,85,341,0.39885840908595616,5.551115123125783e-17,8.326672684688674e-17,8.326672684688674e-17
2025-06,2025-07-03 21:59:00+00:00,2025-05,0.40783301037313957,0.23300679164702753,0.22227095217080942,0.4078330103731395,0.2330067916470275,0.2222709521708094,96,96,2017-06,2025-05,2017-06,2025-05,85,342,0.4078330103731396,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17
2025-07,2025-08-04 21:59:00+00:00,2025-06,0.4078612226017438,0.2638543943546279,0.22251798839163447,0.4078612226017438,0.2638543943546279,0.2225179883916344,96,96,2017-07,2025-06,2017-07,2025-06,85,343,0.40786122260174373,0.0,0.0,8.326672684688674e-17
2025-08,2025-09-03 21:59:00+00:00,2025-07,0.3920469704392951,0.2809681473593475,0.22320026435582227,0.3920469704392951,0.2809681473593475,0.2232002643558222,96,96,2017-08,2025-07,2017-08,2025-07,85,344,0.3920469704392951,0.0,0.0,8.326672684688674e-17
2025-09,2025-10-05 21:59:00+00:00,2025-08,0.4000444505424557,0.3060036673508459,0.22388254032001006,0.4000444505424557,0.3060036673508459,0.22388254032001,96,96,2017-09,2025-08,2017-09,2025-08,85,345,0.4000444505424558,0.0,0.0,5.551115123125783e-17
2025-10,2025-11-04 22:59:00+00:00,2025-09,0.3873564661742372,0.3060036673508459,0.2240305221746454,0.3873564661742372,0.3060036673508459,0.2240305221746454,96,96,2017-10,2025-09,2017-10,2025-09,85,346,0.3873564661742372,0.0,0.0,0.0
2025-11,2025-12-03 22:59:00+00:00,2025-10,0.3821356999795675,0.3060036673508459,0.22417850402928075,0.3821356999795675,0.3060036673508459,0.2241785040292807,96,96,2017-11,2025-10,2017-11,2025-10,85,347,0.38213569997956753,0.0,0.0,5.551115123125783e-17
2025-12,2026-01-06 22:59:00+00:00,2025-11,0.36986129828083775,0.3060036673508459,0.2240305221746454,0.3698612982808377,0.3060036673508459,0.2240305221746454,96,96,2017-12,2025-11,2017-12,2025-11,85,348,0.36986129828083775,5.551115123125783e-17,0.0,0.0
2026-01,2026-02-04 22:59:00+00:00,2025-12,0.3521688654813711,0.3060036673508459,0.22388254032001006,0.3521688654813711,0.3060036673508459,0.22388254032001,96,96,2018-01,2025-12,2018-01,2025-12,85,349,0.3521688654813711,0.0,0.0,5.551115123125783e-17
2026-02,2026-03-03 22:59:00+00:00,2026-01,0.3745499493915232,0.3060036673508459,0.22320026435582227,0.3745499493915232,0.3060036673508459,0.2232002643558222,96,96,2018-02,2026-01,2018-02,2026-01,85,350,0.3745499493915232,0.0,0.0,8.326672684688674e-17
2026-03,2026-04-06 21:59:00+00:00,2026-02,0.36593047600621337,0.3060036673508459,0.22251798839163447,0.3659304760062133,0.3060036673508459,0.2225179883916344,96,96,2018-03,2026-02,2018-03,2026-02,85,351,0.36593047600621337,5.551115123125783e-17,0.0,8.326672684688674e-17
2026-04,2026-05-05 21:59:00+00:00,2026-03,0.36490628524624064,0.3060036673508459,0.22227095217080942,0.3649062852462406,0.3060036673508459,0.2222709521708094,96,96,2018-04,2026-03,2018-04,2026-03,85,352,0.36490628524624064,5.551115123125783e-17,0.0,2.7755575615628914e-17
2026-05,2026-06-03 21:59:00+00:00,2026-04,0.36666391082043903,0.3060036673508459,0.22202391594998439,0.366663910820439,0.3060036673508459,0.2220239159499843,96,96,2018-05,2026-04,2018-05,2026-04,85,353,0.366663910820439,5.551115123125783e-17,0.0,8.326672684688674e-17
2026-06,2026-07-06 21:59:00+00:00,2026-05,0.3630506721020493,0.3060036673508459,0.22168690200290056,0.3630506721020493,0.3060036673508459,0.2216869020029005,96,96,2018-06,2026-05,2018-06,2026-05,85,354,0.3630506721020493,0.0,0.0,5.551115123125783e-17
2026-07,2026-08-04 21:59:00+00:00,2026-06,0.34488777499417367,0.3060036673508459,0.22134988805581676,0.3448877749941736,0.3060036673508459,0.2213498880558167,96,96,2018-07,2026-06,2018-07,2026-06,85,355,0.34488777499417367,5.551115123125783e-17,0.0,5.551115123125783e-17
