target_month,release_dt,actual,survey_median,survey_mean,era
2025-04,2025-05-06,-0.1,0.1,0.1,flash
2025-05,2025-06-04,0.5,0.2,0.2,flash
2025-06,2025-07-04,0.3,0.2,0.2,flash
2025-07,2025-08-05,0.5,0.5,0.4,flash
2025-08,2025-09-04,0.1,0.1,0.1,flash
2025-09,2025-10-06,-0.6,-0.3,-0.3,flash
2025-10,2025-11-05,0.5,0.3,0.3,flash
2025-11,2025-12-04,-0.3,0.1,0.1,flash
2025-12,2026-01-07,-0.3,-0.1,-0.1,flash
2026-01,2026-02-05,0.9,0.8,0.7,flash
2026-02,2026-03-04,-0.1,0.1,0.1,flash
2026-03,2026-04-07,0.6,0.7,0.7,flash
2026-04,2026-05-06,0.5,0.4,0.4,flash
2026-05,2026-06-04,0.1,0.3,0.3,flash
2026-06,2026-07-07,-0.3,0.0,0.0,flash
2026-07,2026-08-05,0.6,0.6,0.6,flash
2026-08,2026-09-04 00:00:00,0.3,0.3,0.3,flash_survey_suspect
