scope,sample,quarters_ahead,model,n_report_quarter_pairs,n_unique_quarters,n_reports,rmse,mae,bias
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,8,TVWQRF_QRF_MEAN_FULLM,0,0,0,,,
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,8,CNB,0,0,0,,,
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,9,INDEPENDENT_BRIDGE,0,0,0,,,
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,9,TVWQRF_QRF_MEAN_FULLM,0,0,0,,,
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,9,CNB,0,0,0,,,
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,10,INDEPENDENT_BRIDGE,0,0,0,,,
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,10,TVWQRF_QRF_MEAN_FULLM,0,0,0,,,
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,10,CNB,0,0,0,,,
paired_TVWQRF_QRF_MEAN_FULLM_OWNH0,all_reports,all,INDEPENDENT_BRIDGE,66,18,18,2.3623967015417384,1.5280287492622204,-0.04472285437386021
paired_TVWQRF_QRF_MEAN_FULLM_OWNH0,all_reports,all,TVWQRF_QRF_MEAN_FULLM_OWNH0,66,18,18,3.0293944279851113,1.7396090838143503,-0.14169617968218218
paired_TVWQRF_QRF_MEAN_FULLM_OWNH0,all_reports,all,CNB,66,18,18,2.2954532595060195,1.0605492231877778,-0.49906748985091737
paired_TVWQRF_QRF_MEAN_FULLM_OWNH0,all_reports,1,INDEPENDENT_BRIDGE,18,18,18,1.542361051585929,0.8561549384541672,-0.12263847320135457
paired_TVWQRF_QRF_MEAN_FULLM_OWNH0,all_reports,1,TVWQRF_QRF_MEAN_FULLM_OWNH0,18,18,18,2.0073137561016554,1.1773776009024988,-0.266749207882518
paired_TVWQRF_QRF_MEAN_FULLM_OWNH0,all_reports,1,CNB,18,18,18,0.9474636327304489,0.555461062093155,0.16478353356270228
paired_TVWQRF_QRF_MEAN_FULLM_OWNH0,all_reports,2,INDEPENDENT_BRIDGE,17,17,17,1.9550799989592513,1.3245505492142235,-0.2416342921928435
paired_TVWQRF_QRF_MEAN_FULLM_OWNH0,all_reports,2,TVWQRF_QRF_MEAN_FULLM_OWNH0,17,17,17,2.846890605603437,1.689378070797424,-0.2967331086814288
paired_TVWQRF_QRF_MEAN_FULLM_OWNH0,all_reports,2,CNB,17,17,17,2.0747355620744687,1.1758911766503248,-0.3511216184204253
paired_TVWQRF_QRF_MEAN_FULLM_OWNH0,all_reports,3,INDEPENDENT_BRIDGE,16,16,16,2.2360733185967483,1.5953936967099105,-0.07658255902275357
