edge,horizon,quantile,value
2022-11,3,0.9,1.5801354401805856
2022-11,3,0.95,1.7611026033690802
2022-11,6,0.05,-0.5482456140350922
2022-11,6,0.1,-0.21034926354488004
2022-11,6,0.25,0.1172285163420272
2022-11,6,0.3333333333333333,0.25534606889636696
2022-11,6,0.5,0.6247421300890843
2022-11,6,0.6666666666666666,1.2841091492777013
2022-11,6,0.75,1.4625228519195457
2022-11,6,0.9,1.7611026033690802
2022-11,6,0.95,1.7926734216679563
2022-11,9,0.05,-0.2580645161290307
2022-11,9,0.1,-0.19866907741427736
2022-11,9,0.25,0.1706484641638139
2022-11,9,0.3333333333333333,0.24595742392179387
2022-11,9,0.5,0.6247421300890843
2022-11,9,0.6666666666666666,1.172161172161168
2022-11,9,0.75,1.333333333333342
2022-11,9,0.9,1.7763845350052376
2022-11,9,0.95,1.806451612903226
2022-11,12,0.05,-0.7159904534606132
2022-11,12,0.1,-0.388098318240615
2022-11,12,0.25,0.0
2022-11,12,0.3333333333333333,0.09758804358612014
2022-11,12,0.5,0.2176278563656097
2022-11,12,0.6666666666666666,0.45554290633842365
2022-11,12,0.75,0.6872852233676952
2022-11,12,0.9,1.3526866015458456
2022-11,12,0.95,1.7611026033690802
2022-12,3,0.05,-0.6216696269982114
2022-12,3,0.1,-0.24494877932602296
2022-12,3,0.25,0.0
2022-12,3,0.3333333333333333,0.10053621561866656
2022-12,3,0.5,0.2873563218390718
2022-12,3,0.6666666666666666,0.6283662477558183
2022-12,3,0.75,0.9661835748792312
2022-12,3,0.9,1.481477459377995
2022-12,3,0.95,1.7611026033690802
2022-12,6,0.05,-0.9044925290186723
2022-12,6,0.1,-0.3278688524590123
2022-12,6,0.25,-0.0224618149146427
2022-12,6,0.3333333333333333,0.0
2022-12,6,0.5,0.2728761819670855
2022-12,6,0.6666666666666666,0.5841121495327117
2022-12,6,0.75,1.172161172161168
2022-12,6,0.9,1.6640253565768592
2022-12,6,0.95,1.7926734216679563
2022-12,9,0.05,-0.5504587155963248
2022-12,9,0.1,-0.3300062978301087
2022-12,9,0.25,-0.0995024875621863
2022-12,9,0.3333333333333333,0.0
2022-12,9,0.5,0.1867413632119507
2022-12,9,0.6666666666666666,0.4460303300624524
2022-12,9,0.75,0.6211180124223503
2022-12,9,0.9,1.2841091492777013
2022-12,9,0.95,1.5801354401805856
2022-12,12,0.05,-0.3260869565217317
2022-12,12,0.1,-0.1996007984031989
2022-12,12,0.25,0.0
2022-12,12,0.3333333333333333,0.1023541453428755
2022-12,12,0.5,0.3044554608383709
2022-12,12,0.6666666666666666,0.5376344086021501
2022-12,12,0.75,1.0221465076660996
2022-12,12,0.9,1.4625228519195457
2022-12,12,0.95,1.7611026033690802
2023-01,3,0.05,-0.1798561151079125
2023-01,3,0.1,0.0
2023-01,3,0.25,0.2499226808812482
2023-01,3,0.3333333333333333,0.4385964912280604
2023-01,3,0.5,0.8005822416302655
2023-01,3,0.6666666666666666,1.333333333333342
2023-01,3,0.75,1.6640253565768592
2023-01,3,0.9,4.442581726739303
2023-01,3,0.95,6.010137581462716
2023-01,6,0.05,-1.4440433212996373
2023-01,6,0.1,-0.3003003003003157
2023-01,6,0.25,0.0
2023-01,6,0.3333333333333333,0.12442974005026916
2023-01,6,0.5,0.5667813494916296
2023-01,6,0.6666666666666666,1.333333333333342
2023-01,6,0.75,1.5801354401805856
2023-01,6,0.9,1.9236300484056001
2023-01,6,0.95,6.010137581462716
2023-01,9,0.05,-1.4440433212996373
2023-01,9,0.1,-0.33389179903717225
2023-01,9,0.25,0.0
2023-01,9,0.3333333333333333,0.1023541453428755
2023-01,9,0.5,0.2997050854054661
2023-01,9,0.6666666666666666,0.6872852233676952
2023-01,9,0.75,1.0221465076660996
2023-01,9,0.9,1.5801354401805856
2023-01,9,0.95,1.7926734216679563
2023-01,12,0.05,0.0
2023-01,12,0.1,0.1006036217303663
2023-01,12,0.25,0.8482937085557141
