threshold,clock,report_date,origin,as_of_utc,model,quarter,actual_turn,model_turn,cnb_turn,model_hit,cnb_hit,model_false_call,fully_future,actual_before,actual_centre,actual_after,model_before,model_centre,model_after,cnb_before,cnb_centre,cnb_after
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,DAMPED_P95_Q001_R16,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.095336607751938,2.569549927234517,2.129089522103762,2.03928603786943,2.31618987,2.18682304
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,DAMPED_P95_Q001_R16,2025Q1,0,0,0,False,False,False,True,2.8836531940027847,2.731002175839953,2.380373322135417,2.569549927234517,2.129089522103762,1.6748724590817126,2.31618987,2.18682304,1.74934064
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,FOOD_ASYMMETRIC_R17,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.160934581802374,2.720315586019659,2.452312280484891,2.03928603786943,2.31618987,2.18682304
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,FOOD_ASYMMETRIC_R17,2025Q1,0,0,0,False,False,False,True,2.8836531940027847,2.731002175839953,2.380373322135417,2.720315586019659,2.452312280484891,2.219655317127102,2.31618987,2.18682304,1.74934064
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,FOOD_HALF_CORRECTION_R17,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.153483330529576,2.7144984211754912,2.4087858643528564,2.03928603786943,2.31618987,2.18682304
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,FOOD_HALF_CORRECTION_R17,2025Q1,0,0,0,False,False,False,True,2.8836531940027847,2.731002175839953,2.380373322135417,2.7144984211754912,2.4087858643528564,2.125528807629504,2.31618987,2.18682304,1.74934064
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,FOOD_OWN_R17,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.1520230954017614,2.695603548848952,2.4086322849014272,2.03928603786943,2.31618987,2.18682304
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,FOOD_OWN_R17,2025Q1,0,0,0,False,False,False,True,2.8836531940027847,2.731002175839953,2.380373322135417,2.695603548848952,2.4086322849014272,2.1444021001255407,2.31618987,2.18682304,1.74934064
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,FOOD_PERSISTENCE_R17,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.146035479985613,2.708701033458422,2.365322768405385,2.03928603786943,2.31618987,2.18682304
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,FOOD_PERSISTENCE_R17,2025Q1,0,0,0,False,False,False,True,2.8836531940027847,2.731002175839953,2.380373322135417,2.708701033458422,2.365322768405385,2.03159021450622,2.31618987,2.18682304,1.74934064
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,FOOD_SEASONAL_R17,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.2138743169393518,2.879977538105669,2.639006033217911,2.03928603786943,2.31618987,2.18682304
