threshold,clock,model,frame,n,actual_turns,calls,hits,false_calls,cnb_calls,cnb_hits,correct_model_cnb_not,distinct_actual_turns,distinct_model_hits
0.25,report,FUEL_ANNUAL_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,report,FUEL_ANNUAL_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,report,FUEL_SPOT_ECM_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,report,FUEL_SPOT_ECM_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,report,INDEPENDENT_BRIDGE,unfinished_or_future_quarter,31,10,7,2,5,2,0,2,5,1
0.25,report,INDEPENDENT_BRIDGE,fully_future_centre,31,10,7,2,5,2,0,2,5,1
0.25,report,MONTHLY_AR_CORE_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,report,MONTHLY_AR_CORE_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,report,MONTHLY_BOTH_CORE_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,report,MONTHLY_BOTH_CORE_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,report,MONTHLY_DOMESTIC_CORE_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,report,MONTHLY_DOMESTIC_CORE_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,report,MONTHLY_IMPORTED_CORE_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,report,MONTHLY_IMPORTED_CORE_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,report,MONTHLY_OWN_CORE_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,report,MONTHLY_OWN_CORE_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,report,PATH_COMPONENT_HALF_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,report,PATH_COMPONENT_HALF_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,report,PATH_COMPONENT_SELECT_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,report,PATH_COMPONENT_SELECT_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,report,PATH_FAST_CURRENT_HALF_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,report,PATH_FAST_CURRENT_HALF_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,report,PATH_POOL_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,report,PATH_POOL_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,report,RF_RESIDUAL_R15,unfinished_or_future_quarter,31,10,8,2,6,2,0,2,5,1
0.25,report,RF_RESIDUAL_R15,fully_future_centre,31,10,8,2,6,2,0,2,5,1
0.25,report,STABLE_LOCAL_CORE_R14B,unfinished_or_future_quarter,31,10,8,2,6,2,0,2,5,1
0.25,report,STABLE_LOCAL_CORE_R14B,fully_future_centre,31,10,8,2,6,2,0,2,5,1
0.25,report,STABLE_PIPELINE_R14B,unfinished_or_future_quarter,31,10,11,2,9,2,0,2,5,1
0.25,report,STABLE_PIPELINE_R14B,fully_future_centre,31,10,11,2,9,2,0,2,5,1
0.25,report,STATE_FAST_R15,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,report,STATE_FAST_R15,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.5,cutoff,COMBO_ALL_R17,unfinished_or_future_quarter,31,6,4,0,4,0,0,0,3,0
0.5,cutoff,COMBO_ALL_R17,fully_future_centre,31,6,4,0,4,0,0,0,3,0
0.5,cutoff,COMBO_CORE_R17,unfinished_or_future_quarter,31,6,4,0,4,0,0,0,3,0
0.5,cutoff,COMBO_CORE_R17,fully_future_centre,31,6,4,0,4,0,0,0,3,0
0.5,cutoff,COMBO_FOOD_FUEL_R17,unfinished_or_future_quarter,31,6,3,0,3,0,0,0,3,0
0.5,cutoff,COMBO_FOOD_FUEL_R17,fully_future_centre,31,6,3,0,3,0,0,0,3,0
0.5,cutoff,CORE_FAST_H0_R17,unfinished_or_future_quarter,31,6,6,0,6,0,0,0,3,0
0.5,cutoff,CORE_FAST_H0_R17,fully_future_centre,31,6,6,0,6,0,0,0,3,0
