geo,origin,band,label_end,f,r,mu
CZ,2020-12,4,2021-12,0.22658276844206718,1.055667388978975,0.09135417002558659
CZ,2021-01,1,2021-04,0.14933582970597,0.07926529214700063,0.09136251170894498
CZ,2021-01,2,2021-07,0.15888787715707,0.7927904091728442,0.09136251170894498
CZ,2021-01,3,2021-10,0.1637785254520331,1.0043484297709553,0.09136251170894498
CZ,2021-01,4,2022-01,0.16628253737905427,1.2055684009093834,0.09136251170894498
CZ,2021-02,1,2021-05,0.2826609373521376,0.17691394217516868,0.0913834370587443
CZ,2021-02,2,2021-08,0.2803934381052005,1.0116246413950385,0.0913834370587443
CZ,2021-02,3,2021-11,0.27923247849076865,1.081845098431374,0.0913834370587443
CZ,2021-02,4,2022-02,0.27863806716817957,1.0103965963877164,0.0913834370587443
CZ,2021-03,1,2021-06,0.22464320819801478,0.45991863918183823,0.09140436240854365
CZ,2021-03,2,2021-09,0.22727709492693352,1.0195565660148687,0.09140436240854365
CZ,2021-03,3,2021-12,0.22862564493213997,1.0668099759880545,0.09140436240854365
CZ,2021-03,4,2022-03,0.22931610253480564,1.033748977441147,0.09140436240854365
CZ,2021-04,1,2021-07,0.15812491419554564,0.7926619356024682,0.09537345970682332
CZ,2021-04,2,2021-10,0.16532211702879338,1.0042199562005791,0.09537345970682332
CZ,2021-04,3,2022-01,0.1690070848794162,1.1940813233221876,0.09537345970682332
CZ,2021-04,4,2022-04,0.17089378841893513,0.985507727299079,0.09537345970682332
CZ,2021-05,1,2021-08,0.141828242763953,1.0067212584765979,0.09934255700510301
CZ,2021-05,2,2021-11,0.14899831516649992,1.0769417155129335,0.09934255700510301
CZ,2021-05,3,2022-02,0.15266939223660397,1.0029610395413147,0.09934255700510301
CZ,2021-05,4,2022-05,0.15454898369649722,1.220209725541934,0.09934255700510301
CZ,2021-06,1,2021-09,0.2538529446417696,1.0155517754070535,0.09950046899502156
CZ,2021-06,2,2021-12,0.25120112735384764,1.0628051853802394,0.09950046899502156
CZ,2021-06,3,2022-03,0.24984339690243162,1.0441488590596164,0.09950046899502156
CZ,2021-06,4,2022-06,0.24914823891130658,1.3819569566351617,0.09950046899502156
CZ,2021-07,1,2021-10,0.4721614419648594,1.008378138703047,0.09965838098494008
CZ,2021-07,2,2022-01,0.4532303264067353,1.1982395058246555,0.09965838098494008
CZ,2021-07,3,2022-04,0.44353759524097575,0.9974069431769861,0.09965838098494008
CZ,2021-07,4,2022-07,0.4385749168841069,1.333262744195366,0.09965838098494008
CZ,2021-08,1,2021-11,0.6754828821477806,1.0899051426906403,0.09965838098494008
CZ,2021-08,2,2022-02,0.644266131712434,1.0159244667190215,0.09965838098494008
CZ,2021-08,3,2022-05,0.6282831554895365,1.2270466095491768,0.09965838098494008
CZ,2021-08,4,2022-08,0.6200998716634128,1.1713914635513432,0.09965838098494008
CZ,2021-09,1,2021-12,0.7936936179627739,1.0787969906812527,0.09965838098494008
CZ,2021-09,2,2022-03,0.7587574239604694,1.06014066436063,0.09965838098494008
CZ,2021-09,3,2022-06,0.7408700926312896,1.3797015417213283,0.09965838098494008
CZ,2021-09,4,2022-09,0.7317117789907495,1.0188786963178185,0.09965838098494008
CZ,2021-10,1,2022-01,0.7989008794415544,1.2111529866363984,0.09965838098494008
CZ,2021-10,2,2022-04,0.7694996621519342,1.010320423988729,0.09965838098494008
CZ,2021-10,3,2022-07,0.7544462388996487,1.318696279681592,0.09965838098494008
CZ,2021-10,4,2022-10,0.7467388861944785,0.9644263893985588,0.09965838098494008
CZ,2021-11,1,2022-02,0.8654100163542194,1.0263654665313695,0.09965838098494008
CZ,2021-11,2,2022-05,0.8359822055798416,1.2374876093615248,0.09965838098494008
