origin,h,target,as_of_utc,model,mm_forecast,contribution_core,contribution_food,contribution_alcohol_tobacco,contribution_administered,contribution_fuel,contribution_wedge,yy_exante,status,value_core,value_food,value_fuel,value_administered,value_alcohol_tobacco,value_wedge,weight_food,weight_fuel,weight_alc,weight_administered,weight_core
2026-07,12,2027-07,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B,0.426471767457732,0.48859034145146013,-0.07349549108691021,0.016390202777001293,0.0,0.0,-0.0050132856838191915,2.7286233816436005,estimated,0.9065796244414358,-0.43595735049884504,0.0,0.0,0.19778015670536478,-0.0050132856838191915,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,0,2026-07,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B+FOOD_NORM_SHIFT_R24,0.44767252748945857,0.4172707359470312,-0.09207647901712651,0.016390202777001293,0.0,0.11110135346637179,-0.0050132856838191915,1.541593368596006,estimated,,,,,,,,,,,
2026-07,1,2026-08,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B+FOOD_NORM_SHIFT_R24,0.23757291261614655,0.10011966503445503,-0.10766828034130882,0.018522421906986303,0.008948809780134336,0.20994129776670903,0.007708998469170667,1.7176668273214635,estimated,0.1857720888556614,-0.6386620122703531,6.853947466606769,0.05,0.22350959028201067,0.007708998469170667,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,2,2026-09,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B+FOOD_NORM_SHIFT_R24,-0.4316849453773926,-0.30776820649499353,-0.1588861948288668,0.036596633233260144,0.02684642934040301,0.0,-0.028473606627195412,1.8655000718442722,estimated,-0.571064062032763,-0.9424742049349045,0.0,0.15000000000000002,0.441610634977587,-0.028473606627195412,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,3,2026-10,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B+FOOD_NORM_SHIFT_R24,0.3158932189918492,0.26793287677047084,0.07283534333797628,0.011494558542197678,-0.008948809780134336,0.0,-0.0274207498786612,1.6635846197216066,estimated,0.49714958768217593,0.4320415148563199,0.0,-0.05,0.1387045432363333,-0.0274207498786612,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,4,2026-11,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B+FOOD_NORM_SHIFT_R24,0.0033243356959626255,0.020271572911637756,-0.024782192830763487,-0.005139468970304256,0.008948809780134336,0.0,0.004025614805258276,1.9936575884345842,estimated,0.037613913739012204,-0.1470019312242591,0.0,0.05,-0.062017840301247865,0.004025614805258276,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,5,2026-12,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B+FOOD_NORM_SHIFT_R24,-0.09297629761730525,0.053157869212685255,-0.08542220027823157,-0.059562173762270416,0.0,0.0,-0.0011497927894885101,2.161453506293575,estimated,0.09863445307530883,-0.5067036842170606,0.0,0.0,-0.7187352237608671,-0.0011497927894885101,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,6,2027-01,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B+FOOD_NORM_SHIFT_R24,1.048751508844823,0.2830295075449063,0.38635394597841444,0.2795888306661416,0.11633452714174637,0.0,-0.016555302486385832,2.375347826358263,estimated,0.5251613936813708,2.2917574963115266,0.0,0.65,3.3737912516745685,-0.016555302486385832,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,7,2027-02,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B+FOOD_NORM_SHIFT_R24,0.18192146280981036,0.21743548744460225,-0.03258365454304331,-0.03259694268202019,0.008948809780134336,0.0,0.02071776281013727,2.627167021230907,estimated,0.40345165637571556,-0.1932783017580896,0.0,0.05,-0.39334647163805725,0.02071776281013727,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,8,2027-03,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B+FOOD_NORM_SHIFT_R24,0.013947327589331884,-0.02624487597717082,-0.007281303663047706,0.05068234157316755,0.017897619560268672,0.0,-0.02110645390388581,2.0542122834042105,estimated,-0.04869738058311443,-0.043190919690108354,0.0,0.1,0.6115825163921406,-0.02110645390388581,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
