a6_number,component,source_id,source_file,period,value,value_kind,availability_rule,available_from_assumed,vintage,frequency,seasonal_adjustment
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2011-07,9159.0,level,t_plus_41d,2011-09-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2011-08,9781.0,level,t_plus_41d,2011-10-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2011-09,9456.0,level,t_plus_41d,2011-11-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2011-10,9552.0,level,t_plus_41d,2011-12-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2011-11,8931.0,level,t_plus_41d,2012-01-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2011-12,8388.0,level,t_plus_41d,2012-02-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2012-01,6761.0,level,t_plus_41d,2012-03-12,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2012-02,6774.0,level,t_plus_41d,2012-04-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2012-03,7795.0,level,t_plus_41d,2012-05-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2012-04,8218.0,level,t_plus_41d,2012-06-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2012-05,8952.0,level,t_plus_41d,2012-07-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2012-06,8686.0,level,t_plus_41d,2012-08-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2012-07,8335.0,level,t_plus_41d,2012-09-10,"current, downloaded 2026-09-12",M,
