a6_number,component,source_id,source_file,period,value,value_kind,availability_rule,available_from_assumed,vintage
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2005-06,13.4,balance,ec_bcs_next_month,2005-07-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2005-07,15.4,balance,ec_bcs_next_month,2005-08-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2005-08,14.7,balance,ec_bcs_next_month,2005-09-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2005-09,23.6,balance,ec_bcs_next_month,2005-10-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2005-10,22.5,balance,ec_bcs_next_month,2005-11-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2005-11,24.4,balance,ec_bcs_next_month,2005-12-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2005-12,21.6,balance,ec_bcs_next_month,2006-01-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2006-01,16.6,balance,ec_bcs_next_month,2006-02-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2006-02,25.5,balance,ec_bcs_next_month,2006-03-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2006-03,21.0,balance,ec_bcs_next_month,2006-04-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2006-04,29.5,balance,ec_bcs_next_month,2006-05-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2006-05,24.4,balance,ec_bcs_next_month,2006-06-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2006-06,25.4,balance,ec_bcs_next_month,2006-07-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2006-07,30.5,balance,ec_bcs_next_month,2006-08-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2006-08,28.3,balance,ec_bcs_next_month,2006-09-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2006-09,32.9,balance,ec_bcs_next_month,2006-10-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2006-10,34.2,balance,ec_bcs_next_month,2006-11-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2006-11,36.1,balance,ec_bcs_next_month,2006-12-01,current
