origin,model,band,target,predicted_change,actual_change,material_actual
2019-08,JOINT_DOMESTIC_R22,2,2020-02,0.20296064500943167,4.5371227759087835,True
2019-08,JOINT_DOMESTIC_R22,3,2020-05,-0.8742879574754023,-3.23116391896323,True
2019-08,JOINT_DOMESTIC_R22,4,2020-08,0.05001180017878504,3.095270276390003,True
2019-08,JOINT_ENET_R22,2,2020-02,-2.0714813762597695,4.5371227759087835,True
2019-08,JOINT_ENET_R22,3,2020-05,0.6205407357170425,-3.23116391896323,True
2019-08,JOINT_ENET_R22,4,2020-08,1.1899571049666862,3.095270276390003,True
2019-08,JOINT_HALF_R22,2,2020-02,-0.08417367030307332,4.5371227759087835,True
2019-08,JOINT_HALF_R22,3,2020-05,-0.4792256085301716,-3.23116391896323,True
2019-08,JOINT_HALF_R22,4,2020-08,0.006955490236546513,3.095270276390003,True
2019-08,JOINT_IMPORTED_R22,2,2020-02,-0.17039751095703126,4.5371227759087835,True
2019-08,JOINT_IMPORTED_R22,3,2020-05,-0.9417714140520839,-3.23116391896323,True
2019-08,JOINT_IMPORTED_R22,4,2020-08,0.042036516348567865,3.095270276390003,True
2019-08,JOINT_LINEAR_R22,2,2020-02,-0.0009519575001224467,4.5371227759087835,True
2019-08,JOINT_LINEAR_R22,3,2020-05,-0.8734756571085649,-3.23116391896323,True
2019-08,JOINT_LINEAR_R22,4,2020-08,0.05755324559792374,3.095270276390003,True
2019-08,JOINT_OWN_R22,2,2020-02,0.06526710765205568,4.5371227759087835,True
2019-08,JOINT_OWN_R22,3,2020-05,-0.9229804635036079,-3.23116391896323,True
2019-08,JOINT_OWN_R22,4,2020-08,0.03639147095540585,3.095270276390003,True
2019-08,JOINT_RF_R22,2,2020-02,-0.4199669945197151,4.5371227759087835,True
2019-08,JOINT_RF_R22,3,2020-05,-1.017226252737594,-3.23116391896323,True
2019-08,JOINT_RF_R22,4,2020-08,0.20963602492498046,3.095270276390003,True
2019-08,STABLE_LOCAL_CORE_R14B,2,2020-02,-4.440892098500626e-16,4.5371227759087835,True
