clock,report_date,cutoff_date,quarter,quarters_ahead,origin,as_of_utc,model,forecast,realised,error,model_cnb_deviation,realised_cnb_error,abs_error_gain_vs_cnb,squared_error_gain_vs_cnb,material_gain,material_loss,deviation_direction_correct
report,2022-05-12,2022-04-22,2022Q4,3,2022-04,2022-05-09 21:59:00+00:00,CORE_LEVELPHASE_FIXED040_R29B,13.289066676159925,15.699043922150208,-2.4099772459902837,0.5391726761599251,2.949149922150209,0.5391726761599251,2.8894949371276706,True,False,True
report,2022-05-12,2022-04-22,2022Q4,3,2022-04,2022-05-09 21:59:00+00:00,CORE_LEVELPHASE_FIXED060_R29B,13.289066676159925,15.699043922150208,-2.4099772459902837,0.5391726761599251,2.949149922150209,0.5391726761599251,2.8894949371276706,True,False,True
report,2022-05-12,2022-04-22,2022Q4,3,2022-04,2022-05-09 21:59:00+00:00,CORE_LEVELPHASE_FIXED080_R29B,13.289066676159925,15.699043922150208,-2.4099772459902837,0.5391726761599251,2.949149922150209,0.5391726761599251,2.8894949371276706,True,False,True
report,2022-05-12,2022-04-22,2022Q4,3,2022-04,2022-05-09 21:59:00+00:00,CORE_LEVELPHASE_PANEL_R29B,11.223969326881724,15.699043922150208,-4.4750745952684845,-1.5259246731182756,2.949149922150209,-1.5259246731182756,-11.328807369898808,False,True,False
report,2022-05-12,2022-04-22,2022Q4,3,2022-04,2022-05-09 21:59:00+00:00,cnb,12.749894,15.699043922150208,-2.949149922150209,0.0,2.949149922150209,0.0,0.0,False,False,False
report,2022-05-12,2022-04-22,2023Q1,4,2022-04,2022-05-09 21:59:00+00:00,STATE_FAST_R15,9.272676304246366,16.393468660721574,-7.120792356475208,1.4154801942463653,8.536272550721574,1.4154801942463653,22.162265276166856,True,False,True
report,2022-05-12,2022-04-22,2023Q1,4,2022-04,2022-05-09 21:59:00+00:00,FOOD_ECM_R27,9.334076810533379,16.393468660721574,-7.059391850188195,1.4768807005333784,8.536272550721574,1.4768807005333784,23.032935765699094,True,False,True
report,2022-05-12,2022-04-22,2023Q1,4,2022-04,2022-05-09 21:59:00+00:00,CORE_LEVELPHASE_FIXED040_R29B,9.334076810533379,16.393468660721574,-7.059391850188195,1.4768807005333784,8.536272550721574,1.4768807005333784,23.032935765699094,True,False,True
report,2022-05-12,2022-04-22,2023Q1,4,2022-04,2022-05-09 21:59:00+00:00,CORE_LEVELPHASE_FIXED060_R29B,9.334076810533379,16.393468660721574,-7.059391850188195,1.4768807005333784,8.536272550721574,1.4768807005333784,23.032935765699094,True,False,True
report,2022-05-12,2022-04-22,2023Q1,4,2022-04,2022-05-09 21:59:00+00:00,CORE_LEVELPHASE_FIXED080_R29B,9.334076810533379,16.393468660721574,-7.059391850188195,1.4768807005333784,8.536272550721574,1.4768807005333784,23.032935765699094,True,False,True
report,2022-05-12,2022-04-22,2023Q1,4,2022-04,2022-05-09 21:59:00+00:00,CORE_LEVELPHASE_PANEL_R29B,6.729636367218762,16.393468660721574,-9.66383229350281,-1.127559742781238,8.536272550721574,-1.1275597427812372,-20.521705536745188,False,True,False
report,2022-05-12,2022-04-22,2023Q1,4,2022-04,2022-05-09 21:59:00+00:00,cnb,7.85719611,16.393468660721574,-8.536272550721574,0.0,8.536272550721574,0.0,0.0,False,False,False
cutoff,2022-05-12,2022-04-22,2022Q2,1,2022-03,2022-04-10 21:59:00+00:00,STATE_FAST_R15,12.62574891641352,15.77230851609123,-3.14655959967771,-1.910907552385579,1.235652047292131,-1.910907552385579,-8.374001332346715,False,True,False
cutoff,2022-05-12,2022-04-22,2022Q2,1,2022-03,2022-04-10 21:59:00+00:00,FOOD_ECM_R27,12.62778893231413,15.77230851609123,-3.1445195837771003,-1.9088675364849692,1.235652047292131,-1.9088675364849692,-8.361167430780473,False,True,False
cutoff,2022-05-12,2022-04-22,2022Q2,1,2022-03,2022-04-10 21:59:00+00:00,CORE_LEVELPHASE_FIXED040_R29B,12.62778893231413,15.77230851609123,-3.1445195837771003,-1.9088675364849692,1.235652047292131,-1.9088675364849692,-8.361167430780473,False,True,False
cutoff,2022-05-12,2022-04-22,2022Q2,1,2022-03,2022-04-10 21:59:00+00:00,CORE_LEVELPHASE_FIXED060_R29B,12.62778893231413,15.77230851609123,-3.1445195837771003,-1.9088675364849692,1.235652047292131,-1.9088675364849692,-8.361167430780473,False,True,False
cutoff,2022-05-12,2022-04-22,2022Q2,1,2022-03,2022-04-10 21:59:00+00:00,CORE_LEVELPHASE_FIXED080_R29B,12.62778893231413,15.77230851609123,-3.1445195837771003,-1.9088675364849692,1.235652047292131,-1.9088675364849692,-8.361167430780473,False,True,False
cutoff,2022-05-12,2022-04-22,2022Q2,1,2022-03,2022-04-10 21:59:00+00:00,CORE_LEVELPHASE_PANEL_R29B,11.998247085984607,15.77230851609123,-3.7740614301066238,-2.5384093828144927,1.235652047292131,-2.5384093828144927,-12.716703696241218,False,True,False
cutoff,2022-05-12,2022-04-22,2022Q2,1,2022-03,2022-04-10 21:59:00+00:00,cnb,14.5366564687991,15.77230851609123,-1.235652047292131,0.0,1.235652047292131,0.0,0.0,False,False,False
cutoff,2022-05-12,2022-04-22,2022Q3,2,2022-03,2022-04-10 21:59:00+00:00,STATE_FAST_R15,12.38269861941688,17.578003612072624,-5.195304992655744,-1.4822939805831208,3.7130110120726236,-1.4822939805831208,-13.204743190941137,False,True,False
cutoff,2022-05-12,2022-04-22,2022Q3,2,2022-03,2022-04-10 21:59:00+00:00,FOOD_ECM_R27,12.379188006331573,17.578003612072624,-5.198815605741052,-1.485804593668428,3.7130110120726236,-1.485804593668428,-13.24123292672413,False,True,False
cutoff,2022-05-12,2022-04-22,2022Q3,2,2022-03,2022-04-10 21:59:00+00:00,CORE_LEVELPHASE_FIXED040_R29B,12.379188006331573,17.578003612072624,-5.198815605741052,-1.485804593668428,3.7130110120726236,-1.485804593668428,-13.24123292672413,False,True,False
cutoff,2022-05-12,2022-04-22,2022Q3,2,2022-03,2022-04-10 21:59:00+00:00,CORE_LEVELPHASE_FIXED060_R29B,12.379188006331573,17.578003612072624,-5.198815605741052,-1.485804593668428,3.7130110120726236,-1.485804593668428,-13.24123292672413,False,True,False
cutoff,2022-05-12,2022-04-22,2022Q3,2,2022-03,2022-04-10 21:59:00+00:00,CORE_LEVELPHASE_FIXED080_R29B,12.379188006331573,17.578003612072624,-5.198815605741052,-1.485804593668428,3.7130110120726236,-1.485804593668428,-13.24123292672413,False,True,False
