scope,sample,h,horizon_label,metric,model,n_intended,n_scored,n_missing_forecast,n_fallback,rmse,mae,bias
common,full,7,h7,cumulative_pct,FOOD_H0_FAST_R18,83,83,0,24,5.043573784690121,3.6192673455954996,-0.6283527368582487
common,full,7,h7,cumulative_pct,FOOD_H0_SELECT_R18,83,83,0,24,5.046639109584885,3.5939957717129727,-0.6762464168192192
common,full,7,h7,cumulative_pct,FOOD_H0_SLOW_R18,83,83,0,24,4.983039281594357,3.573163586110802,-0.6493755269321815
common,full,7,h7,cumulative_pct,STATE_FAST_R15,83,83,0,0,5.1411900941960464,3.7090288196649643,-0.6370489275587449
primary_control_calendar,full,8,h8,mm,FOOD_H0_FAST_R18,82,82,0,24,1.1729088703047703,0.9257513311769039,-0.06419925209404734
primary_control_calendar,full,8,h8,mm,FOOD_H0_SELECT_R18,82,82,0,24,1.1730846320761457,0.9263081913218209,-0.06762624854223039
primary_control_calendar,full,8,h8,mm,FOOD_H0_SLOW_R18,82,82,0,24,1.1678857724163394,0.9244104354341434,-0.06397112208763116
primary_control_calendar,full,8,h8,mm,STATE_FAST_R15,82,82,0,0,1.1730550518140312,0.9257806923922584,-0.06426353804493605
common,full,8,h8,mm,FOOD_H0_FAST_R18,82,82,0,24,1.1729088703047703,0.9257513311769039,-0.06419925209404734
common,full,8,h8,mm,FOOD_H0_SELECT_R18,82,82,0,24,1.1730846320761457,0.9263081913218209,-0.06762624854223039
