origin,model,rho,as_of,beta,beta_unbounded,theta,scale,ridge,n_origins,n_rows,status,reason,training_rmse
2023-09,FOOD_H0_SLOW_R18,0.9,2023-10-09T23:59:00+02:00,0.46632600488486264,0.46632600488486264,0.11217800156847894,0.24055703605072604,1.0,43,516,estimated,,1.2606047404342933
2023-10,FOOD_H0_FAST_R18,0.5,2023-11-09T23:59:00+01:00,1.0,1.108116410877147,0.0785451631867047,0.07088168933851546,1.0,44,528,estimated,,1.2669990457949765
2023-10,FOOD_H0_SLOW_R18,0.9,2023-11-09T23:59:00+01:00,0.4260925565668195,0.4260925565668195,0.10361279508081501,0.24316969044392717,1.0,44,528,estimated,,1.261080960792246
2023-11,FOOD_H0_FAST_R18,0.5,2023-12-10T23:59:00+01:00,1.0,1.1156188461262813,0.07821280753166245,0.0701071049518728,1.0,45,540,estimated,,1.262038735593381
2023-11,FOOD_H0_SLOW_R18,0.9,2023-12-10T23:59:00+01:00,0.4258464826970324,0.4258464826970324,0.10242134630891352,0.2405123688241919,1.0,45,540,estimated,,1.2562999090420357
2023-12,FOOD_H0_FAST_R18,0.5,2024-01-10T23:59:00+01:00,1.0,1.0905265905566732,0.07638276531107618,0.07004209340011198,1.0,46,552,estimated,,1.2571705428824815
2023-12,FOOD_H0_SLOW_R18,0.9,2024-01-10T23:59:00+01:00,0.40082631712506844,0.40082631712506844,0.09631429018390046,0.24028933747343703,1.0,46,552,estimated,,1.2526542167298151
2024-01,FOOD_H0_FAST_R18,0.5,2024-02-14T23:59:00+01:00,1.0,1.0854025324643528,0.07522468858431174,0.06930579792689243,1.0,47,564,estimated,,1.2545965039883809
2024-01,FOOD_H0_SLOW_R18,0.9,2024-02-14T23:59:00+01:00,0.4030911335845606,0.4030911335845606,0.09584030690364417,0.23776337140280648,1.0,47,564,estimated,,1.2500028116672302
2024-02,FOOD_H0_FAST_R18,0.5,2024-03-10T23:59:00+01:00,1.0,1.0920126073666319,0.07528910477833323,0.06894527065936674,1.0,48,576,estimated,,1.2530899956787058
2024-02,FOOD_H0_SLOW_R18,0.9,2024-03-10T23:59:00+01:00,0.42050352714946215,0.42050352714946215,0.09946024074660127,0.2365265314677123,1.0,48,576,estimated,,1.2476246948831304
2024-03,FOOD_H0_FAST_R18,0.5,2024-04-09T23:59:00+02:00,1.0,1.1162690640798347,0.0764638558945856,0.06849948489580014,1.0,49,588,estimated,,1.253259618302158
2024-03,FOOD_H0_SLOW_R18,0.9,2024-04-09T23:59:00+02:00,0.439966956277867,0.439966956277867,0.10339100289143195,0.2349972001673098,1.0,49,588,estimated,,1.2469359774931894
2024-04,FOOD_H0_FAST_R18,0.5,2024-05-12T23:59:00+02:00,1.0,1.076611955070241,0.07309682047827576,0.06789523387143395,1.0,50,600,estimated,,1.2544582893070433
2024-04,FOOD_H0_SLOW_R18,0.9,2024-05-12T23:59:00+02:00,0.4240072748842862,0.4240072748842862,0.09876156857231029,0.2329242313100945,1.0,50,600,estimated,,1.2488578771960523
2024-05,FOOD_H0_FAST_R18,0.5,2024-06-10T23:59:00+02:00,1.0,1.0696789423548594,0.07202314452462427,0.06733155311636586,1.0,51,612,estimated,,1.2511303852500117
2024-05,FOOD_H0_SLOW_R18,0.9,2024-06-10T23:59:00+02:00,0.41350563785069433,0.41350563785069433,0.09551585109739384,0.23099044451694278,1.0,51,612,estimated,,1.2461226224344346
2024-06,FOOD_H0_FAST_R18,0.5,2024-07-09T23:59:00+02:00,1.0,1.0688553174074502,0.07127476707936216,0.06668326939911928,1.0,52,624,estimated,,1.2478419616752605
2024-06,FOOD_H0_SLOW_R18,0.9,2024-07-09T23:59:00+02:00,0.4121958360368436,0.4121958360368436,0.09429656379540849,0.2287664152603907,1.0,52,624,estimated,,1.2429797725815945
2024-07,FOOD_H0_FAST_R18,0.5,2024-08-11T23:59:00+02:00,1.0,1.057778728880209,0.0713569772081339,0.0674592665364657,1.0,53,636,estimated,,1.244301912487189
2024-07,FOOD_H0_SLOW_R18,0.9,2024-08-11T23:59:00+02:00,0.42774248811516674,0.42774248811516674,0.09899183813659448,0.23142858352182588,1.0,53,636,estimated,,1.2383832613950874
2024-08,FOOD_H0_FAST_R18,0.5,2024-09-09T23:59:00+02:00,1.0,1.0743354784716561,0.07267383450668438,0.06764538262300505,1.0,54,648,estimated,,1.2410858705140826
2024-08,FOOD_H0_SLOW_R18,0.9,2024-09-09T23:59:00+02:00,0.4439326370861778,0.4439326370861778,0.10302215131973712,0.23206708115884278,1.0,54,648,estimated,,1.2343183327567435
2024-09,FOOD_H0_FAST_R18,0.5,2024-10-09T23:59:00+02:00,1.0,1.0888772331747374,0.07306262398909893,0.06709904639669716,1.0,55,660,estimated,,1.2382384099231243
2024-09,FOOD_H0_SLOW_R18,0.9,2024-10-09T23:59:00+02:00,0.45024959168051476,0.45024959168051476,0.1036442129615356,0.23019279723207123,1.0,55,660,estimated,,1.2313063951462238
2024-10,FOOD_H0_FAST_R18,0.5,2024-11-10T23:59:00+01:00,1.0,1.0316453561426537,0.0715101159299568,0.06931656843523709,1.0,56,672,estimated,,1.2348695177525355
2024-10,FOOD_H0_SLOW_R18,0.9,2024-11-10T23:59:00+01:00,0.4413366970512562,0.4413366970512562,0.10495000829829293,0.23780032115957078,1.0,56,672,estimated,,1.2275511271910389
2024-11,FOOD_H0_FAST_R18,0.5,2024-12-09T23:59:00+01:00,1.0,1.0684842865554278,0.07407635007801894,0.06932844124158882,1.0,57,684,estimated,,1.2311404979703005
2024-11,FOOD_H0_SLOW_R18,0.9,2024-12-09T23:59:00+01:00,0.44848503789161775,0.44848503789161775,0.10666815344534396,0.2378410525060185,1.0,57,684,estimated,,1.2236456184836988
2024-12,FOOD_H0_FAST_R18,0.5,2025-01-12T23:59:00+01:00,1.0,1.0462977226557757,0.07196276469629993,0.06877847780614463,1.0,58,696,estimated,,1.2277245471382303
