origin,raw_h0_source,raw_h0_column,pipeline_source,pipeline_h0_index,as_of_eve,as_of_local,as_of_utc,first_release_date,detail_release_date,first_release_source,detail_release_source,first_release_eve_match,detail_release_eve_match,eligible_history_end,pipeline_fast_max_abs,raw_h0_mm,state_h0_log,signal,headline_archive_serialization_abs,vintage_status,cleanup_replay_h0_abs_difference
2022-07,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2022-08-09T23:59:00,2022-08-09T23:59:00+02:00,2022-08-09T21:59:00+00:00,2022-08-10,2022-08-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2022-06,0.0,1.0136082442143106,0.506262290990791,0.502243395853379,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,5.020771576269567e-09
2022-08,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2022-09-11T23:59:00,2022-09-11T23:59:00+02:00,2022-09-11T21:59:00+00:00,2022-09-12,2022-09-12,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2022-07,0.0,0.5916282488543099,0.2839953450878519,0.3058896561598797,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,0.0
2022-09,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2022-10-10T23:59:00,2022-10-10T23:59:00+02:00,2022-10-10T21:59:00+00:00,2022-10-11,2022-10-11,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2022-08,0.0,-0.24111970481665657,0.3477401988878237,-0.5891510653910317,5.551115123125783e-17,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,1.7076873248811353e-10
2022-10,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2022-11-09T23:59:00,2022-11-09T23:59:00+01:00,2022-11-09T22:59:00+00:00,2022-11-10,2022-11-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2022-09,0.0,0.9292818497062526,0.8621002443192369,0.06289034638052315,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,1.4093978983886757e-08
2022-11,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2022-12-11T23:59:00,2022-12-11T23:59:00+01:00,2022-12-11T22:59:00+00:00,2022-12-12,2022-12-12,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2022-10,0.0,1.489251285567344,1.0759626183633495,0.40230820380965615,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,7.386774747430991e-09
2022-12,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2023-01-10T23:59:00,2023-01-10T23:59:00+01:00,2023-01-10T22:59:00+00:00,2023-01-11,2023-01-11,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2022-11,0.0,0.6357204278816044,0.6885803527784304,-0.054872103823174645,3.469446951953614e-17,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,6.40227260095827e-09
2023-01,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2023-02-09T23:59:00,2023-02-09T23:59:00+01:00,2023-02-09T22:59:00+00:00,2023-02-10,2023-02-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2022-12,0.0,2.045653957895152,2.319611884902862,-0.29460038678977307,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,5.401689318063063e-09
2023-02,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2023-03-09T23:59:00,2023-03-09T23:59:00+01:00,2023-03-09T22:59:00+00:00,2023-03-10,2023-03-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2023-01,0.0,0.5312258828427172,0.7809021559152514,-0.25108230050922375,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,6.194590840280512e-09
2023-03,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2023-04-12T23:59:00,2023-04-12T23:59:00+02:00,2023-04-12T21:59:00+00:00,2023-04-13,2023-04-13,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2023-02,0.0,0.5935966604967569,0.448424616119911,0.1434172004390808,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,7.943598001602936e-10
2023-04,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2023-05-10T23:59:00,2023-05-10T23:59:00+02:00,2023-05-10T21:59:00+00:00,2023-05-11,2023-05-11,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2023-03,0.0,0.48938397066529526,0.3269364067234424,0.1612539731654376,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,3.2254676152199124e-09
