origin,target,h,as_of_utc,model,mm_forecast,mm_actual,yy_exante,yy_actual,cumulative_log_forecast,cumulative_log_actual
2023-12,2024-05,5,2024-01-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.3629782198095283,0.0,2.1242245544672715,2.574525745257463,1.8294561947423582,2.5419428836976223
2023-12,2024-06,6,2024-01-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.3011812460262322,-0.264200792602387,2.0859838380264337,1.958136394328148,2.130184798674792,2.277392464855206
2023-12,2024-07,7,2024-01-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.4274453925916713,0.6622516556291425,2.040049691438072,2.150537634408578,2.5567192384096704,2.9374608679904153
2023-12,2024-08,8,2024-01-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.08752666148233806,0.263157894736854,1.9238702663837517,2.213279678068404,2.6442076176461433,3.2002731086173783
2023-12,2024-09,9,2024-01-10T22:59:00+00:00,FOOD_H0_FAST_R18,-0.2925814824721128,-0.3937007874015741,2.380985746342049,2.567567567567563,2.3511972788475313,2.8057952795157446
2023-12,2024-10,10,2024-01-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.40247547350404334,0.3293807641633783,2.723636241177632,2.8359216745442346,2.7528649864653905,3.1346347734744073
2023-12,2024-11,11,2024-01-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.16816472943574678,0.0656598818122189,2.826950409606822,2.834008097166013,2.9208884773401325,3.200273108617391
2023-12,2024-12,12,2024-01-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.11834106509718116,-0.2624671916010568,3.0858134584384,2.981029810298109,3.0391595745938926,2.9374608679904326
2023-12,2023-12,0,2024-01-10T22:59:00+00:00,FOOD_H0_SLOW_R18,-0.1330702411008323,-0.4048582995951344,7.170738524756402,6.879073135409149,0.0,0.0
2023-12,2024-01,1,2024-01-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.9605149131705302,1.4905149051490652,2.0658324942707322,2.3224043715847307,0.955931296187844,1.4795158916747118
2023-12,2024-02,2,2024-01-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.24228175754369866,0.26702269692922,1.6879883114045802,1.9687712152070571,1.1979200246898545,1.7461827163662194
2023-12,2024-03,3,2024-01-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.00624123365441033,0.1331557922769732,1.5564442727653007,1.9661016949152728,1.2041610635873805,1.8792499349367366
2023-12,2024-04,4,2024-01-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.23166340159165746,0.6648936170212671,1.99916932371068,2.853260869565235,1.4355565392319765,2.5419428836976223
2023-12,2024-05,5,2024-01-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.3412862236838657,0.0,2.069914538681538,2.574525745257463,1.7762617031594115,2.5419428836976223
2023-12,2024-06,6,2024-01-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.28046824817771615,-0.264200792602387,2.0106237961507616,1.958136394328148,2.0563373730130077,2.277392464855206
2023-12,2024-07,7,2024-01-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.408224409398143,0.6622516556291425,1.9452083526937214,2.150537634408578,2.4637308072968493,2.9374608679904153
2023-12,2024-08,8,2024-01-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.06991796220183363,0.263157894736854,1.8112218048459299,2.213279678068404,2.533624338278702,3.2002731086173783
2023-12,2024-09,9,2024-01-10T22:59:00+00:00,FOOD_H0_SLOW_R18,-0.3085790426836499,-0.3937007874015741,2.2514237050558847,2.567567567567563,2.224568208754332,2.8057952795157446
2023-12,2024-10,10,2024-01-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.38781468425789306,0.3293807641633783,2.5786598357524273,2.8359216745442346,2.6116328304752745,3.1346347734744073
2023-12,2024-11,11,2024-01-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.15496089057421936,0.0656598818122189,2.668293012610415,2.834008097166013,2.76647378055271,3.200273108617391
2023-12,2024-12,12,2024-01-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.10647497455195662,-0.2624671916010568,2.9145577015298016,2.981029810298109,2.872892110708143,2.9374608679904326
2023-12,2023-12,0,2024-01-10T22:59:00+00:00,FOOD_H0_SELECT_R18,-0.1330702411008323,-0.4048582995951344,7.170738524756402,6.879073135409149,0.0,0.0
2023-12,2024-01,1,2024-01-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.9605149131705302,1.4905149051490652,2.0658324942707322,2.3224043715847307,0.955931296187844,1.4795158916747118
2023-12,2024-02,2,2024-01-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.24228175754369866,0.26702269692922,1.6879883114045802,1.9687712152070571,1.1979200246898545,1.7461827163662194
2023-12,2024-03,3,2024-01-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.00624123365441033,0.1331557922769732,1.5564442727653007,1.9661016949152728,1.2041610635873805,1.8792499349367366
2023-12,2024-04,4,2024-01-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.23166340159165746,0.6648936170212671,1.99916932371068,2.853260869565235,1.4355565392319765,2.5419428836976223
2023-12,2024-05,5,2024-01-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.3412862236838657,0.0,2.069914538681538,2.574525745257463,1.7762617031594115,2.5419428836976223
2023-12,2024-06,6,2024-01-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.28046824817771615,-0.264200792602387,2.0106237961507616,1.958136394328148,2.0563373730130077,2.277392464855206
2023-12,2024-07,7,2024-01-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.408224409398143,0.6622516556291425,1.9452083526937214,2.150537634408578,2.4637308072968493,2.9374608679904153
2023-12,2024-08,8,2024-01-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.06991796220183363,0.263157894736854,1.8112218048459299,2.213279678068404,2.533624338278702,3.2002731086173783
2023-12,2024-09,9,2024-01-10T22:59:00+00:00,FOOD_H0_SELECT_R18,-0.3085790426836499,-0.3937007874015741,2.2514237050558847,2.567567567567563,2.224568208754332,2.8057952795157446
