model,h,omitted_year,n,rmse_delta,mae_delta
PRESS_JOINT_R23B,6,2023,69,-0.011892551013992225,0.03636431576932386
PRESS_JOINT_R23B,6,2024,69,-0.02516941103212389,-0.0020242019049419024
PRESS_JOINT_R23B,6,2025,69,-0.02571085311200738,-0.001702519268614422
PRESS_JOINT_R23B,6,2026,80,-0.01847888810057352,0.014410284382740501
PRESS_SIGNED_R23B,6,2019,73,-0.0114118597961812,0.01491836911113209
PRESS_SIGNED_R23B,6,2020,69,-0.011784357210054885,0.01586774359499299
PRESS_SIGNED_R23B,6,2021,69,0.004387187872261222,0.022439808792454885
PRESS_SIGNED_R23B,6,2022,69,-0.02010261346961384,0.005734455040441899
PRESS_SIGNED_R23B,6,2023,69,-0.001682903746003106,0.03405846764010789
PRESS_SIGNED_R23B,6,2024,69,-0.016285962261497033,-0.0017502079744429189
PRESS_SIGNED_R23B,6,2025,69,-0.015601319892829313,0.0026982127826962188
PRESS_SIGNED_R23B,6,2026,80,-0.010863762776813779,0.013498756990182326
PRESS_LEVELS_R23B,6,2019,73,0.009572112063122695,0.05284203838044599
PRESS_LEVELS_R23B,6,2020,69,0.00952453339264503,0.055217148332318944
PRESS_LEVELS_R23B,6,2021,69,0.014551127714247603,0.05563143614737909
PRESS_LEVELS_R23B,6,2022,69,0.011918474820679759,0.055631436147378865
PRESS_LEVELS_R23B,6,2023,69,0.01751464106321432,0.06465021366032575
PRESS_LEVELS_R23B,6,2024,69,0.0049275405469506595,0.02848542407550103
PRESS_LEVELS_R23B,6,2025,69,-0.0022390709978092893,0.01793288473762744
PRESS_LEVELS_R23B,6,2026,80,0.009049803553394131,0.04827081729343652
PRESS_ULC_R23B,7,2019,72,-0.012476500393816536,0.013386934042048049
PRESS_ULC_R23B,7,2020,68,-0.013269078515633748,0.013322356700597116
PRESS_ULC_R23B,7,2021,68,-0.009884056023242715,0.017243359878346354
PRESS_ULC_R23B,7,2022,68,-0.025840036454237048,0.00042305868015790615
PRESS_ULC_R23B,7,2023,68,0.016830072117481887,0.05619521601760713
PRESS_ULC_R23B,7,2024,68,-0.016956842125262384,-0.0012445362107973423
PRESS_ULC_R23B,7,2025,68,-0.02183787431453954,-0.015067451313891755
PRESS_DOMESTIC_R23B,7,2019,72,-0.014936818174221766,0.002688243916532107
PRESS_DOMESTIC_R23B,7,2020,68,-0.015551441929999577,0.0027841025399917285
PRESS_DOMESTIC_R23B,7,2021,68,-0.02694402097790327,0.0027077654960057096
PRESS_DOMESTIC_R23B,7,2022,68,-0.017342471473277943,0.0027077654960057096
PRESS_DOMESTIC_R23B,7,2023,68,0.013608461218131751,0.04405061129865362
PRESS_DOMESTIC_R23B,7,2024,68,-0.019291636475559315,-0.01177250915996142
PRESS_DOMESTIC_R23B,7,2025,68,-0.02483524155434136,-0.027077518606283935
PRESS_MOMENTUM_R23B,7,2019,72,-0.05887681058049621,-0.06199014324375174
PRESS_MOMENTUM_R23B,7,2020,68,-0.06022596899417065,-0.06231144694374291
PRESS_MOMENTUM_R23B,7,2021,68,-0.030003948233235045,-0.043675758776822615
PRESS_MOMENTUM_R23B,7,2022,68,-0.03889226984833627,-0.01507916474189841
PRESS_MOMENTUM_R23B,7,2023,68,-0.07379534796418596,-0.07944869825304512
PRESS_MOMENTUM_R23B,7,2024,68,-0.060568008001808504,-0.0645104339270055
PRESS_MOMENTUM_R23B,7,2025,68,-0.05984742763352102,-0.06208797443557912
PRESS_JOINT_R23B,7,2019,72,-0.04344284466536186,-0.01796089854295757
PRESS_JOINT_R23B,7,2020,68,-0.04499676000923758,-0.01889552072071954
PRESS_JOINT_R23B,7,2021,68,-0.023450255477500237,-0.005587951989218132
PRESS_JOINT_R23B,7,2022,68,-0.03419531791213393,0.0017389249197312662
PRESS_JOINT_R23B,7,2023,68,-0.03498100420845507,-0.0007873132970612762
PRESS_JOINT_R23B,7,2024,68,-0.0497376037284738,-0.03138321619886186
PRESS_JOINT_R23B,7,2025,68,-0.0509817751681636,-0.04017203264717373
PRESS_SIGNED_R23B,7,2019,72,-0.027048842176062404,-0.012448315588913461
PRESS_SIGNED_R23B,7,2020,68,-0.027951732147526887,-0.013086887426617455
PRESS_SIGNED_R23B,7,2021,68,-0.021588282524838354,-0.006512717518952327
PRESS_SIGNED_R23B,7,2022,68,-0.01980581940573467,0.008518819465962668
PRESS_SIGNED_R23B,7,2023,68,-0.017210876521073892,-0.00028234505691426826
PRESS_SIGNED_R23B,7,2024,68,-0.03219431764205405,-0.02544662238643758
PRESS_SIGNED_R23B,7,2025,68,-0.03233326487748789,-0.029093094312463874
PRESS_LEVELS_R23B,7,2019,72,0.00829122284066397,0.047827581440403
PRESS_LEVELS_R23B,7,2020,68,0.008060750080055357,0.049876639547765
PRESS_LEVELS_R23B,7,2021,68,0.01459200790734072,0.05034244182834291
PRESS_LEVELS_R23B,7,2022,68,0.009461624976147665,0.05034244182834291
PRESS_LEVELS_R23B,7,2023,68,0.018024376396507336,0.06007736492561877
PRESS_LEVELS_R23B,7,2024,68,0.003859976402208698,0.0300183900050639
PRESS_LEVELS_R23B,7,2025,68,-0.004266995772789439,0.01075640425096891
PRESS_ULC_R23B,8,2019,71,-0.019863722316911137,0.0043014794049605065
PRESS_ULC_R23B,8,2020,67,-0.0208399474835117,0.003742585555227329
PRESS_ULC_R23B,8,2021,67,-0.026808558101135693,0.00748397253168509
