model,frame,coverage,n,rmse,mae,bias,mean_gain,total_gain,closer,material_win,material_loss,direction,alerts,alerted_big,false_alarm,missed_big,big_precision,big_recall
TARGET_MACRO_REMAINDER,ex_jan,common,83,0.3936864075284229,0.2432661208444437,-0.009399902067936712,0.0013121924085683133,0.10891196991117,41,13,5,46,19,6,13,13,0.3157894736842105,0.3157894736842105
TARGET_MACRO_REMAINDER,2024+,common,31,0.20376774745142381,0.1593098906390678,0.014731059469671301,0.027786883554480557,0.8613933901888973,20,3,0,20,4,2,2,3,0.5,0.4
TARGET_MACRO_REMAINDER,flash2025+,common,19,0.16225610117412506,0.1257015419809853,0.05031655260453616,0.03219319486111999,0.6116707023612797,13,2,0,13,2,0,2,1,0.0,0.0
TARGET_MACRO_REMAINDER,big,common,23,0.6941698515597593,0.5175195875952329,-0.06217250819483917,0.06074128196998448,1.3970494853096431,15,7,1,15,8,8,0,15,1.0,0.34782608695652173
TARGET_MACRO_REMAINDER,big_ex_jan,common,19,0.7263204959432301,0.5185120919156244,-0.022132573091724003,0.0762247501896387,1.4482702536031353,13,7,1,13,6,6,0,13,1.0,0.3157894736842105
TARGET_MACRO_REMAINDER,alerts,common,22,0.44598340860315017,0.3184671394226845,-0.1173405972154476,-0.023012593968139053,-0.5062770672990592,12,9,6,17,22,8,14,0,0.36363636363636365,1.0
TARGET_MACRO_REMAINDER_HALF,all,own,90,0.41286875307096643,0.2598816230724874,-0.030021559698619336,-0.006548289739154092,-0.5893460765238683,43,11,9,48,22,7,15,16,0.3181818181818182,0.30434782608695654
TARGET_MACRO_REMAINDER_HALF,ex_jan,own,83,0.39614240118907507,0.2434077675674628,-0.0001742435626541274,0.0011705456855492218,0.09715529190058542,40,10,8,44,19,5,14,14,0.2631578947368421,0.2631578947368421
TARGET_MACRO_REMAINDER_HALF,2024+,own,31,0.2093804161946985,0.16198593347654913,0.004426531091885114,0.025110840716999292,0.778436062226978,18,3,1,19,5,2,3,3,0.4,0.4
TARGET_MACRO_REMAINDER_HALF,flash2025+,own,19,0.16594782111236203,0.13127624711163807,0.03750459171984597,0.026618489730467158,0.505751304878876,12,2,0,12,2,0,2,1,0.0,0.0
TARGET_MACRO_REMAINDER_HALF,big,own,23,0.691155197828056,0.4956676945563036,-0.04170551590634477,0.08259317500891382,1.8996430252050178,15,7,2,16,7,7,0,16,1.0,0.30434782608695654
TARGET_MACRO_REMAINDER_HALF,big_ex_jan,own,19,0.7281823965858013,0.5032349976012275,0.020033786488248762,0.0915018445040358,1.7385350455766801,14,6,2,14,5,5,0,14,1.0,0.2631578947368421
TARGET_MACRO_REMAINDER_HALF,alerts,own,22,0.3888328131571259,0.27840332834069703,-0.08863864377589065,-0.001130601067969736,-0.02487322349533419,12,9,6,17,22,7,15,0,0.3181818181818182,1.0
TARGET_MACRO_REMAINDER_HALF,all,common,90,0.41286875307096643,0.2598816230724874,-0.030021559698619336,-0.006548289739154092,-0.5893460765238683,43,11,9,48,22,7,15,16,0.3181818181818182,0.30434782608695654
TARGET_MACRO_REMAINDER_HALF,ex_jan,common,83,0.39614240118907507,0.2434077675674628,-0.0001742435626541274,0.0011705456855492218,0.09715529190058542,40,10,8,44,19,5,14,14,0.2631578947368421,0.2631578947368421
TARGET_MACRO_REMAINDER_HALF,2024+,common,31,0.2093804161946985,0.16198593347654913,0.004426531091885114,0.025110840716999292,0.778436062226978,18,3,1,19,5,2,3,3,0.4,0.4
TARGET_MACRO_REMAINDER_HALF,flash2025+,common,19,0.16594782111236203,0.13127624711163807,0.03750459171984597,0.026618489730467158,0.505751304878876,12,2,0,12,2,0,2,1,0.0,0.0
TARGET_MACRO_REMAINDER_HALF,big,common,23,0.691155197828056,0.4956676945563036,-0.04170551590634477,0.08259317500891382,1.8996430252050178,15,7,2,16,7,7,0,16,1.0,0.30434782608695654
TARGET_MACRO_REMAINDER_HALF,big_ex_jan,common,19,0.7281823965858013,0.5032349976012275,0.020033786488248762,0.0915018445040358,1.7385350455766801,14,6,2,14,5,5,0,14,1.0,0.2631578947368421
TARGET_MACRO_REMAINDER_HALF,alerts,common,22,0.3888328131571259,0.27840332834069703,-0.08863864377589065,-0.001130601067969736,-0.02487322349533419,12,9,6,17,22,7,15,0,0.3181818181818182,1.0
CONSENSUS,all,own,90,0.3815174380753199,0.25333333333333335,-0.024444444444444456,0.0,0.0,0,0,0,0,0,0,0,23,,0.0
CONSENSUS,ex_jan,own,83,0.3800760862318244,0.24457831325301202,-0.008433734939759043,0.0,0.0,0,0,0,0,0,0,0,19,,0.0
