period,as_of,model,block,prediction,weight,contribution
2019-11,2019-12-09 23:59:00,TARGET_MACRO_REMAINDER,imputed_rent,0.24588995810603828,0.10385733600000001,0.025537475998044745
2019-11,2019-12-09 23:59:00,TARGET_MACRO_REMAINDER,catering,0.3978964136495772,0.051351304,0.020432499697829187
2019-11,2019-12-09 23:59:00,TARGET_MACRO_REMAINDER,accommodation,-0.9077718590731341,0.007778524,-0.0070611251923249916
2019-11,2019-12-09 23:59:00,TARGET_MACRO_REMAINDER,package_holidays,0.7509083554121048,0.019182249,0.01440411104969549
2019-11,2019-12-09 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,-0.012408214554027075,1.0,-0.012408214554027075
2019-12,2020-01-12 23:59:00,TARGET_BASE_REMAINDER,actual_rent,0.12446162594301678,0.033660201,0.00418940334602876
2019-12,2020-01-12 23:59:00,TARGET_BASE_REMAINDER,imputed_rent,0.5895190137323756,0.10385733600000001,0.06122587428759195
2019-12,2020-01-12 23:59:00,TARGET_BASE_REMAINDER,catering,0.8922345484113903,0.051351304,0.04581740753477602
2019-12,2020-01-12 23:59:00,TARGET_BASE_REMAINDER,accommodation,0.26637986280706394,0.007778524,0.0020720421559614543
2019-12,2020-01-12 23:59:00,TARGET_BASE_REMAINDER,package_holidays,0.37551444005536916,0.019182249,0.007203211492237664
2019-12,2020-01-12 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,0.022562831562805415,1.0,0.022562831562805415
2019-12,2020-01-12 23:59:00,TARGET_MACRO_REMAINDER,actual_rent,0.12446162594301678,0.033660201,0.00418940334602876
2019-12,2020-01-12 23:59:00,TARGET_MACRO_REMAINDER,imputed_rent,0.5895190137323756,0.10385733600000001,0.06122587428759195
2019-12,2020-01-12 23:59:00,TARGET_MACRO_REMAINDER,catering,0.8922345484113903,0.051351304,0.04581740753477602
2019-12,2020-01-12 23:59:00,TARGET_MACRO_REMAINDER,accommodation,0.26637986280706394,0.007778524,0.0020720421559614543
2019-12,2020-01-12 23:59:00,TARGET_MACRO_REMAINDER,package_holidays,0.37551444005536916,0.019182249,0.007203211492237664
2019-12,2020-01-12 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.010867053200131576,1.0,0.010867053200131576
2020-01,2020-02-13 23:59:00,TARGET_BASE_REMAINDER,actual_rent,0.31550295758720803,0.033660201,0.010619892968479898
2020-01,2020-02-13 23:59:00,TARGET_BASE_REMAINDER,imputed_rent,0.30262216733513664,0.10385733600000001,0.031429532113973514
2020-01,2020-02-13 23:59:00,TARGET_BASE_REMAINDER,catering,0.3688034108897282,0.051351304,0.018938536068835343
2020-01,2020-02-13 23:59:00,TARGET_BASE_REMAINDER,accommodation,-0.30306326369332726,0.007778524,-0.0023573848701568746
2020-01,2020-02-13 23:59:00,TARGET_BASE_REMAINDER,package_holidays,8.463180039123273,0.019182249,0.16234282684229234
2020-01,2020-02-13 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,-0.0025702068130650305,1.0,-0.0025702068130650305
2020-01,2020-02-13 23:59:00,TARGET_MACRO_REMAINDER,actual_rent,0.31550295758720803,0.033660201,0.010619892968479898
2020-01,2020-02-13 23:59:00,TARGET_MACRO_REMAINDER,imputed_rent,0.30262216733513664,0.10385733600000001,0.031429532113973514
2020-01,2020-02-13 23:59:00,TARGET_MACRO_REMAINDER,catering,0.3688034108897282,0.051351304,0.018938536068835343
2020-01,2020-02-13 23:59:00,TARGET_MACRO_REMAINDER,accommodation,-0.30306326369332726,0.007778524,-0.0023573848701568746
2020-01,2020-02-13 23:59:00,TARGET_MACRO_REMAINDER,package_holidays,8.463180039123273,0.019182249,0.16234282684229234
