origin,model,as_of,block,offset_log,n,last_release,targets
2021-02,FOOD_FEEDBACK_R21,2021-03-09T23:59:00,food,0.0034297276152132875,23,2021-02-12 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01
2021-02,DUAL_FEEDBACK_R21,2021-03-09T23:59:00,core,-0.0022348885822054154,23,2021-02-12 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01
2021-02,DUAL_FEEDBACK_R21,2021-03-09T23:59:00,food,0.0034297276152132875,23,2021-02-12 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01
2021-03,CORE_FEEDBACK_R21,2021-04-12T23:59:00,core,-0.002163636335176915,24,2021-03-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02
2021-03,FOOD_FEEDBACK_R21,2021-04-12T23:59:00,food,-0.007995175480167453,24,2021-03-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02
2021-03,DUAL_FEEDBACK_R21,2021-04-12T23:59:00,core,-0.002163636335176915,24,2021-03-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02
2021-03,DUAL_FEEDBACK_R21,2021-04-12T23:59:00,food,-0.007995175480167453,24,2021-03-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02
2021-04,CORE_FEEDBACK_R21,2021-05-10T23:59:00,core,-0.009435891992852493,24,2021-04-13 09:00:00,2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03
2021-04,FOOD_FEEDBACK_R21,2021-05-10T23:59:00,food,-0.0076710290701019436,24,2021-04-13 09:00:00,2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03
2021-04,DUAL_FEEDBACK_R21,2021-05-10T23:59:00,core,-0.009435891992852493,24,2021-04-13 09:00:00,2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03
2021-04,DUAL_FEEDBACK_R21,2021-05-10T23:59:00,food,-0.0076710290701019436,24,2021-04-13 09:00:00,2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03
2021-05,CORE_FEEDBACK_R21,2021-06-09T23:59:00,core,-0.013214248825456581,24,2021-05-11 09:00:00,2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04
2021-05,FOOD_FEEDBACK_R21,2021-06-09T23:59:00,food,0.0308083982981186,24,2021-05-11 09:00:00,2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04
2021-05,DUAL_FEEDBACK_R21,2021-06-09T23:59:00,core,-0.013214248825456581,24,2021-05-11 09:00:00,2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04
