origin,model,as_of,fast,current,gentle,n_labels,n_origins
2024-12,POOL_PARTIAL_R21,2025-01-12T23:59:00,0.513476291784554,0.0,0.48652370821544605,432,47
2025-01,POOL_PRIOR_R21,2025-02-05T23:59:00,0.5,0.25,0.25,0,0
2025-01,POOL_COMPLETE_R21,2025-02-05T23:59:00,0.5012115602804462,1.7377798580901046e-16,0.49878843971955367,366,36
2025-01,POOL_PARTIAL_R21,2025-02-05T23:59:00,0.5080286544250108,0.0,0.4919713455749892,432,47
2025-02,POOL_PRIOR_R21,2025-03-04T23:59:00,0.5,0.25,0.25,0,0
2025-02,POOL_COMPLETE_R21,2025-03-04T23:59:00,0.49859858716530236,0.0,0.5014014128346977,366,36
2025-02,POOL_PARTIAL_R21,2025-03-04T23:59:00,0.5062180734607492,0.0,0.49378192653925085,432,47
2025-03,POOL_PRIOR_R21,2025-04-03T23:59:00,0.5,0.25,0.25,0,0
2025-03,POOL_COMPLETE_R21,2025-04-03T23:59:00,0.5047959636716237,0.0,0.4952040363283764,366,36
2025-03,POOL_PARTIAL_R21,2025-04-03T23:59:00,0.5028473466758256,0.0,0.4971526533241744,432,47
2025-04,POOL_PRIOR_R21,2025-05-05T23:59:00,0.5,0.25,0.25,0,0
2025-04,POOL_COMPLETE_R21,2025-05-05T23:59:00,0.4989633422681377,4.2256195316704705e-17,0.5010366577318622,366,36
2025-04,POOL_PARTIAL_R21,2025-05-05T23:59:00,0.5002510300155131,5.2456300990046364e-17,0.4997489699844869,432,47
2025-05,POOL_PRIOR_R21,2025-06-03T23:59:00,0.5,0.25,0.25,0,0
2025-05,POOL_COMPLETE_R21,2025-06-03T23:59:00,0.469007844684518,3.370927826315685e-18,0.530992155315482,366,36
2025-05,POOL_PARTIAL_R21,2025-06-03T23:59:00,0.48666594561398707,2.83798420667294e-19,0.513334054386013,432,47
2025-06,POOL_PRIOR_R21,2025-07-03T23:59:00,0.5,0.25,0.25,0,0
2025-06,POOL_COMPLETE_R21,2025-07-03T23:59:00,0.4690889953520105,0.0,0.5309110046479896,366,36
2025-06,POOL_PARTIAL_R21,2025-07-03T23:59:00,0.48454478446652904,1.9644636110935212e-17,0.515455215533471,432,47
2025-07,POOL_PRIOR_R21,2025-08-04T23:59:00,0.5,0.25,0.25,0,0
2025-07,POOL_COMPLETE_R21,2025-08-04T23:59:00,0.4939252672548333,0.0,0.5060747327451667,366,36
2025-07,POOL_PARTIAL_R21,2025-08-04T23:59:00,0.48884162052440405,0.0,0.5111583794755961,432,47
2025-08,POOL_PRIOR_R21,2025-09-03T23:59:00,0.5,0.25,0.25,0,0
2025-08,POOL_COMPLETE_R21,2025-09-03T23:59:00,0.5319434015903994,1.5398476619297383e-16,0.46805659840960046,366,36
2025-08,POOL_PARTIAL_R21,2025-09-03T23:59:00,0.5025336045274145,0.0,0.49746639547258553,432,47
2025-09,POOL_PRIOR_R21,2025-10-05T23:59:00,0.5,0.25,0.25,0,0
2025-09,POOL_COMPLETE_R21,2025-10-05T23:59:00,0.5413896940699527,0.0,0.45861030593004737,366,36
2025-09,POOL_PARTIAL_R21,2025-10-05T23:59:00,0.5220392819833262,2.266247908152299e-16,0.4779607180166737,432,47
2025-10,POOL_PRIOR_R21,2025-11-04T23:59:00,0.5,0.25,0.25,0,0
2025-10,POOL_COMPLETE_R21,2025-11-04T23:59:00,0.5563466699056386,0.0,0.44365333009436136,366,36
2025-10,POOL_PARTIAL_R21,2025-11-04T23:59:00,0.5410007557667648,0.0,0.4589992442332352,432,47
2025-11,POOL_PRIOR_R21,2025-12-03T23:59:00,0.5,0.25,0.25,0,0
2025-11,POOL_COMPLETE_R21,2025-12-03T23:59:00,0.5602713843588454,0.0,0.4397286156411547,366,36
2025-11,POOL_PARTIAL_R21,2025-12-03T23:59:00,0.5477661833546694,0.0,0.4522338166453305,432,47
2025-12,POOL_PRIOR_R21,2026-01-06T23:59:00,0.5,0.25,0.25,0,0
2025-12,POOL_COMPLETE_R21,2026-01-06T23:59:00,0.5665864688621928,0.0,0.43341353113780723,366,36
2025-12,POOL_PARTIAL_R21,2026-01-06T23:59:00,0.5363128539355649,1.788309728784154e-16,0.4636871460644349,432,47
2026-01,POOL_PRIOR_R21,2026-02-04T23:59:00,0.5,0.25,0.25,0,0
2026-01,POOL_COMPLETE_R21,2026-02-04T23:59:00,0.5681703421305474,1.4324566402359706e-16,0.43182965786945243,366,36
2026-01,POOL_PARTIAL_R21,2026-02-04T23:59:00,0.498159134447236,1.9214008529573375e-17,0.5018408655527641,432,47
2026-02,POOL_PRIOR_R21,2026-03-03T23:59:00,0.5,0.25,0.25,0,0
2026-02,POOL_COMPLETE_R21,2026-03-03T23:59:00,0.6283157685044045,1.0057571156155648e-16,0.37168423149559543,366,36
2026-02,POOL_PARTIAL_R21,2026-03-03T23:59:00,0.5202391048607525,0.0,0.4797608951392474,432,47
2026-03,POOL_PRIOR_R21,2026-04-06T23:59:00,0.5,0.25,0.25,0,0
2026-03,POOL_COMPLETE_R21,2026-04-06T23:59:00,0.672848449569868,0.0,0.32715155043013205,366,36
2026-03,POOL_PARTIAL_R21,2026-04-06T23:59:00,0.5275496379694712,2.808672131122832e-17,0.4724503620305288,432,47
