origin,model,h,log_rate
2019-06,FOOD_ROBUST_WINDOW_R24,6,0.4172317905864295
2019-06,FOOD_ROBUST_WINDOW_R24,7,1.1178887970968705
2019-06,FOOD_ROBUST_WINDOW_R24,8,0.42681748613657716
2019-06,FOOD_ROBUST_WINDOW_R24,9,-0.17954966099260053
2019-06,FOOD_ROBUST_WINDOW_R24,10,-0.34248043102741876
2019-06,FOOD_ROBUST_WINDOW_R24,11,0.7020407391453549
2019-06,FOOD_ROBUST_WINDOW_R24,12,0.02567595041813389
2019-06,FOOD_NORM_SHIFT_R24,1,-0.0807780625915677
2019-06,FOOD_NORM_SHIFT_R24,2,-0.4558988612359288
2019-06,FOOD_NORM_SHIFT_R24,3,0.5070101296894132
2019-06,FOOD_NORM_SHIFT_R24,4,0.4478415722720123
2019-06,FOOD_NORM_SHIFT_R24,5,0.13296725945066212
2019-06,FOOD_NORM_SHIFT_R24,6,0.4366790324935121
2019-06,FOOD_NORM_SHIFT_R24,7,1.137336039003953
2019-06,FOOD_NORM_SHIFT_R24,8,0.44626472804365974
2019-06,FOOD_NORM_SHIFT_R24,9,-0.16010241908551795
2019-06,FOOD_NORM_SHIFT_R24,10,-0.3230331891203362
2019-06,FOOD_NORM_SHIFT_R24,11,0.7214879810524375
2019-06,FOOD_NORM_SHIFT_R24,12,0.04512319232521647
2019-06,FOOD_NORM_REFIT_R24,1,-0.07806158118669838
2019-06,FOOD_NORM_REFIT_R24,2,-0.45491191203157866
2019-06,FOOD_NORM_REFIT_R24,3,0.5080713324809207
2019-06,FOOD_NORM_REFIT_R24,4,0.44886029414665657
2019-06,FOOD_NORM_REFIT_R24,5,0.13410208604701632
2019-06,FOOD_NORM_REFIT_R24,6,0.4370029273289429
2019-06,FOOD_NORM_REFIT_R24,7,1.1375820714075229
2019-06,FOOD_NORM_REFIT_R24,8,0.44646977589521364
2019-06,FOOD_NORM_REFIT_R24,9,-0.15997101026520516
2019-06,FOOD_NORM_REFIT_R24,10,-0.3229515116452553
2019-06,FOOD_NORM_REFIT_R24,11,0.721532393559108
2019-06,FOOD_NORM_REFIT_R24,12,0.04515787552242927
2019-07,FOOD_STABLE_PIPELINE_R14B,1,-0.49307214291861334
2019-07,FOOD_STABLE_PIPELINE_R14B,2,0.4828463615271846
2019-07,FOOD_STABLE_PIPELINE_R14B,3,0.4224572051969011
2019-07,FOOD_STABLE_PIPELINE_R14B,4,0.11138298436938784
2019-07,FOOD_STABLE_PIPELINE_R14B,5,0.4093905974390159
2019-07,FOOD_STABLE_PIPELINE_R14B,6,1.112548742658163
2019-07,FOOD_STABLE_PIPELINE_R14B,7,0.421128389559123
2019-07,FOOD_STABLE_PIPELINE_R14B,8,-0.18513391327333906
2019-07,FOOD_STABLE_PIPELINE_R14B,9,-0.3483167233882351
2019-07,FOOD_STABLE_PIPELINE_R14B,10,0.6962766287600137
2019-07,FOOD_STABLE_PIPELINE_R14B,11,0.10679326991156154
2019-07,FOOD_STABLE_PIPELINE_R14B,12,-0.1740765862006099
2019-07,FOOD_ZERO_DRIFT_R24,1,-0.6849458466777595
2019-07,FOOD_ZERO_DRIFT_R24,2,0.2909726577680384
2019-07,FOOD_ZERO_DRIFT_R24,3,0.23058350143775494
2019-07,FOOD_ZERO_DRIFT_R24,4,-0.08049071938975833
2019-07,FOOD_ZERO_DRIFT_R24,5,0.21751689367986973
2019-07,FOOD_ZERO_DRIFT_R24,6,0.9206750388990169
2019-07,FOOD_ZERO_DRIFT_R24,7,0.22925468579997685
2019-07,FOOD_ZERO_DRIFT_R24,8,-0.3770076170324852
2019-07,FOOD_ZERO_DRIFT_R24,9,-0.5401904271473813
2019-07,FOOD_ZERO_DRIFT_R24,10,0.5044029250008676
2019-07,FOOD_ZERO_DRIFT_R24,11,-0.08508043384758462
2019-07,FOOD_ZERO_DRIFT_R24,12,-0.3659502899597561
2019-07,FOOD_ROBUST_WINDOW_R24,1,-0.49025576549987093
2019-07,FOOD_ROBUST_WINDOW_R24,2,0.48566273894592693
2019-07,FOOD_ROBUST_WINDOW_R24,3,0.4252735826156435
2019-07,FOOD_ROBUST_WINDOW_R24,4,0.11419936178813025
2019-07,FOOD_ROBUST_WINDOW_R24,5,0.4122069748577583
2019-07,FOOD_ROBUST_WINDOW_R24,6,1.1153651200769055
2019-07,FOOD_ROBUST_WINDOW_R24,7,0.42394476697786543
2019-07,FOOD_ROBUST_WINDOW_R24,8,-0.18231753585459662
2019-07,FOOD_ROBUST_WINDOW_R24,9,-0.34550034596949275
2019-07,FOOD_ROBUST_WINDOW_R24,10,0.6990930061787561
2019-07,FOOD_ROBUST_WINDOW_R24,11,0.10960964733030396
2019-07,FOOD_ROBUST_WINDOW_R24,12,-0.1712602087818675
2019-07,FOOD_NORM_SHIFT_R24,1,-0.47439059999420474
2019-07,FOOD_NORM_SHIFT_R24,2,0.5015279044515931
2019-07,FOOD_NORM_SHIFT_R24,3,0.4411387481213097
2019-07,FOOD_NORM_SHIFT_R24,4,0.13006452729379642
2019-07,FOOD_NORM_SHIFT_R24,5,0.42807214036342445
2019-07,FOOD_NORM_SHIFT_R24,6,1.1312302855825718
2019-07,FOOD_NORM_SHIFT_R24,7,0.4398099324835316
2019-07,FOOD_NORM_SHIFT_R24,8,-0.16645237034893046
2019-07,FOOD_NORM_SHIFT_R24,9,-0.32963518046382656
2019-07,FOOD_NORM_SHIFT_R24,10,0.7149581716844223
2019-07,FOOD_NORM_SHIFT_R24,11,0.12547481283597012
2019-07,FOOD_NORM_SHIFT_R24,12,-0.15539504327620135
2019-07,FOOD_NORM_REFIT_R24,1,-0.47253469819840344
2019-07,FOOD_NORM_REFIT_R24,2,0.5019189818063744
2019-07,FOOD_NORM_REFIT_R24,3,0.44168353350153117
2019-07,FOOD_NORM_REFIT_R24,4,0.13071661137549428
2019-07,FOOD_NORM_REFIT_R24,5,0.42852897429430264
2019-07,FOOD_NORM_REFIT_R24,6,1.1313835207566387
2019-07,FOOD_NORM_REFIT_R24,7,0.43992695602468557
2019-07,FOOD_NORM_REFIT_R24,8,-0.16635632649538645
2019-07,FOOD_NORM_REFIT_R24,9,-0.32957443653756313
2019-07,FOOD_NORM_REFIT_R24,10,0.7149923948254568
2019-07,FOOD_NORM_REFIT_R24,11,0.12549717549754327
2019-07,FOOD_NORM_REFIT_R24,12,-0.15537863515212655
2019-08,FOOD_STABLE_PIPELINE_R14B,1,0.44948639644264005
2019-08,FOOD_STABLE_PIPELINE_R14B,2,0.3722579634985517
2019-08,FOOD_STABLE_PIPELINE_R14B,3,0.07812023128690691
2019-08,FOOD_STABLE_PIPELINE_R14B,4,0.3774495856361113
2019-08,FOOD_STABLE_PIPELINE_R14B,5,1.0999411003649366
2019-08,FOOD_STABLE_PIPELINE_R14B,6,0.41022613954745646
2019-08,FOOD_STABLE_PIPELINE_R14B,7,-0.19164280265037223
2019-08,FOOD_STABLE_PIPELINE_R14B,8,-0.3530762826470694
2019-08,FOOD_STABLE_PIPELINE_R14B,9,0.6937186766699539
2019-08,FOOD_STABLE_PIPELINE_R14B,10,0.10489080658467687
2019-08,FOOD_STABLE_PIPELINE_R14B,11,-0.26893292358657994
2019-08,FOOD_STABLE_PIPELINE_R14B,12,-0.5698979718697009
2019-08,FOOD_ZERO_DRIFT_R24,1,0.2654256259607865
2019-08,FOOD_ZERO_DRIFT_R24,2,0.18819719301669818
2019-08,FOOD_ZERO_DRIFT_R24,3,-0.10594053919494663
2019-08,FOOD_ZERO_DRIFT_R24,4,0.19338881515425776
2019-08,FOOD_ZERO_DRIFT_R24,5,0.9158803298830831
2019-08,FOOD_ZERO_DRIFT_R24,6,0.22616536906560292
2019-08,FOOD_ZERO_DRIFT_R24,7,-0.3757035731322258
2019-08,FOOD_ZERO_DRIFT_R24,8,-0.537137053128923
2019-08,FOOD_ZERO_DRIFT_R24,9,0.5096579061881004
2019-08,FOOD_ZERO_DRIFT_R24,10,-0.07916996389717668
2019-08,FOOD_ZERO_DRIFT_R24,11,-0.4529936940684335
2019-08,FOOD_ZERO_DRIFT_R24,12,-0.7539587423515545
2019-08,FOOD_ROBUST_WINDOW_R24,1,0.4643213043494804
2019-08,FOOD_ROBUST_WINDOW_R24,2,0.38709287140539206
2019-08,FOOD_ROBUST_WINDOW_R24,3,0.09295513919374722
2019-08,FOOD_ROBUST_WINDOW_R24,4,0.3922844935429516
2019-08,FOOD_ROBUST_WINDOW_R24,5,1.114776008271777
2019-08,FOOD_ROBUST_WINDOW_R24,6,0.42506104745429674
2019-08,FOOD_ROBUST_WINDOW_R24,7,-0.17680789474353195
2019-08,FOOD_ROBUST_WINDOW_R24,8,-0.3382413747402292
2019-08,FOOD_ROBUST_WINDOW_R24,9,0.7085535845767942
