"Ukazatel","IndicatorType","Typ indexu","TYPUDAJE5B","Klasifikace SITC","SITCVAD","Území","Uz0","Měsíce, měsíční kumulace, měsíce klouzavých průměrů, čtvrtletí, roky","CASMKMQRM12","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","2. čtvrtletí 2025","2025-Q2","100.9","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","3. čtvrtletí 2025","2025-Q3","98.2","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","4. čtvrtletí 2025","2025-Q4","99.6","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","leden - březen 2026","2026-03K","100.0","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","1. čtvrtletí 2026","2026-Q1","100.0","procento","%"
"Směnné relace (%)","733001","Mezičtvrtletní index","IQ","0 Potraviny a živá zvířata","0","Česko","CZ","2. čtvrtletí 2026","2026-Q2","101.9","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","3. čtvrtletí 2023","2023-Q3","100.4","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","4. čtvrtletí 2023","2023-Q4","101.0","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","leden - březen 2024","2024-03K","100.5","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","1. čtvrtletí 2024","2024-Q1","100.5","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","2. čtvrtletí 2024","2024-Q2","99.6","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","3. čtvrtletí 2024","2024-Q3","100.4","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","4. čtvrtletí 2024","2024-Q4","99.7","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","leden - březen 2025","2025-03K","100.6","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","1. čtvrtletí 2025","2025-Q1","100.6","procento","%"
"Index vývozních cen (%)","614603","Mezičtvrtletní index","IQ","1 Nápoje a tabák","1","Česko","CZ","2. čtvrtletí 2025","2025-Q2","98.9","procento","%"
