"Ukazatel","IndicatorType","Klasifikace CZ-CPA-Úhrn a sekce","CZCPAVAD.CZCPA1","Klasifikace CZ-CPA-Oddíl","CZCPAVAD.CZCPA2","Typ indexu","TYPUDAJE5B","Území","Uz0","Měsíce, měsíční kumulace, měsíce klouzavých průměrů, čtvrtletí, roky","CASMKMQRM12","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","3. čtvrtletí 2025","2025-Q3","98.2","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","4. čtvrtletí 2025","2025-Q4","98.9","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","leden - březen 2026","2026-03K","101.0","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","1. čtvrtletí 2026","2026-Q1","101.0","procento","%"
"Index dovozních cen (%)","614703","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","2. čtvrtletí 2026","2026-Q2","104.7","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","leden - březen 2021","2021-03K","100.0","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","1. čtvrtletí 2021","2021-Q1","100.0","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","2. čtvrtletí 2021","2021-Q2","99.7","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","3. čtvrtletí 2021","2021-Q3","99.6","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","4. čtvrtletí 2021","2021-Q4","98.5","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","leden - březen 2022","2022-03K","98.6","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","1. čtvrtletí 2022","2022-Q1","98.6","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","2. čtvrtletí 2022","2022-Q2","99.2","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","3. čtvrtletí 2022","2022-Q3","98.0","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","4. čtvrtletí 2022","2022-Q4","102.6","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","leden - březen 2023","2023-03K","103.1","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","1. čtvrtletí 2023","2023-Q1","103.1","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","2. čtvrtletí 2023","2023-Q2","102.4","procento","%"
"Směnné relace (%)","733001","Úhrn celkem","ABCDEJ","","","Mezičtvrtletní index","IQ","Česko","CZ","3. čtvrtletí 2023","2023-Q3","99.4","procento","%"
