model,clock,threshold,forecast_available,next_report_available,next_forecast_available,target_still_future,revision_eligible,rows,calls
STATE_FAST_R15,cutoff,0.5,True,False,False,False,False,4,0
STATE_FAST_R15,cutoff,0.5,True,True,False,False,False,18,8
STATE_FAST_R15,cutoff,0.5,True,True,True,False,False,18,7
STATE_FAST_R15,cutoff,0.5,True,True,True,True,True,36,19
STATE_FAST_R15,report,0.3,False,False,False,False,False,6,0
STATE_FAST_R15,report,0.3,False,True,True,True,False,79,0
STATE_FAST_R15,report,0.3,True,False,False,False,False,4,2
STATE_FAST_R15,report,0.3,True,True,False,False,False,18,7
STATE_FAST_R15,report,0.3,True,True,True,False,False,18,10
STATE_FAST_R15,report,0.3,True,True,True,True,True,36,25
STATE_FAST_R15,report,0.5,False,False,False,False,False,6,0
STATE_FAST_R15,report,0.5,False,True,True,True,False,79,0
STATE_FAST_R15,report,0.5,True,False,False,False,False,4,0
STATE_FAST_R15,report,0.5,True,True,False,False,False,18,7
STATE_FAST_R15,report,0.5,True,True,True,False,False,18,7
STATE_FAST_R15,report,0.5,True,True,True,True,True,36,20
