metric,h,sample,model,n,rmse,mae,bias
core_cumulative_log,4,origins_2019_2021,DAMPED_P95_Q001_R16,32,1.3130248830538287,0.9436778132294497,-0.5548637389493452
core_cumulative_log,4,origins_2019_2021,FOOD_ZERO_DRIFT_R24,32,1.3164640040189486,0.9622613645915064,-0.5773408325406806
core_cumulative_log,4,origins_2019_2021,FOOD_ROBUST_WINDOW_R24,32,1.3164640040189486,0.9622613645915064,-0.5773408325406806
core_cumulative_log,4,origins_2019_2021,FOOD_NORM_SHIFT_R24,32,1.3164640040189486,0.9622613645915064,-0.5773408325406806
core_cumulative_log,4,origins_2019_2021,FOOD_NORM_REFIT_R24,32,1.3164640040189486,0.9622613645915064,-0.5773408325406806
core_cumulative_log,4,origins_2022_2023,STATE_FAST_R15,24,1.3087334610216501,1.168588155710103,0.7736656837534316
core_cumulative_log,4,origins_2022_2023,STABLE_LOCAL_CORE_R14B,24,1.9127708037292928,1.7569305860927695,1.1044176944345871
core_cumulative_log,4,origins_2022_2023,DAMPED_P95_Q001_R16,24,1.4583628817164798,1.2427274445815175,0.957325457046824
core_cumulative_log,4,origins_2022_2023,FOOD_ZERO_DRIFT_R24,24,1.3087334610216501,1.168588155710103,0.7736656837534316
core_cumulative_log,4,origins_2022_2023,FOOD_ROBUST_WINDOW_R24,24,1.3087334610216501,1.168588155710103,0.7736656837534316
core_cumulative_log,4,origins_2022_2023,FOOD_NORM_SHIFT_R24,24,1.3087334610216501,1.168588155710103,0.7736656837534316
core_cumulative_log,4,origins_2022_2023,FOOD_NORM_REFIT_R24,24,1.3087334610216501,1.168588155710103,0.7736656837534316
core_cumulative_log,4,origins_2024plus,STATE_FAST_R15,27,0.31181561515298145,0.2491295872181119,-0.036252237797335364
core_cumulative_log,4,origins_2024plus,STABLE_LOCAL_CORE_R14B,27,0.2518885078513612,0.20697042225224754,-0.05315133881322252
core_cumulative_log,4,origins_2024plus,DAMPED_P95_Q001_R16,27,0.34899032105548466,0.28979986783466716,-0.20540260758335427
