period,cpi_mm,agri_ppi_yoy,ppi_c_yoy,ppi_constr_yoy,ppi_d_yoy,ppi_e_yoy,ppi_yoy,ppi_services_yoy,esi,price_expect_survey,price_expect_survey_36m,eurczk_mm,usdczk_mm,ip_yoy,retail_yoy,constr_yoy,unemployment_rate,conf_business,conf_consumer,conf_economic_sentiment,pribor_3m,czgb_10y,reer_ppi_mm,reer_cpi_mm,hh_loans_mm,nfc_loans_mm,trade_balance,cpi_breadth,median_cpi_mm,services_cpi_mm,agri_price_mm,hpi_yoy,constr_ppi_yoy,m3_yoy,wage_lci_yoy,import_prices_mm,de_food_processed_mm,de_food_unprocessed_mm,de_energy_mm,de_services_mm,de_industrial_goods_ex_energy_mm,de_food_hicp_mm_proxy
2017-08,-0.0967117988395,,,,,,,,106.9,2.13333333333,1.96666666667,0.103551430544,-2.27212448059,3.04427748642,,,2.94151117429,103.345153001,111.542642833,104.71560213,0.434782608696,0.834371951851,0.230092036815,0.103273778788,0.615377337679,0.993383785712,-1944.036355,0.538461538462,0.195886385896,0.129449838188,5.42453035412,17.2,1.4880952381,12.3804066014,3.12965722802,-1.1,0.288461538462,0.1,-0.208116545265,1.64251207729,-0.686274509804,0.194230769231
2017-09,-0.0968054211036,12.5,2,1.7,-1.3,1,1.4,1.8,108.1,2.13704767827,1.95975057312,-0.0996130416459,-1.07201013208,3.31442087182,,,2.83438607834,104.117638708,112.100356047,105.45218236,0.461,0.971090094917,-0.0399241441262,0.0412668936346,0.760691750535,0.697692584544,4915.625696,0.307692307692,0,-0.0969618616677,-2.94465751448,18.7,1.4880952381,12.629608922,12.8398791541,-0.4,0,-0.3996003996,0.417101147028,0,0.394866732478,-0.1998001998
2017-10,0.484496124031,10.8,2.1,1.8,-1.1,1,1.7,1.7,109,2.1735228481,1.97947887677,-1.18887823586,0.219468702849,5.76910121582,,,2.75268799862,104.380731666,114.331208904,106.044243685,0.513181818182,1.44548283719,0.858711932102,1.38187068165,0.44257172356,0.328950022641,18708.770061,0.692307692308,0.19512195122,0.323519896474,3.15500458639,18.7,1.4880952381,12.2475628398,12.8398791541,0.3,0.191754554171,1.10330992979,1.246105919,-1.14068441065,1.08161258604,0.64753224198
2017-11,0.0964320154291,8.3,1.4,1.8,-1.1,1,1.1,1.6,110.7,2.15443338734,2.04568149906,-0.888802639239,-0.711711300698,4.94734251459,,,2.685182007,104.733388184,116.004348547,106.617657409,0.711428571429,1.68128343252,0.3663003663,0.874783847015,0.682477993537,-1.32726060916,9094.342948,0.692307692308,0.194741966894,0.128990648178,0.875600085527,18.7,1.48514851485,10.9430576889,12.8398791541,-0.5,0.191387559809,2.57936507937,-0.102564102564,-0.865384615385,0.291828793774,1.38537631959
2017-12,0.0963391136802,10.7,1.1,2,-1.1,1,0.9,1.6,110.2,2.12141445216,1.91913312571,0.434680451128,-0.436520700271,10.4595283516,,,2.61696223477,104.03367287,117.119774975,106.221395892,0.752631578947,1.50349062177,-0.147958177155,-0.433598870626,0.70457970588,-0.34392080157,11264.324322,0.384615384615,0.0971817298348,-0.0644122383253,5.04922085631,15.8,1.48514851485,9.67511099491,9.10273081925,-0.3,0.286532951289,-0.773694390716,1.33470225873,-1.74587778855,0,-0.243580719713
2018-01,0.577478344562,8.1,0.9,2.1,-1.1,1,0.7,1.9,109.3,2.07517633945,1.97472102079,-0.760322844777,-3.69208048735,8.48377434952,,,2.54505149934,104.839744912,116.004348547,106.706233512,0.770454545455,1.76592138709,0.464289242319,0.810208628722,0.538596197014,-0.377169786994,-3658.790989,0.307692307692,0.0970873786408,-0.0966806316468,-1.24950782836,15.8,1.48514851485,10.3569540745,9.10273081925,0.4,0.190476190476,2.63157894737,-0.202634245187,1.48075024679,-0.387972841901,1.41102756892
2018-02,0,7.2,0.2,2.2,1.5,1.9,0.5,1.1,108.4,2.10692549578,1.91456538819,-0.522552255226,-1.73471343684,3.25698507581,,,2.47965626427,104.25758177,116.840918368,106.361252898,0.902631578947,1.81810334122,0.127826941986,0.381756077959,0.383807297193,-0.297482236208,20145.584363,0.769230769231,0.581959262852,0.338709677419,-1.87133052153,15.8,1.68150346192,8.80327904852,9.10273081925,-0.6,0.190114068441,2.65906932574,0.406091370558,-1.94552529183,-0.973709834469,1.42459169709
2018-03,-0.0956937799043,3.2,-0.9,2.4,1.6,1.9,-0.3,2.2,108.5,2.1125,2.0375,0.434456337138,0.531551740954,5.57331550381,,,2.42464754757,104.884526692,115.725491939,106.696909712,0.903,1.81432923286,-0.147304330747,-0.290232185749,0.387375802759,1.07582631836,18319.648512,0.615384615385,0,0.27326796335,-7.18003696928,12,1.68150346192,8.63128033211,7.38341968912,-0.3,0.0948766603416,-0.555041628122,-0.404448938322,1.09126984127,0.39331366765,-0.23008248389
2018-04,0.287356321839,1.6,-0.5,2.4,1.6,1.9,0.1,1.8,109.5,2.11286719499,2.01976608974,-0.255613669433,0.237691001698,2.65893607375,,,2.35848882748,104.375133943,119.350627832,106.878723819,0.9,1.73705955374,0.177025963808,0.281039847436,0.601106868704,-0.00598898731264,16972.800467,0.615384615385,0.0964320154291,0.288554023726,0.84632514199,12,1.68150346192,6.47066074134,7.38341968912,0.4,0.379146919431,-0.279069767442,-0.609137055838,0.981354268891,0.979431929481,0.0500385759947
2018-05,0.477554918816,-1.9,-0.5,2.4,1.7,1.9,0,1.7,109.5,2.12318681922,1.99619752193,1.10392682542,5.10065814944,-1.48357248296,,,2.29123297825,104.979687974,117.119774975,107.009257025,0.901,1.88598299686,-0.80502650697,-1.22109898909,0.60198203684,0.908715753999,15485.764058,0.692307692308,0.28901734104,0.287723785166,-1.74307535173,12,2.35063663075,5.29103297877,7.38341968912,0,0.56657223796,-0.559701492537,1.63432073544,-0.0971817298348,0.193986420951,0.0034353727115
