year,month,indic_code,indic_label,value
2001,9,BS-CSMCI-BAL,Consumer confidence indicator,-9.9
2001,9,BS-ESI-I,Economic sentiment indicator,102.5
2001,9,BS-ICI-BAL,Industrial confidence indicator,5.1
2001,9,BS-RCI-BAL,Retail confidence indicator,15.1
2001,10,BS-CCI-BAL,Construction confidence indicator,-8.5
2001,10,BS-CSMCI-BAL,Consumer confidence indicator,-8.0
2001,10,BS-ESI-I,Economic sentiment indicator,92.9
2001,10,BS-ICI-BAL,Industrial confidence indicator,-5.8
2001,10,BS-RCI-BAL,Retail confidence indicator,20.0
2001,11,BS-CCI-BAL,Construction confidence indicator,-8.9
2001,11,BS-CSMCI-BAL,Consumer confidence indicator,-6.6
2001,11,BS-ESI-I,Economic sentiment indicator,92.5
2001,11,BS-ICI-BAL,Industrial confidence indicator,-8.5
2001,11,BS-RCI-BAL,Retail confidence indicator,17.1
2001,12,BS-CCI-BAL,Construction confidence indicator,-14.6
2001,12,BS-CSMCI-BAL,Consumer confidence indicator,-6.3
2001,12,BS-ESI-I,Economic sentiment indicator,99.4
2001,12,BS-ICI-BAL,Industrial confidence indicator,-2.3
2001,12,BS-RCI-BAL,Retail confidence indicator,26.1
2002,1,BS-CCI-BAL,Construction confidence indicator,-12.3
2002,1,BS-CSMCI-BAL,Consumer confidence indicator,-6.0
2002,1,BS-ESI-I,Economic sentiment indicator,105.3
2002,1,BS-ICI-BAL,Industrial confidence indicator,3.5
2002,1,BS-RCI-BAL,Retail confidence indicator,23.9
2002,2,BS-CCI-BAL,Construction confidence indicator,-10.3
2002,2,BS-CSMCI-BAL,Consumer confidence indicator,-4.7
2002,2,BS-ESI-I,Economic sentiment indicator,99.1
2002,2,BS-ICI-BAL,Industrial confidence indicator,-3.4
2002,2,BS-RCI-BAL,Retail confidence indicator,22.5
2002,3,BS-CCI-BAL,Construction confidence indicator,-12.1
2002,3,BS-CSMCI-BAL,Consumer confidence indicator,-6.5
2002,3,BS-ESI-I,Economic sentiment indicator,107.1
2002,3,BS-ICI-BAL,Industrial confidence indicator,5.3
2002,3,BS-RCI-BAL,Retail confidence indicator,20.4
2002,4,BS-CCI-BAL,Construction confidence indicator,-4.5
2002,4,BS-CSMCI-BAL,Consumer confidence indicator,-1.0
2002,4,BS-ESI-I,Economic sentiment indicator,102.6
2002,4,BS-ICI-BAL,Industrial confidence indicator,0.0
2002,4,BS-RCI-BAL,Retail confidence indicator,22.2
2002,5,BS-CCI-BAL,Construction confidence indicator,-6.3
2002,5,BS-CSMCI-BAL,Consumer confidence indicator,-2.4
2002,5,BS-ESI-I,Economic sentiment indicator,109.0
2002,5,BS-ICI-BAL,Industrial confidence indicator,0.8
2002,5,BS-RCI-BAL,Retail confidence indicator,26.5
2002,5,BS-SCI-BAL,Services confidence indicator,46.8
2002,6,BS-CCI-BAL,Construction confidence indicator,-3.5
2002,6,BS-CSMCI-BAL,Consumer confidence indicator,-3.0
