"Indicator","Territory","Weeks","Fuel type","Hodnota"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 13, 2024","LPG","17.31"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 12, 2024","Petrol 95 O Natural","38.42"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 12, 2024","Diesel","38.45"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 12, 2024","LPG","17.28"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 11, 2024","Petrol 95 O Natural","38.5"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 11, 2024","Diesel","38.53"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 11, 2024","LPG","17.07"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 10, 2024","Petrol 95 O Natural","38.4"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 10, 2024","Diesel","38.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 10, 2024","LPG","16.89"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 09, 2024","Petrol 95 O Natural","38.37"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 09, 2024","Diesel","38.76"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 09, 2024","LPG","16.89"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 08, 2024","Petrol 95 O Natural","38.21"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 08, 2024","Diesel","38.56"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 08, 2024","LPG","16.88"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 07, 2024","Petrol 95 O Natural","37.44"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 07, 2024","Diesel","37.67"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 07, 2024","LPG","16.78"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 06, 2024","Petrol 95 O Natural","37.1"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 06, 2024","Diesel","37.3"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 06, 2024","LPG","16.77"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 05, 2024","Petrol 95 O Natural","36.66"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 05, 2024","Diesel","36.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 05, 2024","LPG","16.76"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 04, 2024","Petrol 95 O Natural","36.36"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 04, 2024","Diesel","36.53"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 04, 2024","LPG","16.67"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 03, 2024","Petrol 95 O Natural","36.07"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 03, 2024","Diesel","36.19"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 03, 2024","LPG","16.26"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 02, 2024","Petrol 95 O Natural","36.02"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 02, 2024","Diesel","36.21"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 02, 2024","LPG","16.1"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 01, 2024","Petrol 95 O Natural","35.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 01, 2024","Diesel","36.43"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 01, 2024","LPG","15.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 51, 2023","Petrol 95 O Natural","35.97"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 51, 2023","Diesel","36.52"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 51, 2023","LPG","15.87"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 50, 2023","Petrol 95 O Natural","36.58"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 50, 2023","Diesel","36.93"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 50, 2023","LPG","15.65"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 49, 2023","Petrol 95 O Natural","36.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 49, 2023","Diesel","37.5"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 49, 2023","LPG","15.78"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 48, 2023","Petrol 95 O Natural","37.51"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 48, 2023","Diesel","37.82"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 48, 2023","LPG","15.79"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 47, 2023","Petrol 95 O Natural","38.01"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 47, 2023","Diesel","38.46"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 47, 2023","LPG","15.76"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 46, 2023","Petrol 95 O Natural","38.36"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 46, 2023","Diesel","39.13"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 46, 2023","LPG","15.69"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 45, 2023","Petrol 95 O Natural","38.83"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 45, 2023","Diesel","39.4"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 45, 2023","LPG","15.69"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 44, 2023","Petrol 95 O Natural","38.84"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 44, 2023","Diesel","39.5"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 44, 2023","LPG","15.68"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 43, 2023","Petrol 95 O Natural","39.09"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 43, 2023","Diesel","39.64"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 43, 2023","LPG","15.68"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 42, 2023","Petrol 95 O Natural","39.5"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 42, 2023","Diesel","39.89"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 42, 2023","LPG","15.62"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 41, 2023","Petrol 95 O Natural","40.11"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 41, 2023","Diesel","40.38"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 41, 2023","LPG","15.58"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 40, 2023","Petrol 95 O Natural","40.43"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 40, 2023","Diesel","40.35"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 40, 2023","LPG","15.47"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 39, 2023","Petrol 95 O Natural","40.46"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 39, 2023","Diesel","40.35"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 39, 2023","LPG","15.45"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 38, 2023","Petrol 95 O Natural","40.31"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 38, 2023","Diesel","39.94"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 38, 2023","LPG","15.41"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 37, 2023","Petrol 95 O Natural","39.85"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 37, 2023","Diesel","38.45"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 37, 2023","LPG","15.13"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 36, 2023","Petrol 95 O Natural","39.76"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 36, 2023","Diesel","38.15"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 36, 2023","LPG","14.94"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 35, 2023","Petrol 95 O Natural","39.6"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 35, 2023","Diesel","37.95"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 35, 2023","LPG","14.78"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 34, 2023","Petrol 95 O Natural","39.4"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 34, 2023","Diesel","37.77"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 34, 2023","LPG","14.78"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2023","Petrol 95 O Natural","39.36"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2023","Diesel","37.42"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2023","LPG","14.74"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2023","Petrol 95 O Natural","39.14"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2023","Diesel","36.44"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2023","LPG","14.74"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2023","Petrol 95 O Natural","37.99"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2023","Diesel","33.33"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2023","LPG","14.78"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2023","Petrol 95 O Natural","37.29"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2023","Diesel","32.82"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2023","LPG","14.78"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2023","Petrol 95 O Natural","37.26"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2023","Diesel","32.74"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2023","LPG","14.89"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2023","Petrol 95 O Natural","37.25"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2023","Diesel","32.5"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2023","LPG","14.97"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 27, 2023","Petrol 95 O Natural","37.27"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 27, 2023","Diesel","32.56"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 27, 2023","LPG","14.99"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2023","Petrol 95 O Natural","37.25"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2023","Diesel","32.43"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2023","LPG","15.02"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2023","Petrol 95 O Natural","37.12"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2023","Diesel","31.79"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2023","LPG","15.12"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2023","Petrol 95 O Natural","36.83"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2023","Diesel","31.4"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2023","LPG","15.19"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2023","Petrol 95 O Natural","36.74"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2023","Diesel","31.31"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2023","LPG","15.31"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2023","Petrol 95 O Natural","36.44"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2023","Diesel","31.08"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2023","LPG","15.37"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2023","Petrol 95 O Natural","36.37"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2023","Diesel","31.14"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2023","LPG","15.41"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2023","Petrol 95 O Natural","36.46"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2023","Diesel","31.44"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2023","LPG","15.55"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 19, 2023","Petrol 95 O Natural","36.77"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 19, 2023","Diesel","32.02"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 19, 2023","LPG","15.79"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 18, 2023","Petrol 95 O Natural","37.26"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 18, 2023","Diesel","32.91"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 18, 2023","LPG","15.94"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 17, 2023","Petrol 95 O Natural","37.45"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 17, 2023","Diesel","33.63"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 17, 2023","LPG","16.09"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 16, 2023","Petrol 95 O Natural","37.83"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 16, 2023","Diesel","34.34"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 16, 2023","LPG","16.28"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 15, 2023","Petrol 95 O Natural","37.55"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 15, 2023","Diesel","34.63"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 15, 2023","LPG","16.42"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 14, 2023","Petrol 95 O Natural","37"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 14, 2023","Diesel","35.02"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 14, 2023","LPG","16.69"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 13, 2023","Petrol 95 O Natural","36.96"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 13, 2023","Diesel","35.23"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 13, 2023","LPG","16.58"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 12, 2023","Petrol 95 O Natural","37.09"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 12, 2023","Diesel","35.56"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 12, 2023","LPG","16.65"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 11, 2023","Petrol 95 O Natural","37.2"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 11, 2023","Diesel","36.05"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 11, 2023","LPG","16.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 10, 2023","Petrol 95 O Natural","37.36"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 10, 2023","Diesel","36.22"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 10, 2023","LPG","16.76"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 09, 2023","Petrol 95 O Natural","37.45"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 09, 2023","Diesel","36.35"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 09, 2023","LPG","16.78"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 08, 2023","Petrol 95 O Natural","37.65"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 08, 2023","Diesel","36.56"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 08, 2023","LPG","16.75"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 07, 2023","Petrol 95 O Natural","37.63"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 07, 2023","Diesel","36.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 07, 2023","LPG","16.59"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 06, 2023","Petrol 95 O Natural","37.88"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 06, 2023","Diesel","37.67"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 06, 2023","LPG","16.55"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 05, 2023","Petrol 95 O Natural","37.68"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 05, 2023","Diesel","37.6"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 05, 2023","LPG","16.64"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 04, 2023","Petrol 95 O Natural","36.68"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 04, 2023","Diesel","37.27"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 04, 2023","LPG","16.74"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 03, 2023","Petrol 95 O Natural","36.18"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 03, 2023","Diesel","37.32"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 03, 2023","LPG","16.82"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 02, 2023","Petrol 95 O Natural","36.24"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 02, 2023","Diesel","37.44"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 02, 2023","LPG","17.04"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 01, 2023","Petrol 95 O Natural","36.29"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 01, 2023","Diesel","37.8"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 01, 2023","LPG","16.99"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 51, 2022","Petrol 95 O Natural","36.44"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 51, 2022","Diesel","37.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 51, 2022","LPG","17.18"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 50, 2022","Petrol 95 O Natural","37"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 50, 2022","Diesel","38.34"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 50, 2022","LPG","17.39"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 49, 2022","Petrol 95 O Natural","38.57"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 49, 2022","Diesel","40.06"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 49, 2022","LPG","17.49"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 48, 2022","Petrol 95 O Natural","39.81"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 48, 2022","Diesel","41.46"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 48, 2022","LPG","17.57"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 47, 2022","Petrol 95 O Natural","40.86"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 47, 2022","Diesel","43.28"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 47, 2022","LPG","17.73"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 46, 2022","Petrol 95 O Natural","41.75"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 46, 2022","Diesel","45.05"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 46, 2022","LPG","17.79"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 45, 2022","Petrol 95 O Natural","42.05"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 45, 2022","Diesel","46.3"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 45, 2022","LPG","17.88"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 44, 2022","Petrol 95 O Natural","42.45"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 44, 2022","Diesel","47.18"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 44, 2022","LPG","17.91"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 43, 2022","Petrol 95 O Natural","42.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 43, 2022","Diesel","47.35"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 43, 2022","LPG","17.92"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 42, 2022","Petrol 95 O Natural","42.6"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 42, 2022","Diesel","46.48"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 42, 2022","LPG","17.94"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 41, 2022","Petrol 95 O Natural","41"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 41, 2022","Diesel","44.33"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 41, 2022","LPG","18.16"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 40, 2022","Petrol 95 O Natural","38.23"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 40, 2022","Diesel","42.95"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 40, 2022","LPG","18.26"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 39, 2022","Petrol 95 O Natural","37.76"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 39, 2022","Diesel","43.1"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 39, 2022","LPG","18.3"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 38, 2022","Petrol 95 O Natural","38.53"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 38, 2022","Diesel","44.19"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 38, 2022","LPG","18.38"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 37, 2022","Petrol 95 O Natural","39.21"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 37, 2022","Diesel","44.75"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 37, 2022","LPG","18.51"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 36, 2022","Petrol 95 O Natural","40.46"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 36, 2022","Diesel","45.48"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 36, 2022","LPG","18.53"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 35, 2022","Petrol 95 O Natural","40.53"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 35, 2022","Diesel","44.96"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 35, 2022","LPG","18.52"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 34, 2022","Petrol 95 O Natural","40.31"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 34, 2022","Diesel","42.36"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 34, 2022","LPG","18.55"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2022","Petrol 95 O Natural","40.81"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2022","Diesel","42.52"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 33, 2022","LPG","18.44"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2022","Petrol 95 O Natural","42.81"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2022","Diesel","44.01"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 32, 2022","LPG","18.59"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2022","Petrol 95 O Natural","44.85"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2022","Diesel","45.39"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 31, 2022","LPG","18.97"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2022","Petrol 95 O Natural","46.16"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2022","Diesel","46.48"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 30, 2022","LPG","19.19"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2022","Petrol 95 O Natural","47.18"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2022","Diesel","47.18"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 29, 2022","LPG","19.33"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2022","Petrol 95 O Natural","47.63"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2022","Diesel","47.7"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 28, 2022","LPG","19.47"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 27, 2022","Petrol 95 O Natural","47.89"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 27, 2022","Diesel","48.02"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 27, 2022","LPG","19.51"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2022","Petrol 95 O Natural","47.82"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2022","Diesel","48.19"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 26, 2022","LPG","19.55"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2022","Petrol 95 O Natural","47.83"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2022","Diesel","47.83"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 25, 2022","LPG","19.6"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2022","Petrol 95 O Natural","47.33"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2022","Diesel","46.62"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 24, 2022","LPG","19.68"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2022","Petrol 95 O Natural","45.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2022","Diesel","45.32"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 23, 2022","LPG","20.07"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2022","Petrol 95 O Natural","46.55"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2022","Diesel","46.03"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 22, 2022","LPG","20.17"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2022","Petrol 95 O Natural","46.06"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2022","Diesel","46.14"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 21, 2022","LPG","20.28"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2022","Petrol 95 O Natural","44.75"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2022","Diesel","46.24"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 20, 2022","LPG","20.47"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 19, 2022","Petrol 95 O Natural","44.16"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 19, 2022","Diesel","46.39"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 19, 2022","LPG","20.68"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 18, 2022","Petrol 95 O Natural","42.9"
"Average consumer fuel prices in CR (CZK/l)","Czechia","Week 18, 2022","Diesel","45.14"
