candidate,reference,omitted_period,delta_rmse,delta_mae
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2020-11,0.0004919892211647792,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2020-12,0.000493934234484017,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2021-01,0.0004952129946084738,0.00014672485967559545
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2021-02,0.0004924009236167426,0.00014672485967559545
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2021-03,0.0004920461599907111,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2021-04,0.0004926248495867314,0.00014672485967559545
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2021-05,0.000492986411398777,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2021-06,0.0004926406111592785,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2021-07,0.0004936928995631917,0.00014672485967570648
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2021-08,0.0004963718239030523,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2021-09,0.0004946540220054918,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2021-10,0.0004922153509472338,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2021-11,0.0004956431866318112,0.00014672485967559545
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2021-12,0.0004922372076916481,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2022-01,0.000492250536074601,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2022-02,0.0004959473581794271,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2022-03,0.0004972348937429816,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2022-04,0.0005150718096471052,0.00014672485967570648
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2022-05,0.0004941133712157986,0.00014672485967565096
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2022-06,0.0008208792683023214,0.0009891710669119314
