period,model,error,weighted_core_error,noncore_reconciliation_error,weighted_core_squared_gain,cross_term_gain,headline_squared_gain
2022-07,R9_HALF,0.21441433555574418,0.4227493685525952,-0.20833503299685097,-0.08250829744031536,0.046906234873279586,-0.035602062567035776
2022-08,R9_HALF,0.2720821029177679,0.3579455210516028,-0.08586341813383491,-0.027815924129885483,0.007080202399933969,-0.020735721729951515
2022-09,R9_HALF,-0.6850398381115304,0.09342870267265438,-0.7784685407841847,0.011028468141121923,-0.07338199875924965,-0.06235353061812776
2022-10,R9_HALF,2.5241974351095644,0.13722126263866202,2.386976172470902,0.015755701150141667,0.23273101807061913,0.24848671922076004
2022-11,R9_HALF,-0.4117471669471172,0.348454221869293,-0.7602013888164101,-0.0198396510646682,0.04521215500716009,0.02537250394249188
2022-12,R9_HALF,0.09094142216773585,0.14511464504158883,-0.05417322287385301,-0.010725885630931761,0.004709425230419098,-0.0060164604005126625
2023-01,R9_HALF,-1.1442833423970535,0.09558568309795469,-1.2398690254950084,0.0036363227143504286,-0.04322623239286218,-0.0395899096785115
2023-02,R9_HALF,-0.0960296076672813,-0.028871259140583135,-0.06715834852669811,-0.0008312195690359363,-0.0036728650734007937,-0.004504084642436732
2023-03,R9_HALF,0.12856958059145326,0.01678672495266466,0.11178285563878859,0.006255090224162149,0.014322575436608767,0.020577665660770916
2023-04,R9_HALF,0.7026749219687729,0.30618111005584037,0.39649381191293254,0.04138213571979167,0.04870360835056701,0.09008574407035869
2023-05,R9_HALF,-0.13197584678801683,0.11534781060239117,-0.247323657390408,0.017778807340215023,-0.03015297179484305,-0.01237416445462802
2023-06,R9_HALF,-0.34713023043292174,-0.20417974781048057,-0.14295048262244117,-0.026804042432193274,-0.0234937143968529,-0.05029775682904618
2023-07,R9_HALF,-0.13765734175758848,-0.06484245326654772,-0.07281488849104079,-0.002522726262156702,-0.0034707194999023102,-0.005993445762059011
2023-08,R9_HALF,0.2718841229993044,0.23176384897400046,0.04012027402530394,0.0012730089403326927,0.00021907815550385276,0.0014920870958365362
2023-09,R9_HALF,0.4244519222686682,0.20507273581500535,0.21937918645366283,0.011640450150909705,0.011692769415826533,0.02333321956673623
2023-10,R9_HALF,0.18266153646166247,0.19509937621138349,-0.012437839749721014,0.003159553101819333,-0.00019741067911611365,0.0029621424227032137
2023-11,R9_HALF,-0.06108688606242176,0.08410930994979014,-0.1451961960122119,0.003676968194832384,-0.005685702700672727,-0.002008734505840344
2023-12,R9_HALF,0.2523498025575427,0.15116701987301695,0.10118278268452574,0.0046205922270079886,0.0029504811081290327,0.007571073335137013
