period,candidate,reference,weighted_core_squared_gain,cross_term_gain,headline_squared_gain
2024-04,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.019239882855745908,-0.0400421117811869,-0.020802228925440997
2024-05,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.0007446570282549214,-0.014578339486350938,-0.015322996514605856
2024-06,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.002185028680534839,0.004042031611032199,0.006227060291567027
2024-07,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.06482575922447689,0.06306799129244349,0.1278937505169204
2024-08,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.0022636317932935475,-0.01177175652113111,-0.00950812472783756
2024-09,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.01279566893181603,-0.033274311371500456,-0.020478642439684423
2024-10,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.008189983380206427,-0.004652718981737576,0.0035372643984688513
2024-11,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.00011348536333731892,-0.00020087673730165913,-8.739137396434013e-05
2024-12,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.0028082047913049156,0.02551441978610136,0.02832262457740628
2025-01,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.00863911627627326,0.0048223847837859934,0.013461501060059257
2025-02,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.00011417111821033758,0.0016380502711625707,0.001523879152952233
2025-03,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.0040928566791089745,-0.010271785927669764,-0.006178929248560791
2025-04,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.0018494245316770092,-0.020747905403527278,-0.02259732993520429
2025-05,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.0068036241000686195,0.017197348828626613,0.024000972928695234
2025-06,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.0009045399797641515,0.0004921255919543376,0.001396665571718489
2025-07,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.008167158453554401,-0.007978772550108825,-0.016145931003663228
2025-08,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.0008524415472842,0.0008343099009648473,-1.8131646319352767e-05
2025-09,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.003980670986474285,0.000767740863669371,0.004748411850143655
2025-10,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.0014410582538307598,0.030738992133403635,0.03218005038723439
2025-11,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.0008884106429266438,-0.005191885182022608,-0.006080295824949247
2025-12,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.009343833340566205,0.00611356637338357,-0.0032302669671826355
2026-01,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.0035761413314807362,0.003803070946732082,0.0002269296152513455
2026-02,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-6.155421581376992e-05,0.000630913519411199,0.0005693593035974304
2026-03,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.00047781919587765436,-0.0002695685239706443,0.00020825067190701017
2026-04,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.0009359217515625753,0.002526664906461388,0.0015907431548988125
2026-05,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,-0.0002670903276831048,-0.0014134242800055406,-0.0016805146076886435
2026-06,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.001278917864711113,0.00966978339117893,0.010948701255890043
2026-07,CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,0.003921768665053553,0.0024280094917562066,0.00634977815680976
2019-02,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.00014197355756317943,-0.0007392662614339366,-0.0008812398189971173
2019-03,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.006348152113827466,-0.02906964223164816,-0.02272149011782069
2019-04,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.0001259436229644464,0.0017066462600062698,0.0015807026370418253
2019-05,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.0021280555990292635,0.0426624238416936,0.04053436824266435
2019-06,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.00013438851629000905,-1.1169583710034976e-05,-0.0001455581000000452
2019-07,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.020215511521930657,-0.029297791185524443,-0.009082279663593786
2019-08,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.0004517171256786188,-0.008005832273922894,-0.008457549399601513
2019-09,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.03146989026985814,0.014406809758777435,0.04587670002863557
2019-10,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.03477981615998746,0.011911255840480145,0.04669107200046761
2019-11,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.0005715398346670688,-0.0021428920448940967,-0.0015713522102270248
2019-12,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.008595042994274955,0.03456384983381181,0.02596880683953686
2020-01,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.01894665590223195,0.030886340220937614,0.04983299612316955
2020-02,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.019137678877564665,0.017012466094961494,-0.0021252127826031707
2020-03,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.02635926510393602,-0.0747560576243186,-0.04839679252038259
2020-04,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.0011809306168952152,0.01116057156136168,0.009979640944466465
2020-05,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.056879635115543975,0.011212711281711732,-0.04566692383383223
2020-06,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.036080477181416305,-0.12364698532104114,-0.15972746250245745
