origin,as_of,model,variable,h,target,forecast,actual,n_distinct_ulc_quarters
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,housing,3,2019-05,0.5501247775869308,0.48809343827977564,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,housing,4,2019-06,0.28758300794334807,0.5372492519914579,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,housing,5,2019-07,0.40269194584202794,0.3575834816808504,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,housing,6,2019-08,0.5539700786728607,0.35074947173668564,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,housing,7,2019-09,0.387076421359391,0.17582517197236935,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,housing,8,2019-10,0.4227994047698953,0.3448667160087161,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,housing,9,2019-11,0.2750987016489967,0.3005378397357509,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,housing,10,2019-12,0.40046017868181655,0.21452218234910173,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,housing,11,2020-01,0.4563970482843842,0.6645851892867825,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,housing,12,2020-02,0.28543375249826564,0.09318915007887857,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,goods,1,2019-03,0.024758102875698712,0.16120258491509215,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,goods,2,2019-04,-0.05080561837993755,-0.10363695164025208,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,goods,3,2019-05,0.06283119849708496,0.1411600429064864,14
